# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,bankara_open,hoko,masaba,101,bravo,TRUE,S+ 0,,,,0,3a0ccdff,,,,100,d0bf08ff,,nzap85,2,1,1,6,0,280,"{""swim_speed_up"":1.3,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",sshooter_collabo,8,6,2,4,2,673,"{""quick_respawn"":1.6,""ink_resistance_up"":1,""sub_power_up"":1,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""swim_speed_up"":0.3}",splatroller,2,2,0,3,0,229,"{""ink_recovery_up"":1,""ink_saver_main"":1,""quick_respawn"":1,""ink_saver_sub"":0.6,""sub_resistance_up"":0.6,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""swim_speed_up"":0.3}",tristringer,4,1,3,2,1,423,"{""run_speed_up"":1.6,""ink_saver_main"":0.9,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""object_shredder"":true,""thermal_ink"":true}",hotblaster,9,9,0,2,1,434,"{""intensify_action"":2.6,""ink_saver_main"":1,""quick_respawn"":0.6,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""swim_speed_up"":0.3}",promodeler_rg,0,0,0,2,3,766,"{""quick_respawn"":1.9,""ink_resistance_up"":1.3,""special_charge_up"":1,""intensify_action"":0.6,""ink_recovery_up"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3}",sshooter_collabo,6,2,4,3,2,707,"{""run_speed_up"":2,""swim_speed_up"":1,""special_saver"":0.9,""sub_power_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""special_charge_up"":0.3}",hissen,7,4,3,3,1,369,"{""ink_saver_main"":1.6,""swim_speed_up"":1.3,""quick_respawn"":1,""ink_saver_sub"":0.9,""ink_resistance_up"":0.3}",silver,#1 Damage Taker,silver,#1 Checkpoint Breaker,silver,#1 Rainmaker Stopper
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,bankara_open,hoko,gonzui,300,alpha,FALSE,S+ 0,,,,49,cd510aff,,,,8,6e04b6ff,,nzap85,17,12,5,7,3,1564,"{""swim_speed_up"":1.3,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",quadhopper_black,9,8,1,7,2,1160,"{""quick_respawn"":3.2,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""run_speed_up"":0.6,""swim_speed_up"":0.3,""haunt"":true}",hissen_hue,11,7,4,9,3,973,"{""quick_respawn"":1,""ink_saver_main"":0.6,""run_speed_up"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",splatscope,8,5,3,6,3,770,"{""ink_saver_main"":3,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3}",kugelschreiber,15,13,2,6,3,1268,"{""run_speed_up"":2.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.6,""special_power_up"":0.6,""drop_roller"":true}",furo,13,8,5,2,6,1811,"{""ink_saver_main"":2.5,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""object_shredder"":true,""thermal_ink"":true}",prime_collabo,6,6,0,10,4,970,"{""swim_speed_up"":1.6,""quick_respawn"":1,""ink_recovery_up"":0.6,""ink_saver_main"":0.6,""intensify_action"":0.6,""special_saver"":0.3,""object_shredder"":true}",bold,2,2,0,14,2,603,"{""swim_speed_up"":1.9,""special_saver"":1,""quick_super_jump"":0.9,""run_speed_up"":0.9,""ninja_squid"":true}",gold,#1 Overall Splatter,gold,Record-Score Setter,gold,#1 Score Booster
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,bankara_open,hoko,masaba,68,alpha,TRUE,S+ 0,,,,100,c43a6eff,,,,0,1bbfabff,,drivewiper,7,6,1,1,1,337,"{""quick_respawn"":0.9,""special_charge_up"":0.9,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",nautilus47,4,0,4,1,1,407,"{""swim_speed_up"":2,""ink_saver_main"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""object_shredder"":true}",wideroller,7,5,2,1,1,266,"{""ink_saver_sub"":1.9,""swim_speed_up"":1,""run_speed_up"":0.9,""special_saver"":0.6,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",splatroller_collabo,0,0,0,2,0,228,"{""swim_speed_up"":1,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",barrelspinner,4,2,2,3,1,239,"{""run_speed_up"":2.9,""ink_resistance_up"":0.9,""intensify_action"":0.3,""quick_super_jump"":0.3,""swim_speed_up"":0.3,""thermal_ink"":true}",variableroller,2,2,0,3,1,434,"{""ink_saver_main"":1.2,""quick_respawn"":1.2,""special_charge_up"":1,""special_power_up"":1,""sub_resistance_up"":1,""ink_recovery_up"":0.3}",hydra,2,1,1,2,0,203,"{""ink_saver_main"":1,""quick_super_jump"":0.9,""special_power_up"":0.9,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""respawn_punisher"":true,""stealth_jump"":true}",screwslosher,1,0,1,3,0,227,"{""ink_saver_main"":2.6,""special_saver"":1.3,""special_charge_up"":1.2,""swim_speed_up"":0.6}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,silver,#1 Ink Consumer
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,xmatch,area,kusaya,311,bravo,FALSE,,2318.2,,,81,c12d74ff,,,,84,2cb721ff,,screwslosher,8,5,3,9,2,1343,"{""run_speed_up"":1,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""sub_resistance_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",maneuver,15,12,3,11,6,1259,"{""special_charge_up"":1.9,""swim_speed_up"":1,""ink_resistance_up"":0.6,""special_saver"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",bucketslosher,9,5,4,7,6,1426,"{""ink_resistance_up"":1.3,""swim_speed_up"":0.9,""run_speed_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",sharp_neo,10,9,1,10,7,1781,"{""special_charge_up"":1,""sub_power_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",sshooter_collabo,17,11,6,10,6,1642,"{""swim_speed_up"":1.6,""intensify_action"":0.6,""sub_resistance_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",nova_neo,14,11,3,9,3,1110,"{""quick_respawn"":3.7,""ninja_squid"":true,""stealth_jump"":true}",screwslosher,12,10,2,5,6,1695,"{""swim_speed_up"":1.2,""run_speed_up"":1,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",quadhopper_black,5,5,0,7,5,1331,"{""intensify_action"":1.9,""quick_super_jump"":1.9,""swim_speed_up"":1.9}",gold,#1 Splat Zone Inker,silver,#1 Splat Zone Hero,silver,#2 Splat Zone Guard
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,bankara_open,hoko,gonzui,304,alpha,FALSE,S+ 0,,,,88,1ec0adff,,,,44,d74b31ff,,drivewiper,13,6,7,5,3,937,"{""quick_respawn"":0.9,""special_charge_up"":0.9,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",nautilus47,15,11,4,5,4,1388,"{""swim_speed_up"":2,""ink_saver_main"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""object_shredder"":true}",wideroller,15,10,5,12,1,780,"{""ink_saver_sub"":1.9,""swim_speed_up"":1,""run_speed_up"":0.9,""special_saver"":0.6,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",splatroller_collabo,5,5,0,12,1,745,"{""swim_speed_up"":1,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",liter4k_scope,16,12,4,4,5,1031,"{""special_power_up"":0.9,""ink_recovery_up"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true,""thermal_ink"":true}",longblaster,9,7,2,9,2,669,"{""ink_saver_main"":3.5,""special_saver"":1,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3}",rapid,14,7,7,10,3,961,"{""special_charge_up"":1.6,""ink_saver_main"":1.3,""quick_respawn"":1,""quick_super_jump"":0.9,""ink_saver_sub"":0.3}",jimuwiper,12,8,4,9,0,1151,"{""quick_respawn"":1.6,""run_speed_up"":1.3,""swim_speed_up"":1.2,""quick_super_jump"":0.3,""special_saver"":0.3,""object_shredder"":true}",gold,#1 Splat Assister,gold,#1 Super Jump Spot,silver,#1 Rainmaker Stopper
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,xmatch,area,yunohana,111,bravo,TRUE,,2318.2,,,0,9025c6ff,,,,100,cfb121ff,,screwslosher,2,1,1,3,1,450,"{""run_speed_up"":1,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""sub_resistance_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",kugelschreiber,2,1,1,4,1,485,"{""run_speed_up"":2.6,""ink_resistance_up"":0.6,""intensify_action"":0.6,""special_power_up"":0.6,""sub_resistance_up"":0.3,""drop_roller"":true}",quadhopper_black,1,0,1,4,2,532,"{""quick_respawn"":3.2,""quick_super_jump"":0.9,""ink_saver_main"":0.3,""intensify_action"":0.3,""stealth_jump"":true}",nova_neo,4,4,0,4,2,315,"{""quick_respawn"":3.7,""ninja_squid"":true,""stealth_jump"":true}",sputtery,9,5,4,1,2,515,"{""quick_respawn"":1.9,""special_charge_up"":1.3,""special_saver"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_power_up"":0.3,""stealth_jump"":true}",screwslosher,7,6,1,1,1,511,"{""swim_speed_up"":1.2,""run_speed_up"":1,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",kugelschreiber,3,1,2,1,2,540,"{""run_speed_up"":2.9,""ink_resistance_up"":0.6,""special_power_up"":0.6,""intensify_action"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true}",bucketslosher,4,3,1,3,1,436,"{""ink_resistance_up"":1.3,""swim_speed_up"":0.9,""run_speed_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Splat Assister,silver,#2 Overall Splatter,silver,First Splat!
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,bankara_open,hoko,masaba,300,alpha,FALSE,S+ 0,,,,66,6e04b6ff,,,,52,cd510aff,,drivewiper,12,9,3,7,2,1004,"{""quick_respawn"":0.9,""special_charge_up"":0.9,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",nautilus47,11,7,4,5,5,1642,"{""swim_speed_up"":2,""ink_saver_main"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""object_shredder"":true}",wideroller,8,8,0,10,1,1102,"{""ink_saver_sub"":1.9,""swim_speed_up"":1,""run_speed_up"":0.9,""special_saver"":0.6,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",splatroller_collabo,3,3,0,15,0,666,"{""swim_speed_up"":1,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",jetsweeper_custom,16,7,9,4,6,1129,"{""ink_saver_main"":2.1,""quick_respawn"":1,""quick_super_jump"":1,""special_power_up"":1,""special_saver"":0.3,""swim_speed_up"":0.3}",pablo,14,10,4,6,5,1237,"{""ink_saver_sub"":3.6,""special_charge_up"":1.5,""run_speed_up"":0.6}",rapid_deco,15,12,3,10,2,1014,"{""intensify_action"":1.6,""ink_resistance_up"":1,""quick_respawn"":1,""run_speed_up"":0.6,""special_saver"":0.6,""special_charge_up"":0.3,""swim_speed_up"":0.3}",sharp,14,8,6,8,4,1099,"{""swim_speed_up"":1.6,""special_charge_up"":1,""run_speed_up"":0.6,""sub_power_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""ninja_squid"":true}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,gold,#1 Super Jump Spot
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,xmatch,area,kusaya,240,alpha,TRUE,,2304.3,,,100,d74b31ff,,,,0,1ec0adff,,screwslosher,9,7,2,5,3,979,"{""run_speed_up"":1,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""sub_resistance_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",nova_neo,12,10,2,7,2,800,"{""quick_respawn"":3.7,""ninja_squid"":true,""stealth_jump"":true}",hydra,6,4,2,4,3,1018,"{""run_speed_up"":1.9,""ink_saver_main"":1.8,""swim_speed_up"":1,""object_shredder"":true}",l3reelgun_d,5,4,1,1,5,1468,"{""ink_saver_sub"":1.9,""quick_respawn"":1.5,""run_speed_up"":1,""comeback"":true}",hydra,7,6,1,3,5,1250,"{""ink_saver_main"":1.6,""run_speed_up"":1.6,""swim_speed_up"":1.6,""ink_resistance_up"":0.6,""quick_super_jump"":0.3}",screwslosher,6,5,1,6,4,1146,"{""swim_speed_up"":1.3,""run_speed_up"":0.9,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",sshooter,4,2,2,8,3,995,"{""swim_speed_up"":1,""special_charge_up"":0.6,""ninja_squid"":true,""stealth_jump"":true}",screwslosher,4,4,0,8,2,807,"{""swim_speed_up"":1.6,""run_speed_up"":1,""ink_resistance_up"":0.6,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""sub_resistance_up"":0.3,""stealth_jump"":true}",gold,#1 Splat Zone Guard,gold,#1 Popular Target,gold,#1 Splat Zone Inker
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,bankara_open,hoko,gonzui,303,bravo,FALSE,S+ 0,,,,39,c12d74ff,,,,49,2cb721ff,,drivewiper,16,14,2,6,5,1020,"{""quick_respawn"":0.9,""special_charge_up"":0.9,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",nautilus47,9,4,5,6,4,1317,"{""swim_speed_up"":2,""ink_saver_main"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""object_shredder"":true}",wideroller,13,10,3,10,2,866,"{""ink_saver_sub"":1.9,""swim_speed_up"":1,""run_speed_up"":0.9,""special_saver"":0.6,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",splatroller_collabo,5,5,0,14,2,756,"{""swim_speed_up"":1,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",hissen_hue,17,10,7,2,6,1210,"{""ink_saver_sub"":1,""quick_respawn"":0.9,""swim_speed_up"":0.9,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""ninja_squid"":true}",sshooter_collabo,10,9,1,11,2,928,"{""special_saver"":2.3,""sub_power_up"":1,""ink_saver_sub"":0.9,""special_power_up"":0.9,""special_charge_up"":0.6}",bold,12,9,3,9,3,1192,"{""ink_saver_main"":1,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",jimuwiper,13,8,5,12,1,1030,"{""swim_speed_up"":2,""quick_respawn"":1.9}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,gold,#1 Super Jump Spot
Fresh Season 2023,2023-05-23T00:00:00+00:00,3.1.1,xmatch,area,yunohana,221,alpha,TRUE,,2304.3,,,100,2cb721ff,,,,0,c12d74ff,,screwslosher,10,6,4,4,2,906,"{""run_speed_up"":1,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""sub_resistance_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",sharp_neo,12,10,2,4,4,1178,"{""swim_speed_up"":1.6,""special_saver"":0.9,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",hydra,10,7,3,3,4,936,"{""ink_saver_main"":1.6,""run_speed_up"":1.6,""swim_speed_up"":1.6,""ink_resistance_up"":0.6,""quick_super_jump"":0.3}",screwslosher,4,4,0,7,1,609,"{""quick_respawn"":1.3,""swim_speed_up"":1.3,""ink_saver_sub"":0.6,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""ninja_squid"":true}",hydra,6,4,2,5,4,939,"{""run_speed_up"":1.9,""ink_saver_main"":1.8,""swim_speed_up"":1,""object_shredder"":true}",screwslosher,3,1,2,6,3,875,"{""swim_speed_up"":1.3,""run_speed_up"":1.2,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",sshooter,8,8,0,9,2,926,"{""intensify_action"":0.9,""sub_resistance_up"":0.9,""ink_resistance_up"":0.6,""swim_speed_up"":0.3,""ninja_squid"":true,""opening_gambit"":true,""stealth_jump"":true}",nova_neo,7,5,2,7,4,749,"{""quick_respawn"":1,""swim_speed_up"":0.9,""ink_resistance_up"":0.6,""special_charge_up"":0.6,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Splat Assister,silver,#1 Ink Consumer,silver,First Splat!
