iter	Logloss	Accuracy
0	0.6199693333	0.8443109864
1	0.5591557528	0.8448332137
2	0.5174490108	0.8469221229
3	0.4855525445	0.8465304524
4	0.4584637479	0.8472485149
5	0.4372545247	0.8454859978
6	0.4209358092	0.846465174
7	0.4095625504	0.8456165546
8	0.3930511236	0.8462040603
9	0.3837554693	0.8471179581
10	0.3730824787	0.8478360206
11	0.3671954842	0.8484888048
12	0.3607758301	0.8481624127
13	0.3562661029	0.8490110321
14	0.3511646653	0.8499902082
15	0.3487240883	0.8501207651
16	0.3465943832	0.8503166003
17	0.3432537625	0.8498596514
18	0.3406297848	0.8495985378
19	0.33794744	0.8496638162
20	0.3361462858	0.8505777139
21	0.3338007456	0.8508388276
22	0.3315254575	0.8521443958
23	0.3300112462	0.8524707879
24	0.3289463642	0.8538416346
25	0.3269791652	0.8551472028
26	0.3258561832	0.8551472028
27	0.3238420874	0.8553430381
28	0.3221378355	0.8556041517
29	0.3214229562	0.8553430381
30	0.3204561539	0.8552777596
31	0.3191124887	0.8548860892
32	0.3180266917	0.8557999869
33	0.3170307117	0.8559958222
34	0.3162517416	0.8554735949
35	0.31557124	0.8551472028
36	0.3150788426	0.8556041517
37	0.3143575905	0.8565833279
38	0.3138790588	0.8565833279
39	0.3134233844	0.8567138847
40	0.3127578545	0.8575625041
41	0.3122541106	0.8576277825
42	0.3116120006	0.8578236177
43	0.3110932554	0.8590639076
44	0.3107522184	0.8586069587
45	0.3102350086	0.8586722371
46	0.3093420492	0.8592597428
47	0.3088714758	0.8589986292
48	0.3081002484	0.8596514133
49	0.3078909795	0.8591944644
50	0.3074791799	0.859129186
51	0.3072463952	0.8592597428
52	0.3064293932	0.8589986292
53	0.3059418062	0.8590639076
54	0.3056032055	0.8592597428
55	0.30528278	0.8592597428
56	0.3051547245	0.8592597428
57	0.3048171186	0.8596514133
58	0.304483748	0.8595861349
59	0.3041516167	0.8599125269
60	0.3038639858	0.8606958679
61	0.3036060703	0.8608917031
62	0.3031472762	0.8614139304
63	0.302884593	0.8614139304
64	0.3024537721	0.8611528168
65	0.3018540201	0.8610875384
66	0.3013816199	0.8616750441
67	0.3012153862	0.8610875384
68	0.300952409	0.8612833736
69	0.3007729095	0.8612180952
70	0.3006377229	0.8615444872
71	0.2998750697	0.8615444872
72	0.2995085613	0.8621972714
73	0.2993231583	0.8623278282
74	0.2992461497	0.8620667145
75	0.2989520999	0.8626542202
76	0.2985397601	0.8626542202
77	0.2982711885	0.8627194987
78	0.2979800122	0.8627847771
79	0.2975904113	0.8633722828
80	0.2974283146	0.8633070044
81	0.2971382369	0.8633722828
82	0.2968418373	0.8634375612
83	0.2964057824	0.8631764475
84	0.296294549	0.8638945101
85	0.2959597733	0.8636333964
86	0.2956165489	0.8639597885
87	0.2953968351	0.8639597885
88	0.2950663204	0.863568118
89	0.2945100026	0.863568118
90	0.2942588582	0.8633722828
91	0.2938912735	0.8636986748
92	0.2934980457	0.8642861806
93	0.2932269414	0.864351459
94	0.2930327618	0.8646125726
95	0.2927180826	0.8644820158
96	0.2924873849	0.8648736863
97	0.2922196782	0.8653306352
98	0.2921740049	0.8651347999
99	0.2918500903	0.8650695215
100	0.2916506497	0.8652000783
101	0.2913035933	0.8652000783
102	0.2908088035	0.8650695215
103	0.2905567271	0.8656570272
104	0.2902326165	0.8656570272
105	0.2899024941	0.8655917488
106	0.2896339076	0.8658528625
107	0.2891252016	0.8667014818
108	0.2889940791	0.8667667602
109	0.2888943123	0.866570925
110	0.2886366221	0.8673542659
111	0.2880714644	0.8675501012
112	0.2877541882	0.8668320386
113	0.2875482148	0.8672889875
114	0.2873383698	0.8672237091
115	0.2869731578	0.8672237091
116	0.2869484573	0.8673542659
117	0.2868226113	0.8674848228
118	0.2863544199	0.867680658
119	0.2862741242	0.8677459364
120	0.2859577899	0.8683334421
121	0.2856576572	0.8683334421
122	0.2856017575	0.8683334421
123	0.2855413944	0.868463999
124	0.2854712962	0.8687251126
125	0.2854382637	0.8687251126
126	0.2854138613	0.8687251126
127	0.2850260906	0.8686598342
128	0.2847256585	0.8685292774
129	0.2846966953	0.8685945558
130	0.284427256	0.8689862263
131	0.2843823694	0.8689862263
132	0.2841748799	0.8691167831
133	0.2840195721	0.8691167831
134	0.2839973119	0.8692473399
135	0.2838604316	0.8692473399
136	0.2833956573	0.8697695672
137	0.2832931499	0.8694431751
138	0.283187304	0.8699654024
139	0.2829749913	0.8700959593
140	0.2825699984	0.8701612377
141	0.2825478492	0.8701612377
142	0.2824109004	0.8704876297
143	0.2821747089	0.871009857
144	0.2821471457	0.871009857
145	0.2818609437	0.8706181866
146	0.2818360068	0.8706181866
147	0.2818103404	0.8706181866
148	0.2814917084	0.8711404139
149	0.281191647	0.8723807037
150	0.2811676499	0.8725112605
151	0.2811480531	0.8725112605
152	0.2806387043	0.8724459821
153	0.2803746042	0.8723807037
154	0.2800386258	0.8731640447
155	0.2797911466	0.8734251583
156	0.279441449	0.8734251583
157	0.2791490173	0.8736862719
158	0.2791257141	0.8736862719
159	0.2788686599	0.8740779424
160	0.2786417803	0.8746001697
161	0.2782666578	0.8749265618
162	0.2780825597	0.8750571186
163	0.2776346631	0.8758404596
164	0.2775220604	0.8759710164
165	0.2773946487	0.87623213
166	0.2770043247	0.8759710164
167	0.2769709226	0.8758404596
168	0.2767297637	0.8758404596
169	0.2764953005	0.8762974084
170	0.2763772129	0.8761668516
171	0.2763454423	0.8762974084
172	0.2762480832	0.875905738
173	0.275862182	0.8757751811
174	0.2757514721	0.875905738
175	0.2757210564	0.875905738
176	0.275152993	0.87623213
177	0.2748478912	0.87623213
178	0.2745503714	0.8763626869
179	0.2744719634	0.8764279653
180	0.274309069	0.8762974084
181	0.2740522051	0.8761015732
182	0.2737759145	0.8760362948
183	0.2737473163	0.8760362948
184	0.2737196604	0.8760362948
185	0.2736306031	0.8761015732
186	0.2735531906	0.87623213
187	0.2733516883	0.8763626869
188	0.2732507799	0.8764932437
189	0.2731270112	0.8764932437
190	0.273021814	0.8767543573
191	0.2729950699	0.8767543573
192	0.2725870556	0.877015471
193	0.2725613163	0.877015471
194	0.2725363643	0.877015471
195	0.2722422436	0.8774071415
196	0.2722181432	0.8774071415
197	0.2721763285	0.8774724199
198	0.2719487959	0.8774071415
199	0.2717422436	0.8776029767
200	0.2714366112	0.877341863
201	0.2711230098	0.8771460278
202	0.2708178957	0.8779293688
203	0.2706135717	0.8777988119
204	0.2705144956	0.8779293688
205	0.2701338918	0.8787779881
206	0.2700732576	0.8788432665
207	0.2697515307	0.8791043802
208	0.2696404132	0.8789085449
209	0.2696169606	0.8789085449
210	0.2695942337	0.8789085449
211	0.2694294389	0.8791043802
212	0.2694161203	0.8791043802
213	0.2693183943	0.8794307722
214	0.2692287054	0.8799529995
215	0.2689820988	0.8800835564
216	0.2687393321	0.8802141132
217	0.2685525043	0.8801488348
218	0.2685049988	0.8804099484
219	0.2680959477	0.8811932894
220	0.26800332	0.8813891246
221	0.2678774554	0.8812585678
222	0.2677223286	0.8816502383
223	0.2674203281	0.8817807951
224	0.2671571515	0.882237744
225	0.2668416712	0.8820419087
226	0.2667984848	0.8821724656
227	0.2665802087	0.8824335792
228	0.2662066628	0.8831516418
229	0.2661402186	0.8831516418
230	0.2660017955	0.8832169202
231	0.265961674	0.8832169202
232	0.2657264874	0.8834127554
233	0.2654718391	0.8835433122
234	0.2652784113	0.8834780338
235	0.2650154786	0.8836738691
236	0.2647033554	0.883347477
237	0.2644419016	0.8832821986
238	0.2642095711	0.883347477
239	0.2638746272	0.8842613748
240	0.2637210867	0.8843919316
241	0.2634917518	0.8846530452
242	0.263234153	0.8845877668
243	0.2631971976	0.8845877668
244	0.2630610775	0.8849141589
245	0.2630263649	0.8849141589
246	0.2628780707	0.8849141589
247	0.2628324005	0.8848488805
248	0.2627997608	0.8848488805
249	0.2627286251	0.8848488805
250	0.2623995505	0.8847836021
251	0.262263417	0.8848488805
252	0.2620815834	0.8853711078
253	0.2618795172	0.8853058294
254	0.2617569288	0.8857627782
255	0.2617259297	0.8856974998
256	0.2615736412	0.8858933351
257	0.261489698	0.8862197271
258	0.2614603926	0.8862197271
259	0.2612646502	0.8860891703
260	0.2611978464	0.8864808408
261	0.2609852568	0.8858280567
262	0.260909908	0.8858280567
263	0.2607269097	0.8860238919
264	0.2606083323	0.8859586135
265	0.2603974565	0.8866113976
266	0.2603058969	0.8867419544
267	0.2601809034	0.8867419544
268	0.2600037165	0.8869377897
269	0.2599792518	0.8869377897
270	0.259719204	0.8862197271
271	0.2594905564	0.8870683465
272	0.2594640428	0.8870683465
273	0.259290106	0.8873947386
274	0.2591572692	0.8876558522
275	0.2588811401	0.8872641817
276	0.2587321828	0.8877211306
277	0.2586562674	0.8879169659
278	0.2585154706	0.8880475227
279	0.2583603896	0.8879169659
280	0.2580976528	0.8883739147
281	0.2578998616	0.8881780795
282	0.257725968	0.8881780795
283	0.2577034959	0.8883086363
284	0.2576001397	0.8883739147
285	0.2575241453	0.8884391932
286	0.2574125657	0.8888308636
287	0.257221636	0.88856975
288	0.2570372934	0.8883739147
289	0.2568786104	0.8887003068
290	0.2567772528	0.8890919773
291	0.2567343258	0.8890266989
292	0.2564812412	0.8894836478
293	0.2564422162	0.8894183693
294	0.2562862393	0.8892878125
295	0.2562337315	0.8890919773
296	0.2560941938	0.8890919773
297	0.2560225576	0.8890919773
298	0.2559138518	0.8891572557
299	0.255741934	0.8897447614
300	0.25568472	0.8897447614
301	0.2554757873	0.8896142046
302	0.2553543589	0.8898753182
303	0.2552071111	0.8902669887
304	0.2550922199	0.8906586592
305	0.2549336969	0.8907239376
306	0.2547439279	0.8906586592
307	0.2545928542	0.8907239376
308	0.2543992811	0.890789216
309	0.2542492778	0.8905933808
310	0.2540601804	0.8911808865
311	0.2537968444	0.8913114433
312	0.2537028435	0.8916378354
313	0.2534430205	0.8916378354
314	0.2531711521	0.8920295058
315	0.2530677057	0.891898949
316	0.2529716221	0.8920947843
317	0.2528352316	0.8919642274
318	0.2526067625	0.8920295058
319	0.2525770751	0.8922253411
320	0.2525156616	0.8919642274
321	0.2525035723	0.8920947843
322	0.2522497936	0.8918336706
323	0.2521420041	0.8920947843
324	0.2519432106	0.891898949
325	0.2517537438	0.8911156081
326	0.2517416906	0.8911808865
327	0.251472177	0.8923558979
328	0.2514607123	0.8924864547
329	0.2511512474	0.8923558979
330	0.2511004144	0.8924211763
331	0.2510611043	0.8923558979
332	0.250924009	0.8924211763
333	0.2508934417	0.8924211763
334	0.2508748084	0.8924211763
335	0.250701807	0.8927475684
336	0.2506948078	0.8927475684
337	0.2506181658	0.8929434036
338	0.2505401776	0.8931392389
339	0.2503657841	0.8928781252
340	0.2503552824	0.893008682
341	0.2501534118	0.8932697957
342	0.2500160277	0.8932697957
343	0.2500056038	0.8932697957
344	0.2498490759	0.8928128468
345	0.249789263	0.8932045173
346	0.2497792458	0.8930739604
347	0.2495262779	0.8934003525
348	0.2494917373	0.8934003525
349	0.2493222097	0.8933350741
350	0.2492054194	0.8935309093
351	0.2491144288	0.8934656309
352	0.2489727096	0.8936614662
353	0.2488573182	0.8932045173
354	0.2488549694	0.8932045173
355	0.2488510399	0.8932045173
356	0.2487393133	0.8930739604
357	0.2486349906	0.8928781252
358	0.2485716731	0.8929434036
359	0.2485669752	0.8929434036
360	0.2484414068	0.893008682
361	0.2483909735	0.8931392389
362	0.2483084603	0.8928781252
363	0.2480969251	0.8931392389
364	0.2480922916	0.8931392389
365	0.2479122889	0.8935309093
366	0.2478177782	0.8934656309
367	0.247767843	0.8935309093
368	0.2475672641	0.8936614662
369	0.2473478692	0.8941836935
370	0.2471438682	0.8944448071
371	0.2469332772	0.8947059208
372	0.2467700418	0.8946406423
373	0.2466558878	0.8947059208
374	0.2466485784	0.8948364776
375	0.2464392875	0.8945753639
376	0.2462545353	0.8948364776
377	0.246230841	0.8948364776
378	0.2462221728	0.8948364776
379	0.2460158814	0.8945100855
380	0.2459739256	0.8947059208
381	0.2459478004	0.8945100855
382	0.2458970728	0.8946406423
383	0.2458001142	0.8948364776
384	0.2457421877	0.8948364776
385	0.2457299917	0.8948364776
386	0.2456863488	0.8950323128
387	0.2456512224	0.894901756
388	0.2453582911	0.8952281481
389	0.2452772454	0.8951628696
390	0.2451695268	0.8950323128
391	0.2450050514	0.8952281481
392	0.2449959801	0.8952281481
393	0.2448598169	0.8951628696
394	0.2446191963	0.8955545401
395	0.2445974655	0.8955545401
396	0.2445279526	0.8956198185
397	0.244523119	0.8956198185
398	0.2445033291	0.8956198185
399	0.2443956968	0.8957503754
400	0.2443047368	0.8958809322
401	0.2442668569	0.8958809322
402	0.2441285164	0.8960767674
403	0.2438805467	0.8960767674
404	0.2438694337	0.8960767674
405	0.2437707282	0.8965337163
406	0.2435460763	0.8968601084
407	0.2433326832	0.8969906652
408	0.2430937302	0.8972517788
