iter	Passed	Remaining
0	71	71112
1	79	39623
2	83	27775
3	89	22202
4	94	18741
5	99	16403
6	104	14890
7	117	14543
8	121	13410
9	128	12731
10	137	12373
11	147	12127
12	153	11639
13	159	11223
14	166	10944
15	172	10632
16	177	10270
17	184	10041
18	190	9836
19	196	9631
20	203	9463
21	207	9237
22	213	9059
23	218	8902
24	224	8764
25	231	8655
26	235	8497
27	241	8395
28	247	8293
29	253	8185
30	259	8103
31	264	8010
32	269	7908
33	275	7818
34	282	7784
35	287	7688
36	294	7652
37	299	7593
38	304	7499
39	309	7428
40	314	7360
41	319	7280
42	324	7230
43	329	7150
44	333	7076
45	339	7030
46	343	6962
47	348	6909
48	353	6858
49	357	6795
50	363	6756
51	367	6708
52	372	6662
53	379	6652
54	384	6605
55	388	6551
56	394	6522
57	398	6478
58	403	6440
59	409	6408
60	414	6375
61	419	6350
62	424	6309
63	428	6264
64	433	6239
65	439	6214
66	444	6187
67	448	6149
68	452	6112
69	458	6087
70	462	6053
71	467	6025
72	472	5994
73	477	5971
74	482	5944
75	486	5919
76	491	5896
77	496	5868
78	501	5849
79	506	5819
80	510	5791
81	516	5779
82	520	5750
83	525	5729
84	531	5718
85	538	5721
86	544	5710
87	548	5688
88	553	5669
89	558	5648
90	562	5623
91	567	5601
92	572	5580
93	577	5562
94	581	5543
95	586	5520
96	590	5497
97	595	5485
98	600	5464
99	605	5446
100	609	5427
101	614	5410
102	620	5402
103	625	5389
104	630	5371
105	635	5356
106	642	5359
107	648	5359
108	653	5345
109	659	5332
110	664	5320
111	669	5304
112	674	5291
113	678	5276
114	684	5265
115	689	5253
116	693	5236
117	699	5229
118	704	5218
119	708	5197
120	714	5189
121	719	5177
122	723	5160
123	727	5142
124	732	5129
125	738	5119
126	742	5103
127	747	5088
128	752	5078
129	756	5064
130	762	5056
131	767	5044
132	771	5028
133	776	5016
134	780	5003
135	785	4989
136	791	4987
137	796	4977
138	801	4965
139	806	4953
140	811	4944
141	817	4938
142	821	4922
143	825	4909
144	831	4902
145	836	4894
146	841	4884
147	846	4872
148	850	4858
149	857	4860
150	862	4848
151	866	4836
152	871	4826
153	877	4818
154	881	4805
155	886	4793
156	890	4781
157	896	4778
158	901	4765
159	905	4754
160	910	4743
161	914	4730
162	922	4734
163	926	4725
164	935	4732
165	939	4719
166	944	4712
167	949	4701
168	953	4689
169	959	4686
170	964	4675
171	969	4666
172	973	4654
173	978	4643
174	984	4640
175	989	4630
176	993	4621
177	998	4612
178	1003	4604
179	1010	4603
180	1015	4594
181	1020	4586
182	1025	4577
183	1030	4568
184	1035	4563
185	1041	4559
186	1047	4553
187	1052	4547
188	1058	4542
189	1065	4542
190	1071	4537
191	1076	4531
192	1081	4522
193	1085	4511
194	1090	4503
195	1095	4494
196	1101	4488
197	1105	4478
198	1110	4468
199	1114	4459
200	1119	4449
201	1125	4445
202	1130	4439
203	1136	4434
204	1141	4427
205	1146	4417
206	1151	4410
207	1155	4400
208	1160	4392
209	1165	4383
210	1170	4375
211	1176	4373
212	1180	4362
213	1186	4356
214	1190	4347
215	1195	4338
216	1200	4331
217	1206	4326
218	1210	4318
219	1215	4309
220	1220	4301
221	1226	4296
222	1230	4287
223	1235	4278
224	1240	4272
225	1245	4264
226	1250	4259
227	1255	4251
228	1259	4242
229	1265	4235
230	1269	4225
231	1274	4220
232	1279	4212
233	1284	4203
234	1289	4196
235	1293	4187
236	1298	4180
237	1303	4173
238	1309	4169
239	1314	4163
240	1319	4154
241	1325	4152
242	1330	4144
243	1335	4137
244	1339	4128
245	1344	4119
246	1348	4112
247	1353	4104
248	1358	4096
249	1362	4088
250	1367	4080
251	1374	4080
252	1379	4073
253	1384	4067
254	1389	4058
255	1393	4051
256	1400	4048
257	1405	4041
258	1410	4036
259	1415	4028
260	1420	4021
261	1425	4015
262	1431	4011
263	1436	4004
264	1441	3999
265	1447	3994
266	1452	3987
267	1457	3981
268	1464	3979
269	1468	3971
270	1474	3965
271	1478	3957
272	1483	3949
273	1488	3943
274	1493	3936
275	1498	3929
276	1503	3924
277	1508	3918
278	1513	3910
279	1517	3902
280	1524	3900
281	1528	3892
282	1533	3885
283	1537	3877
284	1541	3868
285	1547	3864
286	1552	3855
287	1557	3850
288	1562	3843
289	1566	3835
290	1572	3830
291	1576	3823
292	1581	3817
293	1586	3809
294	1591	3802
295	1597	3798
296	1601	3791
297	1607	3787
298	1611	3779
299	1616	3772
300	1621	3765
301	1626	3758
302	1631	3752
303	1636	3747
304	1641	3740
305	1646	3733
306	1651	3727
307	1656	3722
308	1661	3714
309	1665	3707
310	1670	3701
311	1675	3695
312	1682	3693
313	1687	3687
314	1694	3685
315	1699	3679
316	1703	3671
317	1708	3664
318	1713	3657
319	1718	3651
320	1722	3644
321	1727	3637
322	1732	3631
323	1736	3623
324	1742	3618
325	1747	3611
326	1753	3609
327	1758	3602
328	1762	3595
329	1768	3589
330	1772	3582
331	1778	3577
332	1782	3571
333	1787	3563
334	1792	3557
335	1797	3552
336	1802	3547
337	1807	3540
338	1811	3532
339	1816	3526
340	1821	3519
341	1827	3515
342	1833	3511
343	1839	3508
344	1844	3501
345	1848	3493
346	1854	3489
347	1858	3481
348	1863	3475
349	1867	3468
350	1871	3460
351	1876	3454
352	1880	3446
353	1884	3439
354	1888	3431
355	1892	3423
356	1897	3417
357	1901	3409
358	1905	3402
359	1910	3396
360	1914	3389
361	1921	3385
362	1925	3378
363	1929	3371
364	1934	3365
365	1938	3357
366	1942	3350
367	1946	3343
368	1950	3336
369	1955	3329
370	1959	3321
371	1963	3315
372	1968	3309
373	1973	3302
374	1976	3294
375	1981	3288
376	1985	3281
377	1989	3274
378	1994	3267
379	1998	3261
380	2003	3255
381	2008	3248
382	2012	3241
383	2016	3235
384	2022	3230
385	2027	3224
386	2031	3218
387	2035	3211
388	2040	3204
389	2044	3198
390	2050	3193
391	2055	3187
392	2060	3182
393	2066	3178
394	2071	3172
395	2076	3166
396	2080	3159
397	2084	3153
398	2089	3146
399	2093	3140
400	2097	3133
401	2102	3127
402	2106	3120
403	2111	3114
404	2116	3110
405	2121	3103
406	2125	3097
407	2130	3090
408	2134	3084
409	2138	3077
410	2143	3071
411	2147	3064
412	2152	3058
413	2156	3052
414	2160	3046
415	2166	3040
416	2170	3035
417	2175	3028
418	2179	3022
419	2183	3015
420	2187	3008
421	2191	3001
422	2196	2996
423	2201	2990
424	2205	2983
425	2209	2977
426	2213	2970
427	2217	2963
428	2221	2957
429	2225	2950
430	2230	2944
431	2234	2938
432	2239	2932
433	2244	2927
434	2248	2920
435	2253	2915
436	2258	2909
437	2262	2903
438	2266	2896
439	2271	2890
440	2275	2883
441	2279	2877
442	2284	2872
443	2289	2866
444	2293	2860
445	2298	2854
446	2302	2848
447	2307	2842
448	2311	2836
449	2315	2830
450	2319	2823
451	2325	2818
452	2329	2812
453	2333	2806
454	2338	2800
455	2342	2794
456	2346	2788
457	2351	2782
458	2355	2776
459	2360	2770
460	2364	2764
461	2369	2759
462	2373	2753
463	2378	2747
464	2383	2741
465	2387	2735
466	2392	2730
467	2396	2724
468	2400	2717
469	2404	2712
470	2410	2706
471	2414	2701
472	2418	2694
473	2422	2688
474	2427	2682
475	2431	2676
476	2436	2671
477	2441	2666
478	2445	2660
479	2450	2655
480	2454	2648
481	2458	2642
482	2463	2636
483	2467	2630
484	2471	2624
485	2476	2618
486	2485	2618
487	2490	2612
488	2495	2608
489	2500	2602
490	2504	2596
491	2509	2591
492	2514	2585
493	2518	2579
494	2522	2573
495	2526	2567
496	2531	2562
497	2536	2556
498	2541	2551
499	2546	2546
500	2551	2540
501	2554	2534
502	2559	2528
503	2564	2524
504	2569	2518
505	2573	2512
506	2577	2506
507	2582	2501
508	2588	2496
509	2593	2492
510	2598	2486
511	2603	2481
512	2609	2476
513	2613	2471
514	2618	2465
515	2623	2460
516	2627	2454
517	2632	2449
518	2637	2444
519	2641	2438
520	2646	2433
521	2650	2427
522	2656	2422
523	2660	2416
524	2665	2411
525	2669	2405
526	2673	2399
527	2679	2394
528	2683	2389
529	2687	2383
530	2691	2377
531	2695	2371
532	2700	2366
533	2704	2360
534	2709	2354
535	2713	2349
536	2718	2343
537	2724	2339
538	2728	2333
539	2734	2329
540	2739	2323
541	2743	2317
542	2747	2312
543	2751	2306
544	2757	2302
545	2761	2296
546	2766	2290
547	2770	2285
548	2775	2279
549	2779	2274
550	2783	2268
551	2788	2262
552	2793	2257
553	2797	2252
554	2802	2246
555	2806	2241
556	2812	2236
557	2817	2231
558	2821	2225
559	2825	2220
560	2830	2214
561	2834	2209
562	2846	2209
563	2851	2204
564	2855	2198
565	2859	2192
566	2864	2187
567	2869	2182
568	2873	2176
569	2877	2171
570	2882	2165
571	2886	2159
572	2891	2154
573	2895	2148
574	2901	2144
575	2905	2138
576	2910	2133
577	2914	2128
578	2919	2122
579	2924	2117
580	2929	2112
581	2934	2107
582	2938	2101
583	2943	2096
584	2947	2090
585	2951	2085
586	2956	2080
587	2961	2075
588	2967	2070
589	2972	2065
590	2976	2059
591	2981	2054
592	2986	2049
593	2990	2044
594	2994	2038
595	2999	2033
596	3003	2027
597	3008	2022
598	3013	2017
599	3017	2011
600	3022	2006
601	3026	2000
602	3031	1995
603	3035	1989
604	3039	1984
605	3043	1979
606	3048	1973
607	3052	1968
608	3057	1963
609	3062	1957
610	3067	1952
611	3071	1947
612	3075	1941
613	3079	1935
614	3083	1930
615	3087	1924
616	3092	1919
617	3096	1913
618	3100	1908
619	3104	1902
620	3108	1897
621	3112	1891
622	3117	1886
623	3122	1881
624	3126	1875
625	3130	1870
626	3135	1865
627	3139	1859
628	3144	1854
629	3149	1849
630	3153	1844
631	3157	1838
632	3162	1833
633	3166	1828
634	3170	1822
635	3176	1817
636	3180	1812
637	3186	1808
638	3190	1802
639	3195	1797
640	3199	1791
641	3203	1786
642	3209	1781
643	3213	1776
644	3219	1771
645	3223	1766
646	3228	1761
647	3232	1755
648	3236	1750
649	3242	1745
650	3246	1740
651	3251	1735
652	3255	1729
653	3259	1724
654	3264	1719
655	3268	1713
656	3274	1709
657	3279	1704
658	3284	1699
659	3290	1694
660	3294	1689
661	3302	1685
662	3306	1680
663	3312	1676
664	3317	1671
665	3322	1666
666	3326	1660
667	3331	1655
668	3335	1650
669	3340	1645
670	3344	1639
671	3348	1634
672	3353	1629
673	3357	1624
674	3361	1618
675	3366	1613
676	3370	1608
677	3375	1603
678	3379	1597
679	3384	1592
680	3388	1587
681	3393	1582
682	3398	1577
683	3403	1572
684	3407	1567
685	3412	1561
686	3416	1556
687	3421	1551
688	3425	1546
689	3430	1541
690	3435	1536
691	3440	1531
692	3444	1525
693	3448	1520
694	3453	1515
695	3457	1510
696	3461	1504
697	3466	1499
698	3472	1495
699	3477	1490
700	3481	1485
701	3487	1480
702	3492	1475
703	3497	1470
704	3501	1465
705	3506	1460
706	3511	1455
707	3515	1449
708	3520	1444
709	3524	1439
710	3528	1434
711	3532	1428
712	3536	1423
713	3541	1418
714	3546	1413
715	3550	1408
716	3554	1403
717	3559	1398
718	3563	1392
719	3568	1387
720	3573	1382
721	3577	1377
722	3583	1372
723	3587	1367
724	3591	1362
725	3596	1357
726	3601	1352
727	3606	1347
728	3611	1342
729	3616	1337
730	3620	1332
731	3626	1327
732	3630	1322
733	3635	1317
734	3641	1312
735	3645	1307
736	3650	1302
737	3654	1297
738	3659	1292
739	3663	1287
740	3668	1282
741	3672	1276
742	3677	1272
743	3681	1266
744	3686	1261
745	3690	1256
746	3695	1251
747	3700	1246
748	3705	1241
749	3710	1236
750	3714	1231
751	3719	1226
752	3723	1221
753	3727	1216
754	3731	1210
755	3736	1206
756	3741	1201
757	3747	1196
758	3751	1191
759	3756	1186
760	3762	1181
761	3766	1176
762	3772	1171
763	3776	1166
764	3781	1161
765	3786	1156
766	3790	1151
767	3795	1146
768	3799	1141
769	3804	1136
770	3808	1131
771	3813	1126
772	3818	1121
773	3822	1116
774	3826	1110
775	3830	1105
776	3835	1100
777	3839	1095
778	3844	1090
779	3849	1085
780	3854	1080
781	3858	1075
782	3862	1070
783	3866	1065
784	3871	1060
785	3876	1055
786	3881	1050
787	3886	1045
788	3890	1040
789	3895	1035
790	3899	1030
791	3904	1025
792	3909	1020
793	3914	1015
