0:	test: 0.7914632	best: 0.7914632 (0)	total: 100ms	remaining: 1m 40s
1:	test: 0.7941517	best: 0.7941517 (1)	total: 143ms	remaining: 1m 11s
2:	test: 0.7950892	best: 0.7950892 (2)	total: 176ms	remaining: 58.3s
3:	test: 0.7955830	best: 0.7955830 (3)	total: 209ms	remaining: 52.1s
4:	test: 0.7957122	best: 0.7957122 (4)	total: 240ms	remaining: 47.8s
5:	test: 0.7956174	best: 0.7957122 (4)	total: 273ms	remaining: 45.2s
6:	test: 0.7960477	best: 0.7960477 (6)	total: 306ms	remaining: 43.5s
7:	test: 0.7960789	best: 0.7960789 (7)	total: 338ms	remaining: 41.9s
8:	test: 0.7962564	best: 0.7962564 (8)	total: 373ms	remaining: 41.1s
9:	test: 0.7962697	best: 0.7962697 (9)	total: 405ms	remaining: 40.1s
10:	test: 0.7969781	best: 0.7969781 (10)	total: 443ms	remaining: 39.8s
11:	test: 0.7970619	best: 0.7970619 (11)	total: 480ms	remaining: 39.5s
12:	test: 0.7969824	best: 0.7970619 (11)	total: 520ms	remaining: 39.5s
13:	test: 0.7971521	best: 0.7971521 (13)	total: 560ms	remaining: 39.5s
14:	test: 0.7972661	best: 0.7972661 (14)	total: 600ms	remaining: 39.4s
15:	test: 0.7974032	best: 0.7974032 (15)	total: 633ms	remaining: 39s
16:	test: 0.7973661	best: 0.7974032 (15)	total: 668ms	remaining: 38.6s
17:	test: 0.7975182	best: 0.7975182 (17)	total: 701ms	remaining: 38.2s
18:	test: 0.7974805	best: 0.7975182 (17)	total: 735ms	remaining: 37.9s
19:	test: 0.7974604	best: 0.7975182 (17)	total: 767ms	remaining: 37.6s
20:	test: 0.7975370	best: 0.7975370 (20)	total: 801ms	remaining: 37.3s
21:	test: 0.7975235	best: 0.7975370 (20)	total: 835ms	remaining: 37.1s
22:	test: 0.7977293	best: 0.7977293 (22)	total: 867ms	remaining: 36.8s
23:	test: 0.7978765	best: 0.7978765 (23)	total: 906ms	remaining: 36.9s
24:	test: 0.7979534	best: 0.7979534 (24)	total: 940ms	remaining: 36.6s
25:	test: 0.7979202	best: 0.7979534 (24)	total: 973ms	remaining: 36.4s
26:	test: 0.7979840	best: 0.7979840 (26)	total: 1.01s	remaining: 36.3s
27:	test: 0.7980470	best: 0.7980470 (27)	total: 1.04s	remaining: 36.1s
28:	test: 0.7981806	best: 0.7981806 (28)	total: 1.07s	remaining: 35.9s
29:	test: 0.7984536	best: 0.7984536 (29)	total: 1.11s	remaining: 35.9s
30:	test: 0.7985206	best: 0.7985206 (30)	total: 1.14s	remaining: 35.8s
31:	test: 0.7986478	best: 0.7986478 (31)	total: 1.18s	remaining: 35.7s
32:	test: 0.7986923	best: 0.7986923 (32)	total: 1.21s	remaining: 35.6s
33:	test: 0.7987380	best: 0.7987380 (33)	total: 1.25s	remaining: 35.4s
34:	test: 0.7987773	best: 0.7987773 (34)	total: 1.28s	remaining: 35.3s
35:	test: 0.7988170	best: 0.7988170 (35)	total: 1.31s	remaining: 35.2s
36:	test: 0.7988842	best: 0.7988842 (36)	total: 1.35s	remaining: 35.1s
37:	test: 0.7989337	best: 0.7989337 (37)	total: 1.38s	remaining: 35s
38:	test: 0.7989619	best: 0.7989619 (38)	total: 1.41s	remaining: 34.8s
39:	test: 0.7989976	best: 0.7989976 (39)	total: 1.45s	remaining: 34.7s
40:	test: 0.7990547	best: 0.7990547 (40)	total: 1.48s	remaining: 34.6s
41:	test: 0.7991363	best: 0.7991363 (41)	total: 1.52s	remaining: 34.6s
42:	test: 0.7992883	best: 0.7992883 (42)	total: 1.55s	remaining: 34.5s
43:	test: 0.7993023	best: 0.7993023 (43)	total: 1.58s	remaining: 34.4s
44:	test: 0.7993578	best: 0.7993578 (44)	total: 1.62s	remaining: 34.3s
45:	test: 0.7994484	best: 0.7994484 (45)	total: 1.65s	remaining: 34.3s
46:	test: 0.7994926	best: 0.7994926 (46)	total: 1.69s	remaining: 34.2s
47:	test: 0.7996036	best: 0.7996036 (47)	total: 1.72s	remaining: 34.1s
48:	test: 0.7997244	best: 0.7997244 (48)	total: 1.75s	remaining: 34s
49:	test: 0.7998629	best: 0.7998629 (49)	total: 1.79s	remaining: 33.9s
50:	test: 0.7998742	best: 0.7998742 (50)	total: 1.82s	remaining: 33.9s
51:	test: 0.7998878	best: 0.7998878 (51)	total: 1.85s	remaining: 33.8s
52:	test: 0.7999548	best: 0.7999548 (52)	total: 1.89s	remaining: 33.7s
53:	test: 0.8000036	best: 0.8000036 (53)	total: 1.93s	remaining: 33.7s
54:	test: 0.8000254	best: 0.8000254 (54)	total: 1.96s	remaining: 33.6s
55:	test: 0.8000966	best: 0.8000966 (55)	total: 2s	remaining: 33.6s
56:	test: 0.8002441	best: 0.8002441 (56)	total: 2.03s	remaining: 33.6s
57:	test: 0.8003592	best: 0.8003592 (57)	total: 2.06s	remaining: 33.5s
58:	test: 0.8003393	best: 0.8003592 (57)	total: 2.1s	remaining: 33.5s
59:	test: 0.8003599	best: 0.8003599 (59)	total: 2.13s	remaining: 33.4s
60:	test: 0.8004334	best: 0.8004334 (60)	total: 2.16s	remaining: 33.3s
