2023-07-21 09:34:08,764 INFO    WorkerThread-1:7955 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_setup.py:_flush():76] Configure stats pid to 7955
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_setup.py:_flush():76] Loading settings from /home/seacevedo/.config/wandb/settings
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_setup.py:_flush():76] Loading settings from /home/seacevedo/splatoon_ml_project/flows/wandb/settings
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_flow.py', 'program': '/home/seacevedo/splatoon_ml_project/flows/main_flow.py'}
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_init.py:_log_setup():507] Logging user logs to /home/seacevedo/splatoon_ml_project/flows/wandb/run-20230721_093408-q9gd93v2/logs/debug.log
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_init.py:_log_setup():508] Logging internal logs to /home/seacevedo/splatoon_ml_project/flows/wandb/run-20230721_093408-q9gd93v2/logs/debug-internal.log
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_init.py:init():547] calling init triggers
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_init.py:init():596] starting backend
2023-07-21 09:34:08,765 INFO    WorkerThread-1:7955 [wandb_init.py:init():600] setting up manager
2023-07-21 09:34:08,767 INFO    WorkerThread-1:7955 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-07-21 09:34:08,769 INFO    WorkerThread-1:7955 [wandb_init.py:init():606] backend started and connected
2023-07-21 09:34:08,771 INFO    WorkerThread-1:7955 [wandb_init.py:init():700] updated telemetry
2023-07-21 09:34:08,771 INFO    WorkerThread-1:7955 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-07-21 09:34:09,103 INFO    WorkerThread-1:7955 [wandb_run.py:_on_init():2177] communicating current version
2023-07-21 09:34:09,235 INFO    WorkerThread-1:7955 [wandb_run.py:_on_init():2186] got version response upgrade_message: "wandb version 0.15.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-07-21 09:34:09,235 INFO    WorkerThread-1:7955 [wandb_init.py:init():787] starting run threads in backend
2023-07-21 09:34:11,349 INFO    WorkerThread-1:7955 [wandb_run.py:_console_start():2158] atexit reg
2023-07-21 09:34:11,350 INFO    WorkerThread-1:7955 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-07-21 09:34:11,350 INFO    WorkerThread-1:7955 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-07-21 09:34:11,350 INFO    WorkerThread-1:7955 [wandb_run.py:_redirect():2103] Redirects installed.
2023-07-21 09:34:11,350 INFO    WorkerThread-1:7955 [wandb_init.py:init():829] run started, returning control to user process
2023-07-21 09:34:13,342 INFO    WorkerThread-1:7955 [wandb_run.py:_finish():1893] finishing run seacevedo/test_project/q9gd93v2
2023-07-21 09:34:13,342 INFO    WorkerThread-1:7955 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2023-07-21 09:34:13,342 INFO    WorkerThread-1:7955 [wandb_run.py:_restore():2110] restore
2023-07-21 09:34:13,342 INFO    WorkerThread-1:7955 [wandb_run.py:_restore():2116] restore done
2023-07-21 09:34:19,946 INFO    WorkerThread-1:7955 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2023-07-21 09:34:19,946 INFO    WorkerThread-1:7955 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2023-07-21 09:34:19,948 INFO    WorkerThread-1:7955 [wandb_run.py:_footer_sync_info():3428] logging synced files
