0:	test: 0.7786112	best: 0.7786112 (0)	total: 79.1ms	remaining: 1m 19s
1:	test: 0.7815082	best: 0.7815082 (1)	total: 100ms	remaining: 49.9s
2:	test: 0.7816511	best: 0.7816511 (2)	total: 123ms	remaining: 41s
3:	test: 0.7839991	best: 0.7839991 (3)	total: 145ms	remaining: 36.1s
4:	test: 0.7866283	best: 0.7866283 (4)	total: 165ms	remaining: 32.9s
5:	test: 0.7899925	best: 0.7899925 (5)	total: 189ms	remaining: 31.4s
6:	test: 0.7905635	best: 0.7905635 (6)	total: 213ms	remaining: 30.2s
7:	test: 0.7910599	best: 0.7910599 (7)	total: 234ms	remaining: 29s
8:	test: 0.7913115	best: 0.7913115 (8)	total: 256ms	remaining: 28.2s
9:	test: 0.7916648	best: 0.7916648 (9)	total: 277ms	remaining: 27.4s
10:	test: 0.7917362	best: 0.7917362 (10)	total: 298ms	remaining: 26.8s
11:	test: 0.7917917	best: 0.7917917 (11)	total: 318ms	remaining: 26.2s
12:	test: 0.7928533	best: 0.7928533 (12)	total: 340ms	remaining: 25.8s
13:	test: 0.7927927	best: 0.7928533 (12)	total: 360ms	remaining: 25.3s
14:	test: 0.7929126	best: 0.7929126 (14)	total: 382ms	remaining: 25.1s
15:	test: 0.7935143	best: 0.7935143 (15)	total: 405ms	remaining: 24.9s
16:	test: 0.7937941	best: 0.7937941 (16)	total: 426ms	remaining: 24.6s
17:	test: 0.7944094	best: 0.7944094 (17)	total: 447ms	remaining: 24.4s
18:	test: 0.7944874	best: 0.7944874 (18)	total: 467ms	remaining: 24.1s
19:	test: 0.7946773	best: 0.7946773 (19)	total: 489ms	remaining: 24s
20:	test: 0.7947091	best: 0.7947091 (20)	total: 514ms	remaining: 24s
21:	test: 0.7950012	best: 0.7950012 (21)	total: 533ms	remaining: 23.7s
22:	test: 0.7951531	best: 0.7951531 (22)	total: 555ms	remaining: 23.6s
23:	test: 0.7951309	best: 0.7951531 (22)	total: 575ms	remaining: 23.4s
24:	test: 0.7953154	best: 0.7953154 (24)	total: 599ms	remaining: 23.4s
25:	test: 0.7955060	best: 0.7955060 (25)	total: 623ms	remaining: 23.3s
26:	test: 0.7957235	best: 0.7957235 (26)	total: 643ms	remaining: 23.2s
27:	test: 0.7958181	best: 0.7958181 (27)	total: 664ms	remaining: 23s
28:	test: 0.7960556	best: 0.7960556 (28)	total: 685ms	remaining: 22.9s
29:	test: 0.7962830	best: 0.7962830 (29)	total: 707ms	remaining: 22.8s
30:	test: 0.7966938	best: 0.7966938 (30)	total: 728ms	remaining: 22.8s
31:	test: 0.7964364	best: 0.7966938 (30)	total: 749ms	remaining: 22.7s
32:	test: 0.7966411	best: 0.7966938 (30)	total: 770ms	remaining: 22.6s
33:	test: 0.7973164	best: 0.7973164 (33)	total: 791ms	remaining: 22.5s
34:	test: 0.7974492	best: 0.7974492 (34)	total: 812ms	remaining: 22.4s
35:	test: 0.7975963	best: 0.7975963 (35)	total: 834ms	remaining: 22.3s
36:	test: 0.7975538	best: 0.7975963 (35)	total: 855ms	remaining: 22.2s
37:	test: 0.7977123	best: 0.7977123 (37)	total: 877ms	remaining: 22.2s
38:	test: 0.7979302	best: 0.7979302 (38)	total: 899ms	remaining: 22.2s
39:	test: 0.7979993	best: 0.7979993 (39)	total: 921ms	remaining: 22.1s
40:	test: 0.7980780	best: 0.7980780 (40)	total: 942ms	remaining: 22s
41:	test: 0.7981658	best: 0.7981658 (41)	total: 964ms	remaining: 22s
42:	test: 0.7983782	best: 0.7983782 (42)	total: 984ms	remaining: 21.9s
43:	test: 0.7985116	best: 0.7985116 (43)	total: 1s	remaining: 21.8s
44:	test: 0.7984444	best: 0.7985116 (43)	total: 1.02s	remaining: 21.8s
45:	test: 0.7985162	best: 0.7985162 (45)	total: 1.05s	remaining: 21.7s
46:	test: 0.7985886	best: 0.7985886 (46)	total: 1.07s	remaining: 21.6s
47:	test: 0.7986929	best: 0.7986929 (47)	total: 1.09s	remaining: 21.6s
48:	test: 0.7987388	best: 0.7987388 (48)	total: 1.11s	remaining: 21.6s
49:	test: 0.7988745	best: 0.7988745 (49)	total: 1.13s	remaining: 21.5s
50:	test: 0.7988473	best: 0.7988745 (49)	total: 1.15s	remaining: 21.4s
51:	test: 0.7988800	best: 0.7988800 (51)	total: 1.17s	remaining: 21.4s
52:	test: 0.7989347	best: 0.7989347 (52)	total: 1.2s	remaining: 21.4s
53:	test: 0.7990170	best: 0.7990170 (53)	total: 1.22s	remaining: 21.4s
54:	test: 0.7990661	best: 0.7990661 (54)	total: 1.24s	remaining: 21.4s
55:	test: 0.7990899	best: 0.7990899 (55)	total: 1.26s	remaining: 21.3s
56:	test: 0.7994031	best: 0.7994031 (56)	total: 1.29s	remaining: 21.3s
57:	test: 0.7994010	best: 0.7994031 (56)	total: 1.31s	remaining: 21.3s
58:	test: 0.7995242	best: 0.7995242 (58)	total: 1.33s	remaining: 21.2s
59:	test: 0.7995819	best: 0.7995819 (59)	total: 1.35s	remaining: 21.1s
60:	test: 0.7995571	best: 0.7995819 (59)	total: 1.37s	remaining: 21.1s
61:	test: 0.7995678	best: 0.7995819 (59)	total: 1.39s	remaining: 21.1s
62:	test: 0.7995050	best: 0.7995819 (59)	total: 1.41s	remaining: 21s
63:	test: 0.7996811	best: 0.7996811 (63)	total: 1.43s	remaining: 20.9s
64:	test: 0.7996645	best: 0.7996811 (63)	total: 1.45s	remaining: 20.9s
65:	test: 0.7996523	best: 0.7996811 (63)	total: 1.47s	remaining: 20.9s
66:	test: 0.7997348	best: 0.7997348 (66)	total: 1.49s	remaining: 20.8s
67:	test: 0.7998275	best: 0.7998275 (67)	total: 1.52s	remaining: 20.8s
68:	test: 0.7998819	best: 0.7998819 (68)	total: 1.54s	remaining: 20.8s
69:	test: 0.7999498	best: 0.7999498 (69)	total: 1.56s	remaining: 20.8s
70:	test: 0.7999738	best: 0.7999738 (70)	total: 1.58s	remaining: 20.7s
71:	test: 0.8000353	best: 0.8000353 (71)	total: 1.61s	remaining: 20.7s
72:	test: 0.8000403	best: 0.8000403 (72)	total: 1.63s	remaining: 20.7s
73:	test: 0.8001415	best: 0.8001415 (73)	total: 1.65s	remaining: 20.6s
74:	test: 0.8002052	best: 0.8002052 (74)	total: 1.67s	remaining: 20.6s
75:	test: 0.8002693	best: 0.8002693 (75)	total: 1.69s	remaining: 20.6s
76:	test: 0.8002082	best: 0.8002693 (75)	total: 1.71s	remaining: 20.5s
77:	test: 0.8002106	best: 0.8002693 (75)	total: 1.73s	remaining: 20.5s
78:	test: 0.8002690	best: 0.8002693 (75)	total: 1.76s	remaining: 20.5s
79:	test: 0.8004252	best: 0.8004252 (79)	total: 1.78s	remaining: 20.4s
80:	test: 0.8004457	best: 0.8004457 (80)	total: 1.8s	remaining: 20.4s
81:	test: 0.8004441	best: 0.8004457 (80)	total: 1.82s	remaining: 20.4s
82:	test: 0.8004817	best: 0.8004817 (82)	total: 1.84s	remaining: 20.3s
83:	test: 0.8005011	best: 0.8005011 (83)	total: 1.86s	remaining: 20.3s
84:	test: 0.8005281	best: 0.8005281 (84)	total: 1.88s	remaining: 20.3s
85:	test: 0.8005478	best: 0.8005478 (85)	total: 1.9s	remaining: 20.2s
86:	test: 0.8005352	best: 0.8005478 (85)	total: 1.93s	remaining: 20.2s
87:	test: 0.8005130	best: 0.8005478 (85)	total: 1.95s	remaining: 20.2s
88:	test: 0.8005626	best: 0.8005626 (88)	total: 1.97s	remaining: 20.1s
89:	test: 0.8006495	best: 0.8006495 (89)	total: 1.99s	remaining: 20.1s
90:	test: 0.8006611	best: 0.8006611 (90)	total: 2.01s	remaining: 20.1s
91:	test: 0.8007110	best: 0.8007110 (91)	total: 2.03s	remaining: 20.1s
92:	test: 0.8007398	best: 0.8007398 (92)	total: 2.06s	remaining: 20.1s
93:	test: 0.8007400	best: 0.8007400 (93)	total: 2.08s	remaining: 20s
94:	test: 0.8007282	best: 0.8007400 (93)	total: 2.1s	remaining: 20s
95:	test: 0.8007277	best: 0.8007400 (93)	total: 2.12s	remaining: 20s
96:	test: 0.8007513	best: 0.8007513 (96)	total: 2.15s	remaining: 20s
97:	test: 0.8007781	best: 0.8007781 (97)	total: 2.17s	remaining: 19.9s
98:	test: 0.8007735	best: 0.8007781 (97)	total: 2.19s	remaining: 19.9s
99:	test: 0.8007631	best: 0.8007781 (97)	total: 2.21s	remaining: 19.9s
100:	test: 0.8007948	best: 0.8007948 (100)	total: 2.23s	remaining: 19.9s
101:	test: 0.8008643	best: 0.8008643 (101)	total: 2.26s	remaining: 19.9s
102:	test: 0.8008391	best: 0.8008643 (101)	total: 2.28s	remaining: 19.8s
103:	test: 0.8008575	best: 0.8008643 (101)	total: 2.3s	remaining: 19.8s
104:	test: 0.8008538	best: 0.8008643 (101)	total: 2.31s	remaining: 19.7s
105:	test: 0.8008914	best: 0.8008914 (105)	total: 2.34s	remaining: 19.7s
106:	test: 0.8008914	best: 0.8008914 (106)	total: 2.36s	remaining: 19.7s
107:	test: 0.8008651	best: 0.8008914 (106)	total: 2.38s	remaining: 19.7s
108:	test: 0.8009198	best: 0.8009198 (108)	total: 2.4s	remaining: 19.6s
109:	test: 0.8009355	best: 0.8009355 (109)	total: 2.42s	remaining: 19.6s
110:	test: 0.8009518	best: 0.8009518 (110)	total: 2.44s	remaining: 19.6s
111:	test: 0.8009603	best: 0.8009603 (111)	total: 2.46s	remaining: 19.5s
112:	test: 0.8009424	best: 0.8009603 (111)	total: 2.48s	remaining: 19.5s
113:	test: 0.8009504	best: 0.8009603 (111)	total: 2.51s	remaining: 19.5s
114:	test: 0.8010245	best: 0.8010245 (114)	total: 2.53s	remaining: 19.5s
115:	test: 0.8011282	best: 0.8011282 (115)	total: 2.55s	remaining: 19.4s
116:	test: 0.8011288	best: 0.8011288 (116)	total: 2.57s	remaining: 19.4s
117:	test: 0.8011961	best: 0.8011961 (117)	total: 2.59s	remaining: 19.4s
118:	test: 0.8011961	best: 0.8011961 (117)	total: 2.61s	remaining: 19.3s
119:	test: 0.8012029	best: 0.8012029 (119)	total: 2.63s	remaining: 19.3s
120:	test: 0.8012234	best: 0.8012234 (120)	total: 2.65s	remaining: 19.3s
121:	test: 0.8011913	best: 0.8012234 (120)	total: 2.67s	remaining: 19.2s
122:	test: 0.8011934	best: 0.8012234 (120)	total: 2.69s	remaining: 19.2s
123:	test: 0.8012389	best: 0.8012389 (123)	total: 2.71s	remaining: 19.2s
124:	test: 0.8012544	best: 0.8012544 (124)	total: 2.73s	remaining: 19.1s
125:	test: 0.8012536	best: 0.8012544 (124)	total: 2.75s	remaining: 19.1s
126:	test: 0.8012821	best: 0.8012821 (126)	total: 2.78s	remaining: 19.1s
127:	test: 0.8012770	best: 0.8012821 (126)	total: 2.79s	remaining: 19s
128:	test: 0.8012840	best: 0.8012840 (128)	total: 2.81s	remaining: 19s
129:	test: 0.8012937	best: 0.8012937 (129)	total: 2.83s	remaining: 19s
130:	test: 0.8012930	best: 0.8012937 (129)	total: 2.85s	remaining: 18.9s
131:	test: 0.8013482	best: 0.8013482 (131)	total: 2.88s	remaining: 18.9s
132:	test: 0.8013535	best: 0.8013535 (132)	total: 2.9s	remaining: 18.9s
133:	test: 0.8013535	best: 0.8013535 (132)	total: 2.91s	remaining: 18.8s
134:	test: 0.8013563	best: 0.8013563 (134)	total: 2.93s	remaining: 18.8s
135:	test: 0.8013229	best: 0.8013563 (134)	total: 2.95s	remaining: 18.8s
136:	test: 0.8013230	best: 0.8013563 (134)	total: 2.97s	remaining: 18.7s
137:	test: 0.8013305	best: 0.8013563 (134)	total: 2.99s	remaining: 18.7s
138:	test: 0.8013640	best: 0.8013640 (138)	total: 3.01s	remaining: 18.6s
139:	test: 0.8013632	best: 0.8013640 (138)	total: 3.03s	remaining: 18.6s
140:	test: 0.8013633	best: 0.8013640 (138)	total: 3.05s	remaining: 18.6s
141:	test: 0.8013674	best: 0.8013674 (141)	total: 3.07s	remaining: 18.5s
142:	test: 0.8013839	best: 0.8013839 (142)	total: 3.09s	remaining: 18.5s
143:	test: 0.8013723	best: 0.8013839 (142)	total: 3.11s	remaining: 18.5s
144:	test: 0.8013723	best: 0.8013839 (142)	total: 3.12s	remaining: 18.4s
145:	test: 0.8013725	best: 0.8013839 (142)	total: 3.14s	remaining: 18.4s
146:	test: 0.8013736	best: 0.8013839 (142)	total: 3.16s	remaining: 18.3s
147:	test: 0.8013738	best: 0.8013839 (142)	total: 3.18s	remaining: 18.3s
148:	test: 0.8013738	best: 0.8013839 (142)	total: 3.2s	remaining: 18.3s
149:	test: 0.8013738	best: 0.8013839 (142)	total: 3.22s	remaining: 18.3s
150:	test: 0.8013735	best: 0.8013839 (142)	total: 3.24s	remaining: 18.2s
151:	test: 0.8013735	best: 0.8013839 (142)	total: 3.26s	remaining: 18.2s
152:	test: 0.8013735	best: 0.8013839 (142)	total: 3.27s	remaining: 18.1s
153:	test: 0.8013733	best: 0.8013839 (142)	total: 3.29s	remaining: 18.1s
154:	test: 0.8013733	best: 0.8013839 (142)	total: 3.31s	remaining: 18s
155:	test: 0.8013618	best: 0.8013839 (142)	total: 3.33s	remaining: 18s
156:	test: 0.8013658	best: 0.8013839 (142)	total: 3.35s	remaining: 18s
157:	test: 0.8013658	best: 0.8013839 (142)	total: 3.38s	remaining: 18s
158:	test: 0.8013658	best: 0.8013839 (142)	total: 3.4s	remaining: 18s
159:	test: 0.8013658	best: 0.8013839 (142)	total: 3.41s	remaining: 17.9s
160:	test: 0.8013658	best: 0.8013839 (142)	total: 3.43s	remaining: 17.9s
161:	test: 0.8013658	best: 0.8013839 (142)	total: 3.45s	remaining: 17.8s
162:	test: 0.8013658	best: 0.8013839 (142)	total: 3.46s	remaining: 17.8s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.8013839028
bestIteration = 142
Shrink model to first 143 iterations.
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.0s
