0:	test: 0.7895676	best: 0.7895676 (0)	total: 90.5ms	remaining: 1m 30s
1:	test: 0.7905151	best: 0.7905151 (1)	total: 126ms	remaining: 1m 2s
2:	test: 0.7912281	best: 0.7912281 (2)	total: 162ms	remaining: 53.8s
3:	test: 0.7918995	best: 0.7918995 (3)	total: 195ms	remaining: 48.5s
4:	test: 0.7923140	best: 0.7923140 (4)	total: 226ms	remaining: 45s
5:	test: 0.7927620	best: 0.7927620 (5)	total: 260ms	remaining: 43.1s
6:	test: 0.7928418	best: 0.7928418 (6)	total: 294ms	remaining: 41.7s
7:	test: 0.7929218	best: 0.7929218 (7)	total: 329ms	remaining: 40.8s
8:	test: 0.7944502	best: 0.7944502 (8)	total: 365ms	remaining: 40.2s
9:	test: 0.7945102	best: 0.7945102 (9)	total: 401ms	remaining: 39.7s
10:	test: 0.7948819	best: 0.7948819 (10)	total: 439ms	remaining: 39.5s
11:	test: 0.7948546	best: 0.7948819 (10)	total: 476ms	remaining: 39.2s
12:	test: 0.7948546	best: 0.7948819 (10)	total: 506ms	remaining: 38.4s
13:	test: 0.7949733	best: 0.7949733 (13)	total: 535ms	remaining: 37.6s
14:	test: 0.7950348	best: 0.7950348 (14)	total: 562ms	remaining: 36.9s
15:	test: 0.7953060	best: 0.7953060 (15)	total: 590ms	remaining: 36.3s
16:	test: 0.7956484	best: 0.7956484 (16)	total: 620ms	remaining: 35.8s
17:	test: 0.7957134	best: 0.7957134 (17)	total: 647ms	remaining: 35.3s
18:	test: 0.7959713	best: 0.7959713 (18)	total: 675ms	remaining: 34.8s
19:	test: 0.7960411	best: 0.7960411 (19)	total: 702ms	remaining: 34.4s
20:	test: 0.7961432	best: 0.7961432 (20)	total: 730ms	remaining: 34s
21:	test: 0.7962111	best: 0.7962111 (21)	total: 759ms	remaining: 33.7s
22:	test: 0.7963636	best: 0.7963636 (22)	total: 785ms	remaining: 33.4s
23:	test: 0.7966541	best: 0.7966541 (23)	total: 813ms	remaining: 33.1s
24:	test: 0.7971690	best: 0.7971690 (24)	total: 841ms	remaining: 32.8s
25:	test: 0.7971753	best: 0.7971753 (25)	total: 871ms	remaining: 32.6s
26:	test: 0.7973294	best: 0.7973294 (26)	total: 899ms	remaining: 32.4s
27:	test: 0.7973872	best: 0.7973872 (27)	total: 926ms	remaining: 32.1s
28:	test: 0.7975872	best: 0.7975872 (28)	total: 953ms	remaining: 31.9s
29:	test: 0.7977822	best: 0.7977822 (29)	total: 981ms	remaining: 31.7s
30:	test: 0.7978801	best: 0.7978801 (30)	total: 1.01s	remaining: 31.5s
31:	test: 0.7980472	best: 0.7980472 (31)	total: 1.03s	remaining: 31.3s
32:	test: 0.7982248	best: 0.7982248 (32)	total: 1.06s	remaining: 31.2s
33:	test: 0.7981942	best: 0.7982248 (32)	total: 1.09s	remaining: 31s
34:	test: 0.7984048	best: 0.7984048 (34)	total: 1.12s	remaining: 30.9s
35:	test: 0.7985887	best: 0.7985887 (35)	total: 1.15s	remaining: 30.8s
36:	test: 0.7986838	best: 0.7986838 (36)	total: 1.18s	remaining: 30.6s
37:	test: 0.7987882	best: 0.7987882 (37)	total: 1.2s	remaining: 30.5s
38:	test: 0.7988665	best: 0.7988665 (38)	total: 1.23s	remaining: 30.3s
