0:	test: 0.7886724	best: 0.7886724 (0)	total: 94.5ms	remaining: 1m 34s
1:	test: 0.7928979	best: 0.7928979 (1)	total: 132ms	remaining: 1m 5s
2:	test: 0.7932320	best: 0.7932320 (2)	total: 166ms	remaining: 55.1s
3:	test: 0.7931628	best: 0.7932320 (2)	total: 198ms	remaining: 49.3s
4:	test: 0.7936827	best: 0.7936827 (4)	total: 233ms	remaining: 46.3s
5:	test: 0.7941387	best: 0.7941387 (5)	total: 267ms	remaining: 44.2s
6:	test: 0.7948740	best: 0.7948740 (6)	total: 298ms	remaining: 42.3s
7:	test: 0.7950189	best: 0.7950189 (7)	total: 333ms	remaining: 41.3s
8:	test: 0.7955732	best: 0.7955732 (8)	total: 369ms	remaining: 40.6s
9:	test: 0.7955656	best: 0.7955732 (8)	total: 403ms	remaining: 39.9s
10:	test: 0.7961524	best: 0.7961524 (10)	total: 433ms	remaining: 39s
11:	test: 0.7964237	best: 0.7964237 (11)	total: 462ms	remaining: 38s
12:	test: 0.7967059	best: 0.7967059 (12)	total: 495ms	remaining: 37.5s
13:	test: 0.7971111	best: 0.7971111 (13)	total: 521ms	remaining: 36.7s
14:	test: 0.7972341	best: 0.7972341 (14)	total: 549ms	remaining: 36.1s
15:	test: 0.7974704	best: 0.7974704 (15)	total: 576ms	remaining: 35.4s
16:	test: 0.7977539	best: 0.7977539 (16)	total: 605ms	remaining: 35s
17:	test: 0.7978613	best: 0.7978613 (17)	total: 635ms	remaining: 34.6s
18:	test: 0.7980696	best: 0.7980696 (18)	total: 667ms	remaining: 34.4s
19:	test: 0.7981311	best: 0.7981311 (19)	total: 694ms	remaining: 34s
20:	test: 0.7982369	best: 0.7982369 (20)	total: 722ms	remaining: 33.6s
21:	test: 0.7988262	best: 0.7988262 (21)	total: 749ms	remaining: 33.3s
22:	test: 0.7988002	best: 0.7988262 (21)	total: 776ms	remaining: 33s
23:	test: 0.7989887	best: 0.7989887 (23)	total: 804ms	remaining: 32.7s
24:	test: 0.7990301	best: 0.7990301 (24)	total: 833ms	remaining: 32.5s
25:	test: 0.7991278	best: 0.7991278 (25)	total: 861ms	remaining: 32.2s
26:	test: 0.7992330	best: 0.7992330 (26)	total: 889ms	remaining: 32s
27:	test: 0.7991982	best: 0.7992330 (26)	total: 916ms	remaining: 31.8s
28:	test: 0.7993948	best: 0.7993948 (28)	total: 944ms	remaining: 31.6s
29:	test: 0.7994334	best: 0.7994334 (29)	total: 971ms	remaining: 31.4s
30:	test: 0.7994725	best: 0.7994725 (30)	total: 999ms	remaining: 31.2s
31:	test: 0.7995803	best: 0.7995803 (31)	total: 1.03s	remaining: 31s
32:	test: 0.7997328	best: 0.7997328 (32)	total: 1.05s	remaining: 30.9s
33:	test: 0.7998734	best: 0.7998734 (33)	total: 1.08s	remaining: 30.7s
34:	test: 0.7998871	best: 0.7998871 (34)	total: 1.11s	remaining: 30.6s
35:	test: 0.8000077	best: 0.8000077 (35)	total: 1.14s	remaining: 30.5s
36:	test: 0.8001187	best: 0.8001187 (36)	total: 1.17s	remaining: 30.3s
37:	test: 0.8000921	best: 0.8001187 (36)	total: 1.19s	remaining: 30.2s
38:	test: 0.8001823	best: 0.8001823 (38)	total: 1.22s	remaining: 30.1s
39:	test: 0.8002029	best: 0.8002029 (39)	total: 1.25s	remaining: 29.9s
40:	test: 0.8004426	best: 0.8004426 (40)	total: 1.27s	remaining: 29.8s
41:	test: 0.8005065	best: 0.8005065 (41)	total: 1.3s	remaining: 29.7s
42:	test: 0.8005790	best: 0.8005790 (42)	total: 1.33s	remaining: 29.6s
43:	test: 0.8006886	best: 0.8006886 (43)	total: 1.36s	remaining: 29.5s
44:	test: 0.8007747	best: 0.8007747 (44)	total: 1.39s	remaining: 29.4s
45:	test: 0.8007832	best: 0.8007832 (45)	total: 1.41s	remaining: 29.3s
46:	test: 0.8009162	best: 0.8009162 (46)	total: 1.44s	remaining: 29.2s
47:	test: 0.8009077	best: 0.8009162 (46)	total: 1.47s	remaining: 29.1s
48:	test: 0.8009518	best: 0.8009518 (48)	total: 1.5s	remaining: 29.1s
49:	test: 0.8009319	best: 0.8009518 (48)	total: 1.53s	remaining: 29.1s
50:	test: 0.8009704	best: 0.8009704 (50)	total: 1.56s	remaining: 29s
51:	test: 0.8009774	best: 0.8009774 (51)	total: 1.59s	remaining: 28.9s
