0:	test: 0.7890799	best: 0.7890799 (0)	total: 86.3ms	remaining: 1m 26s
1:	test: 0.7911551	best: 0.7911551 (1)	total: 115ms	remaining: 57.3s
2:	test: 0.7922751	best: 0.7922751 (2)	total: 147ms	remaining: 48.8s
3:	test: 0.7929548	best: 0.7929548 (3)	total: 172ms	remaining: 42.9s
4:	test: 0.7937536	best: 0.7937536 (4)	total: 198ms	remaining: 39.4s
5:	test: 0.7941197	best: 0.7941197 (5)	total: 224ms	remaining: 37.1s
6:	test: 0.7941457	best: 0.7941457 (6)	total: 249ms	remaining: 35.4s
7:	test: 0.7944820	best: 0.7944820 (7)	total: 275ms	remaining: 34s
8:	test: 0.7945111	best: 0.7945111 (8)	total: 300ms	remaining: 33.1s
9:	test: 0.7947073	best: 0.7947073 (9)	total: 328ms	remaining: 32.5s
10:	test: 0.7947187	best: 0.7947187 (10)	total: 353ms	remaining: 31.7s
11:	test: 0.7948398	best: 0.7948398 (11)	total: 379ms	remaining: 31.2s
12:	test: 0.7949718	best: 0.7949718 (12)	total: 406ms	remaining: 30.8s
13:	test: 0.7951197	best: 0.7951197 (13)	total: 432ms	remaining: 30.4s
14:	test: 0.7952288	best: 0.7952288 (14)	total: 477ms	remaining: 31.3s
15:	test: 0.7952465	best: 0.7952465 (15)	total: 507ms	remaining: 31.2s
16:	test: 0.7952543	best: 0.7952543 (16)	total: 536ms	remaining: 31s
17:	test: 0.7956237	best: 0.7956237 (17)	total: 562ms	remaining: 30.7s
18:	test: 0.7956984	best: 0.7956984 (18)	total: 590ms	remaining: 30.4s
19:	test: 0.7960420	best: 0.7960420 (19)	total: 614ms	remaining: 30.1s
20:	test: 0.7962148	best: 0.7962148 (20)	total: 641ms	remaining: 29.9s
21:	test: 0.7963825	best: 0.7963825 (21)	total: 666ms	remaining: 29.6s
22:	test: 0.7965755	best: 0.7965755 (22)	total: 692ms	remaining: 29.4s
23:	test: 0.7966109	best: 0.7966109 (23)	total: 720ms	remaining: 29.3s
24:	test: 0.7965946	best: 0.7966109 (23)	total: 747ms	remaining: 29.1s
25:	test: 0.7967325	best: 0.7967325 (25)	total: 780ms	remaining: 29.2s
26:	test: 0.7968483	best: 0.7968483 (26)	total: 814ms	remaining: 29.3s
27:	test: 0.7976287	best: 0.7976287 (27)	total: 839ms	remaining: 29.1s
28:	test: 0.7980616	best: 0.7980616 (28)	total: 863ms	remaining: 28.9s
29:	test: 0.7980352	best: 0.7980616 (28)	total: 888ms	remaining: 28.7s
30:	test: 0.7981333	best: 0.7981333 (30)	total: 912ms	remaining: 28.5s
