0:	test: 0.7927458	best: 0.7927458 (0)	total: 148ms	remaining: 2m 27s
1:	test: 0.7938955	best: 0.7938955 (1)	total: 227ms	remaining: 1m 53s
2:	test: 0.7949143	best: 0.7949143 (2)	total: 307ms	remaining: 1m 41s
3:	test: 0.7952410	best: 0.7952410 (3)	total: 382ms	remaining: 1m 35s
4:	test: 0.7960095	best: 0.7960095 (4)	total: 459ms	remaining: 1m 31s
5:	test: 0.7961686	best: 0.7961686 (5)	total: 534ms	remaining: 1m 28s
6:	test: 0.7964008	best: 0.7964008 (6)	total: 613ms	remaining: 1m 26s
7:	test: 0.7970682	best: 0.7970682 (7)	total: 702ms	remaining: 1m 27s
8:	test: 0.7971394	best: 0.7971394 (8)	total: 784ms	remaining: 1m 26s
9:	test: 0.7973933	best: 0.7973933 (9)	total: 867ms	remaining: 1m 25s
10:	test: 0.7976733	best: 0.7976733 (10)	total: 949ms	remaining: 1m 25s
11:	test: 0.7980739	best: 0.7980739 (11)	total: 1.03s	remaining: 1m 25s
12:	test: 0.7983063	best: 0.7983063 (12)	total: 1.12s	remaining: 1m 24s
13:	test: 0.7984542	best: 0.7984542 (13)	total: 1.2s	remaining: 1m 24s
14:	test: 0.7985470	best: 0.7985470 (14)	total: 1.29s	remaining: 1m 24s
15:	test: 0.7987069	best: 0.7987069 (15)	total: 1.37s	remaining: 1m 24s
16:	test: 0.7988944	best: 0.7988944 (16)	total: 1.45s	remaining: 1m 24s
17:	test: 0.7989652	best: 0.7989652 (17)	total: 1.54s	remaining: 1m 23s
18:	test: 0.7991819	best: 0.7991819 (18)	total: 1.62s	remaining: 1m 23s
19:	test: 0.7995946	best: 0.7995946 (19)	total: 1.71s	remaining: 1m 23s
20:	test: 0.7998041	best: 0.7998041 (20)	total: 1.79s	remaining: 1m 23s
21:	test: 0.8000013	best: 0.8000013 (21)	total: 1.88s	remaining: 1m 23s
22:	test: 0.8000135	best: 0.8000135 (22)	total: 1.96s	remaining: 1m 23s
23:	test: 0.8001568	best: 0.8001568 (23)	total: 2.04s	remaining: 1m 23s
24:	test: 0.8002690	best: 0.8002690 (24)	total: 2.13s	remaining: 1m 22s
25:	test: 0.8004207	best: 0.8004207 (25)	total: 2.2s	remaining: 1m 22s
26:	test: 0.8004520	best: 0.8004520 (26)	total: 2.29s	remaining: 1m 22s
27:	test: 0.8006069	best: 0.8006069 (27)	total: 2.37s	remaining: 1m 22s
28:	test: 0.8006894	best: 0.8006894 (28)	total: 2.45s	remaining: 1m 22s
29:	test: 0.8007918	best: 0.8007918 (29)	total: 2.54s	remaining: 1m 22s
30:	test: 0.8009391	best: 0.8009391 (30)	total: 2.62s	remaining: 1m 21s
31:	test: 0.8009584	best: 0.8009584 (31)	total: 2.71s	remaining: 1m 21s
32:	test: 0.8009629	best: 0.8009629 (32)	total: 2.79s	remaining: 1m 21s
33:	test: 0.8010121	best: 0.8010121 (33)	total: 2.88s	remaining: 1m 21s
34:	test: 0.8011153	best: 0.8011153 (34)	total: 2.96s	remaining: 1m 21s
35:	test: 0.8011588	best: 0.8011588 (35)	total: 3.04s	remaining: 1m 21s
36:	test: 0.8012387	best: 0.8012387 (36)	total: 3.12s	remaining: 1m 21s
37:	test: 0.8012884	best: 0.8012884 (37)	total: 3.2s	remaining: 1m 21s
38:	test: 0.8014274	best: 0.8014274 (38)	total: 3.29s	remaining: 1m 20s
39:	test: 0.8014939	best: 0.8014939 (39)	total: 3.37s	remaining: 1m 20s
40:	test: 0.8015565	best: 0.8015565 (40)	total: 3.45s	remaining: 1m 20s
41:	test: 0.8016130	best: 0.8016130 (41)	total: 3.53s	remaining: 1m 20s
42:	test: 0.8016976	best: 0.8016976 (42)	total: 3.62s	remaining: 1m 20s
43:	test: 0.8016642	best: 0.8016976 (42)	total: 3.7s	remaining: 1m 20s
44:	test: 0.8017770	best: 0.8017770 (44)	total: 3.79s	remaining: 1m 20s
45:	test: 0.8018340	best: 0.8018340 (45)	total: 3.87s	remaining: 1m 20s
46:	test: 0.8018871	best: 0.8018871 (46)	total: 3.95s	remaining: 1m 20s
47:	test: 0.8019387	best: 0.8019387 (47)	total: 4.03s	remaining: 1m 19s
48:	test: 0.8019651	best: 0.8019651 (48)	total: 4.11s	remaining: 1m 19s
49:	test: 0.8019992	best: 0.8019992 (49)	total: 4.19s	remaining: 1m 19s
50:	test: 0.8020019	best: 0.8020019 (50)	total: 4.27s	remaining: 1m 19s
51:	test: 0.8020637	best: 0.8020637 (51)	total: 4.35s	remaining: 1m 19s
52:	test: 0.8020896	best: 0.8020896 (52)	total: 4.42s	remaining: 1m 19s
53:	test: 0.8021566	best: 0.8021566 (53)	total: 4.5s	remaining: 1m 18s
54:	test: 0.8022266	best: 0.8022266 (54)	total: 4.58s	remaining: 1m 18s
55:	test: 0.8022685	best: 0.8022685 (55)	total: 4.66s	remaining: 1m 18s
56:	test: 0.8023095	best: 0.8023095 (56)	total: 4.74s	remaining: 1m 18s
57:	test: 0.8023426	best: 0.8023426 (57)	total: 4.82s	remaining: 1m 18s
58:	test: 0.8023713	best: 0.8023713 (58)	total: 4.9s	remaining: 1m 18s
59:	test: 0.8023911	best: 0.8023911 (59)	total: 4.98s	remaining: 1m 18s
60:	test: 0.8024273	best: 0.8024273 (60)	total: 5.06s	remaining: 1m 17s
61:	test: 0.8024386	best: 0.8024386 (61)	total: 5.1s	remaining: 1m 17s
62:	test: 0.8024342	best: 0.8024386 (61)	total: 5.17s	remaining: 1m 16s
63:	test: 0.8024955	best: 0.8024955 (63)	total: 5.25s	remaining: 1m 16s
64:	test: 0.8025071	best: 0.8025071 (64)	total: 5.33s	remaining: 1m 16s
65:	test: 0.8025252	best: 0.8025252 (65)	total: 5.4s	remaining: 1m 16s
66:	test: 0.8025422	best: 0.8025422 (66)	total: 5.48s	remaining: 1m 16s
67:	test: 0.8025649	best: 0.8025649 (67)	total: 5.56s	remaining: 1m 16s
68:	test: 0.8025892	best: 0.8025892 (68)	total: 5.64s	remaining: 1m 16s
69:	test: 0.8026390	best: 0.8026390 (69)	total: 5.72s	remaining: 1m 15s
70:	test: 0.8026522	best: 0.8026522 (70)	total: 5.8s	remaining: 1m 15s
71:	test: 0.8026252	best: 0.8026522 (70)	total: 5.85s	remaining: 1m 15s
