0:	test: 0.7913921	best: 0.7913921 (0)	total: 125ms	remaining: 2m 5s
1:	test: 0.7938118	best: 0.7938118 (1)	total: 203ms	remaining: 1m 41s
2:	test: 0.7943603	best: 0.7943603 (2)	total: 260ms	remaining: 1m 26s
3:	test: 0.7955170	best: 0.7955170 (3)	total: 311ms	remaining: 1m 17s
4:	test: 0.7953058	best: 0.7955170 (3)	total: 359ms	remaining: 1m 11s
5:	test: 0.7955667	best: 0.7955667 (5)	total: 411ms	remaining: 1m 8s
6:	test: 0.7955058	best: 0.7955667 (5)	total: 461ms	remaining: 1m 5s
7:	test: 0.7943743	best: 0.7955667 (5)	total: 510ms	remaining: 1m 3s
8:	test: 0.7943187	best: 0.7955667 (5)	total: 559ms	remaining: 1m 1s
9:	test: 0.7943901	best: 0.7955667 (5)	total: 607ms	remaining: 1m
10:	test: 0.7959685	best: 0.7959685 (10)	total: 660ms	remaining: 59.3s
11:	test: 0.7959643	best: 0.7959685 (10)	total: 711ms	remaining: 58.5s
12:	test: 0.7961405	best: 0.7961405 (12)	total: 761ms	remaining: 57.8s
13:	test: 0.7963409	best: 0.7963409 (13)	total: 811ms	remaining: 57.1s
14:	test: 0.7964954	best: 0.7964954 (14)	total: 862ms	remaining: 56.6s
15:	test: 0.7965069	best: 0.7965069 (15)	total: 918ms	remaining: 56.5s
16:	test: 0.7964555	best: 0.7965069 (15)	total: 971ms	remaining: 56.1s
17:	test: 0.7965302	best: 0.7965302 (17)	total: 1.02s	remaining: 55.9s
18:	test: 0.7968177	best: 0.7968177 (18)	total: 1.07s	remaining: 55.5s
19:	test: 0.7970264	best: 0.7970264 (19)	total: 1.13s	remaining: 55.3s
20:	test: 0.7972535	best: 0.7972535 (20)	total: 1.18s	remaining: 55s
21:	test: 0.7973651	best: 0.7973651 (21)	total: 1.23s	remaining: 54.7s
22:	test: 0.7974812	best: 0.7974812 (22)	total: 1.28s	remaining: 54.5s
23:	test: 0.7976836	best: 0.7976836 (23)	total: 1.33s	remaining: 54.3s
24:	test: 0.7977830	best: 0.7977830 (24)	total: 1.39s	remaining: 54.2s
25:	test: 0.7978872	best: 0.7978872 (25)	total: 1.44s	remaining: 54s
26:	test: 0.7978994	best: 0.7978994 (26)	total: 1.5s	remaining: 53.9s
27:	test: 0.7980566	best: 0.7980566 (27)	total: 1.55s	remaining: 53.9s
28:	test: 0.7983428	best: 0.7983428 (28)	total: 1.61s	remaining: 53.9s
29:	test: 0.7984026	best: 0.7984026 (29)	total: 1.66s	remaining: 53.8s
30:	test: 0.7984194	best: 0.7984194 (30)	total: 1.72s	remaining: 53.6s
31:	test: 0.7985612	best: 0.7985612 (31)	total: 1.77s	remaining: 53.5s
32:	test: 0.7985395	best: 0.7985612 (31)	total: 1.82s	remaining: 53.3s
33:	test: 0.7986708	best: 0.7986708 (33)	total: 1.87s	remaining: 53.2s
34:	test: 0.7987350	best: 0.7987350 (34)	total: 1.93s	remaining: 53.1s
35:	test: 0.7988045	best: 0.7988045 (35)	total: 1.99s	remaining: 53.2s
36:	test: 0.7988702	best: 0.7988702 (36)	total: 2.04s	remaining: 53.1s
37:	test: 0.7991022	best: 0.7991022 (37)	total: 2.09s	remaining: 52.9s
38:	test: 0.7993716	best: 0.7993716 (38)	total: 2.14s	remaining: 52.7s
39:	test: 0.7995004	best: 0.7995004 (39)	total: 2.19s	remaining: 52.6s
40:	test: 0.7995538	best: 0.7995538 (40)	total: 2.24s	remaining: 52.5s
41:	test: 0.7995908	best: 0.7995908 (41)	total: 2.3s	remaining: 52.4s
42:	test: 0.7996576	best: 0.7996576 (42)	total: 2.35s	remaining: 52.3s
43:	test: 0.7996848	best: 0.7996848 (43)	total: 2.4s	remaining: 52.2s
44:	test: 0.7996895	best: 0.7996895 (44)	total: 2.45s	remaining: 52.1s
45:	test: 0.7996122	best: 0.7996895 (44)	total: 2.51s	remaining: 52s
46:	test: 0.7997499	best: 0.7997499 (46)	total: 2.56s	remaining: 51.9s
47:	test: 0.7998348	best: 0.7998348 (47)	total: 2.61s	remaining: 51.9s
48:	test: 0.8000338	best: 0.8000338 (48)	total: 2.67s	remaining: 51.8s
49:	test: 0.8001025	best: 0.8001025 (49)	total: 2.72s	remaining: 51.6s
50:	test: 0.8001530	best: 0.8001530 (50)	total: 2.77s	remaining: 51.5s
51:	test: 0.8002241	best: 0.8002241 (51)	total: 2.82s	remaining: 51.4s
52:	test: 0.8002459	best: 0.8002459 (52)	total: 2.87s	remaining: 51.3s
53:	test: 0.8002547	best: 0.8002547 (53)	total: 2.92s	remaining: 51.2s
54:	test: 0.8003851	best: 0.8003851 (54)	total: 2.98s	remaining: 51.1s
55:	test: 0.8004597	best: 0.8004597 (55)	total: 3.04s	remaining: 51.2s
56:	test: 0.8005374	best: 0.8005374 (56)	total: 3.09s	remaining: 51.1s
57:	test: 0.8006354	best: 0.8006354 (57)	total: 3.14s	remaining: 51s
58:	test: 0.8007248	best: 0.8007248 (58)	total: 3.19s	remaining: 50.9s
59:	test: 0.8007775	best: 0.8007775 (59)	total: 3.24s	remaining: 50.8s
60:	test: 0.8007684	best: 0.8007775 (59)	total: 3.29s	remaining: 50.7s
61:	test: 0.8008056	best: 0.8008056 (61)	total: 3.35s	remaining: 50.6s
62:	test: 0.8008168	best: 0.8008168 (62)	total: 3.4s	remaining: 50.5s
63:	test: 0.8008463	best: 0.8008463 (63)	total: 3.45s	remaining: 50.4s
64:	test: 0.8008543	best: 0.8008543 (64)	total: 3.5s	remaining: 50.3s
65:	test: 0.8008494	best: 0.8008543 (64)	total: 3.55s	remaining: 50.3s
66:	test: 0.8008940	best: 0.8008940 (66)	total: 3.6s	remaining: 50.2s
67:	test: 0.8009212	best: 0.8009212 (67)	total: 3.66s	remaining: 50.1s
68:	test: 0.8009823	best: 0.8009823 (68)	total: 3.71s	remaining: 50.1s
69:	test: 0.8010250	best: 0.8010250 (69)	total: 3.76s	remaining: 50s
70:	test: 0.8010840	best: 0.8010840 (70)	total: 3.81s	remaining: 49.9s
71:	test: 0.8011127	best: 0.8011127 (71)	total: 3.87s	remaining: 49.8s
72:	test: 0.8010998	best: 0.8011127 (71)	total: 3.92s	remaining: 49.7s
73:	test: 0.8011137	best: 0.8011137 (73)	total: 3.97s	remaining: 49.7s
74:	test: 0.8011697	best: 0.8011697 (74)	total: 4.02s	remaining: 49.6s
75:	test: 0.8011981	best: 0.8011981 (75)	total: 4.08s	remaining: 49.6s
76:	test: 0.8012146	best: 0.8012146 (76)	total: 4.13s	remaining: 49.5s
77:	test: 0.8012714	best: 0.8012714 (77)	total: 4.18s	remaining: 49.4s
78:	test: 0.8013162	best: 0.8013162 (78)	total: 4.23s	remaining: 49.3s
79:	test: 0.8013669	best: 0.8013669 (79)	total: 4.28s	remaining: 49.3s
80:	test: 0.8013848	best: 0.8013848 (80)	total: 4.33s	remaining: 49.1s
81:	test: 0.8014669	best: 0.8014669 (81)	total: 4.38s	remaining: 49.1s
82:	test: 0.8015102	best: 0.8015102 (82)	total: 4.43s	remaining: 49s
83:	test: 0.8015481	best: 0.8015481 (83)	total: 4.48s	remaining: 48.9s
84:	test: 0.8015107	best: 0.8015481 (83)	total: 4.53s	remaining: 48.8s
85:	test: 0.8015332	best: 0.8015481 (83)	total: 4.58s	remaining: 48.7s
86:	test: 0.8015857	best: 0.8015857 (86)	total: 4.63s	remaining: 48.6s
87:	test: 0.8016296	best: 0.8016296 (87)	total: 4.69s	remaining: 48.6s
88:	test: 0.8016471	best: 0.8016471 (88)	total: 4.74s	remaining: 48.6s
89:	test: 0.8016651	best: 0.8016651 (89)	total: 4.8s	remaining: 48.5s
90:	test: 0.8016912	best: 0.8016912 (90)	total: 4.85s	remaining: 48.4s
91:	test: 0.8017217	best: 0.8017217 (91)	total: 4.9s	remaining: 48.3s
92:	test: 0.8017273	best: 0.8017273 (92)	total: 4.95s	remaining: 48.3s
93:	test: 0.8017571	best: 0.8017571 (93)	total: 5s	remaining: 48.2s
94:	test: 0.8017467	best: 0.8017571 (93)	total: 5.05s	remaining: 48.1s
95:	test: 0.8017677	best: 0.8017677 (95)	total: 5.1s	remaining: 48.1s
96:	test: 0.8018148	best: 0.8018148 (96)	total: 5.16s	remaining: 48s
97:	test: 0.8018513	best: 0.8018513 (97)	total: 5.2s	remaining: 47.9s
98:	test: 0.8018406	best: 0.8018513 (97)	total: 5.25s	remaining: 47.8s
99:	test: 0.8018509	best: 0.8018513 (97)	total: 5.3s	remaining: 47.7s
100:	test: 0.8018712	best: 0.8018712 (100)	total: 5.35s	remaining: 47.7s
101:	test: 0.8018638	best: 0.8018712 (100)	total: 5.41s	remaining: 47.6s
102:	test: 0.8018673	best: 0.8018712 (100)	total: 5.46s	remaining: 47.5s
103:	test: 0.8019080	best: 0.8019080 (103)	total: 5.51s	remaining: 47.5s
104:	test: 0.8019374	best: 0.8019374 (104)	total: 5.56s	remaining: 47.4s
105:	test: 0.8019576	best: 0.8019576 (105)	total: 5.61s	remaining: 47.3s
106:	test: 0.8019763	best: 0.8019763 (106)	total: 5.66s	remaining: 47.3s
107:	test: 0.8019901	best: 0.8019901 (107)	total: 5.72s	remaining: 47.2s
108:	test: 0.8020429	best: 0.8020429 (108)	total: 5.77s	remaining: 47.1s
109:	test: 0.8020742	best: 0.8020742 (109)	total: 5.82s	remaining: 47.1s
110:	test: 0.8021008	best: 0.8021008 (110)	total: 5.87s	remaining: 47s
111:	test: 0.8021053	best: 0.8021053 (111)	total: 5.92s	remaining: 46.9s
112:	test: 0.8021526	best: 0.8021526 (112)	total: 5.97s	remaining: 46.9s
113:	test: 0.8022019	best: 0.8022019 (113)	total: 6.03s	remaining: 46.8s
114:	test: 0.8022175	best: 0.8022175 (114)	total: 6.08s	remaining: 46.8s
115:	test: 0.8022083	best: 0.8022175 (114)	total: 6.14s	remaining: 46.8s
