0:	test: 0.7869610	best: 0.7869610 (0)	total: 84ms	remaining: 1m 23s
1:	test: 0.7928488	best: 0.7928488 (1)	total: 116ms	remaining: 57.8s
2:	test: 0.7933637	best: 0.7933637 (2)	total: 146ms	remaining: 48.5s
3:	test: 0.7935986	best: 0.7935986 (3)	total: 175ms	remaining: 43.5s
4:	test: 0.7937205	best: 0.7937205 (4)	total: 201ms	remaining: 39.9s
5:	test: 0.7942005	best: 0.7942005 (5)	total: 228ms	remaining: 37.8s
6:	test: 0.7947334	best: 0.7947334 (6)	total: 255ms	remaining: 36.1s
7:	test: 0.7948207	best: 0.7948207 (7)	total: 282ms	remaining: 34.9s
8:	test: 0.7950606	best: 0.7950606 (8)	total: 308ms	remaining: 34s
9:	test: 0.7952826	best: 0.7952826 (9)	total: 336ms	remaining: 33.3s
10:	test: 0.7955117	best: 0.7955117 (10)	total: 364ms	remaining: 32.7s
11:	test: 0.7957631	best: 0.7957631 (11)	total: 394ms	remaining: 32.5s
12:	test: 0.7959882	best: 0.7959882 (12)	total: 423ms	remaining: 32.1s
13:	test: 0.7962121	best: 0.7962121 (13)	total: 449ms	remaining: 31.6s
14:	test: 0.7965031	best: 0.7965031 (14)	total: 476ms	remaining: 31.3s
15:	test: 0.7969364	best: 0.7969364 (15)	total: 503ms	remaining: 31s
16:	test: 0.7972174	best: 0.7972174 (16)	total: 530ms	remaining: 30.7s
17:	test: 0.7972529	best: 0.7972529 (17)	total: 561ms	remaining: 30.6s
18:	test: 0.7974531	best: 0.7974531 (18)	total: 591ms	remaining: 30.5s
19:	test: 0.7976361	best: 0.7976361 (19)	total: 621ms	remaining: 30.4s
20:	test: 0.7976699	best: 0.7976699 (20)	total: 653ms	remaining: 30.5s
21:	test: 0.7977847	best: 0.7977847 (21)	total: 684ms	remaining: 30.4s
22:	test: 0.7979173	best: 0.7979173 (22)	total: 711ms	remaining: 30.2s
23:	test: 0.7980785	best: 0.7980785 (23)	total: 739ms	remaining: 30.1s
24:	test: 0.7982990	best: 0.7982990 (24)	total: 768ms	remaining: 29.9s
25:	test: 0.7984079	best: 0.7984079 (25)	total: 799ms	remaining: 29.9s
26:	test: 0.7986120	best: 0.7986120 (26)	total: 829ms	remaining: 29.9s
27:	test: 0.7987715	best: 0.7987715 (27)	total: 860ms	remaining: 29.9s
28:	test: 0.7989087	best: 0.7989087 (28)	total: 889ms	remaining: 29.8s
29:	test: 0.7990411	best: 0.7990411 (29)	total: 919ms	remaining: 29.7s
30:	test: 0.7991702	best: 0.7991702 (30)	total: 947ms	remaining: 29.6s
31:	test: 0.7992802	best: 0.7992802 (31)	total: 978ms	remaining: 29.6s
32:	test: 0.7993526	best: 0.7993526 (32)	total: 1.01s	remaining: 29.6s
33:	test: 0.7994795	best: 0.7994795 (33)	total: 1.04s	remaining: 29.6s
34:	test: 0.7995419	best: 0.7995419 (34)	total: 1.07s	remaining: 29.5s
35:	test: 0.7995951	best: 0.7995951 (35)	total: 1.1s	remaining: 29.4s
36:	test: 0.7997384	best: 0.7997384 (36)	total: 1.13s	remaining: 29.4s
37:	test: 0.7998957	best: 0.7998957 (37)	total: 1.16s	remaining: 29.3s
38:	test: 0.8000232	best: 0.8000232 (38)	total: 1.19s	remaining: 29.3s
39:	test: 0.8000692	best: 0.8000692 (39)	total: 1.22s	remaining: 29.2s
40:	test: 0.8001227	best: 0.8001227 (40)	total: 1.25s	remaining: 29.1s
41:	test: 0.8001640	best: 0.8001640 (41)	total: 1.27s	remaining: 29s
42:	test: 0.8002808	best: 0.8002808 (42)	total: 1.3s	remaining: 28.9s
43:	test: 0.8003578	best: 0.8003578 (43)	total: 1.33s	remaining: 28.8s
44:	test: 0.8003787	best: 0.8003787 (44)	total: 1.35s	remaining: 28.7s
45:	test: 0.8004856	best: 0.8004856 (45)	total: 1.38s	remaining: 28.6s
46:	test: 0.8006180	best: 0.8006180 (46)	total: 1.41s	remaining: 28.6s
47:	test: 0.8006332	best: 0.8006332 (47)	total: 1.44s	remaining: 28.5s
48:	test: 0.8006271	best: 0.8006332 (47)	total: 1.46s	remaining: 28.4s
49:	test: 0.8007086	best: 0.8007086 (49)	total: 1.49s	remaining: 28.3s
50:	test: 0.8007389	best: 0.8007389 (50)	total: 1.52s	remaining: 28.3s
51:	test: 0.8007744	best: 0.8007744 (51)	total: 1.55s	remaining: 28.2s
52:	test: 0.8007956	best: 0.8007956 (52)	total: 1.58s	remaining: 28.2s
53:	test: 0.8008343	best: 0.8008343 (53)	total: 1.6s	remaining: 28.1s
54:	test: 0.8009542	best: 0.8009542 (54)	total: 1.63s	remaining: 28s
55:	test: 0.8009882	best: 0.8009882 (55)	total: 1.66s	remaining: 28s
56:	test: 0.8010832	best: 0.8010832 (56)	total: 1.69s	remaining: 27.9s
57:	test: 0.8011152	best: 0.8011152 (57)	total: 1.72s	remaining: 27.9s
58:	test: 0.8011413	best: 0.8011413 (58)	total: 1.74s	remaining: 27.8s
