0:	test: 0.9261428	best: 0.9261428 (0)	total: 71.8ms	remaining: 1m 11s
1:	test: 0.9358254	best: 0.9358254 (1)	total: 79.7ms	remaining: 39.8s
2:	test: 0.9347109	best: 0.9358254 (1)	total: 86.8ms	remaining: 28.8s
3:	test: 0.9357905	best: 0.9358254 (1)	total: 94.9ms	remaining: 23.6s
4:	test: 0.9377148	best: 0.9377148 (4)	total: 104ms	remaining: 20.7s
5:	test: 0.9375725	best: 0.9377148 (4)	total: 112ms	remaining: 18.6s
6:	test: 0.9387528	best: 0.9387528 (6)	total: 120ms	remaining: 17s
7:	test: 0.9388220	best: 0.9388220 (7)	total: 129ms	remaining: 15.9s
8:	test: 0.9389630	best: 0.9389630 (8)	total: 139ms	remaining: 15.3s
9:	test: 0.9394701	best: 0.9394701 (9)	total: 146ms	remaining: 14.5s
10:	test: 0.9395844	best: 0.9395844 (10)	total: 156ms	remaining: 14s
11:	test: 0.9396056	best: 0.9396056 (11)	total: 167ms	remaining: 13.7s
12:	test: 0.9399004	best: 0.9399004 (12)	total: 175ms	remaining: 13.3s
13:	test: 0.9399944	best: 0.9399944 (13)	total: 184ms	remaining: 12.9s
14:	test: 0.9398814	best: 0.9399944 (13)	total: 190ms	remaining: 12.5s
15:	test: 0.9400155	best: 0.9400155 (15)	total: 198ms	remaining: 12.2s
16:	test: 0.9401549	best: 0.9401549 (16)	total: 206ms	remaining: 11.9s
17:	test: 0.9400353	best: 0.9401549 (16)	total: 215ms	remaining: 11.7s
18:	test: 0.9402008	best: 0.9402008 (18)	total: 222ms	remaining: 11.5s
19:	test: 0.9403428	best: 0.9403428 (19)	total: 231ms	remaining: 11.3s
20:	test: 0.9405644	best: 0.9405644 (20)	total: 238ms	remaining: 11.1s
21:	test: 0.9406594	best: 0.9406594 (21)	total: 247ms	remaining: 11s
22:	test: 0.9407076	best: 0.9407076 (22)	total: 255ms	remaining: 10.8s
23:	test: 0.9409568	best: 0.9409568 (23)	total: 262ms	remaining: 10.7s
24:	test: 0.9409818	best: 0.9409818 (24)	total: 271ms	remaining: 10.6s
25:	test: 0.9410931	best: 0.9410931 (25)	total: 279ms	remaining: 10.5s
26:	test: 0.9411302	best: 0.9411302 (26)	total: 288ms	remaining: 10.4s
27:	test: 0.9412560	best: 0.9412560 (27)	total: 295ms	remaining: 10.2s
28:	test: 0.9412597	best: 0.9412597 (28)	total: 303ms	remaining: 10.2s
29:	test: 0.9412330	best: 0.9412597 (28)	total: 310ms	remaining: 10s
30:	test: 0.9412611	best: 0.9412611 (30)	total: 320ms	remaining: 10s
31:	test: 0.9413518	best: 0.9413518 (31)	total: 328ms	remaining: 9.91s
32:	test: 0.9413663	best: 0.9413663 (32)	total: 335ms	remaining: 9.82s
33:	test: 0.9413693	best: 0.9413693 (33)	total: 346ms	remaining: 9.82s
34:	test: 0.9414500	best: 0.9414500 (34)	total: 355ms	remaining: 9.78s
35:	test: 0.9415091	best: 0.9415091 (35)	total: 364ms	remaining: 9.75s
36:	test: 0.9414590	best: 0.9415091 (35)	total: 371ms	remaining: 9.67s
37:	test: 0.9415662	best: 0.9415662 (37)	total: 381ms	remaining: 9.65s
38:	test: 0.9416155	best: 0.9416155 (38)	total: 390ms	remaining: 9.6s
39:	test: 0.9416448	best: 0.9416448 (39)	total: 398ms	remaining: 9.55s
40:	test: 0.9416023	best: 0.9416448 (39)	total: 409ms	remaining: 9.56s
41:	test: 0.9415445	best: 0.9416448 (39)	total: 420ms	remaining: 9.57s
42:	test: 0.9415511	best: 0.9416448 (39)	total: 431ms	remaining: 9.59s
43:	test: 0.9416204	best: 0.9416448 (39)	total: 440ms	remaining: 9.56s
44:	test: 0.9416880	best: 0.9416880 (44)	total: 450ms	remaining: 9.54s
45:	test: 0.9416945	best: 0.9416945 (45)	total: 462ms	remaining: 9.58s
46:	test: 0.9417172	best: 0.9417172 (46)	total: 475ms	remaining: 9.62s
47:	test: 0.9418522	best: 0.9418522 (47)	total: 486ms	remaining: 9.65s
48:	test: 0.9419010	best: 0.9419010 (48)	total: 497ms	remaining: 9.65s
49:	test: 0.9419189	best: 0.9419189 (49)	total: 508ms	remaining: 9.65s
50:	test: 0.9419887	best: 0.9419887 (50)	total: 517ms	remaining: 9.61s
51:	test: 0.9420225	best: 0.9420225 (51)	total: 528ms	remaining: 9.62s
52:	test: 0.9420252	best: 0.9420252 (52)	total: 538ms	remaining: 9.62s
53:	test: 0.9420593	best: 0.9420593 (53)	total: 547ms	remaining: 9.58s
54:	test: 0.9421413	best: 0.9421413 (54)	total: 559ms	remaining: 9.6s
55:	test: 0.9421247	best: 0.9421413 (54)	total: 568ms	remaining: 9.57s
56:	test: 0.9421104	best: 0.9421413 (54)	total: 577ms	remaining: 9.55s
57:	test: 0.9421763	best: 0.9421763 (57)	total: 588ms	remaining: 9.55s
58:	test: 0.9421269	best: 0.9421763 (57)	total: 598ms	remaining: 9.54s
59:	test: 0.9421602	best: 0.9421763 (57)	total: 607ms	remaining: 9.51s
60:	test: 0.9421763	best: 0.9421763 (60)	total: 616ms	remaining: 9.48s
61:	test: 0.9421973	best: 0.9421973 (61)	total: 623ms	remaining: 9.43s
62:	test: 0.9422529	best: 0.9422529 (62)	total: 633ms	remaining: 9.41s
63:	test: 0.9423263	best: 0.9423263 (63)	total: 641ms	remaining: 9.37s
64:	test: 0.9423575	best: 0.9423575 (64)	total: 648ms	remaining: 9.32s
65:	test: 0.9423676	best: 0.9423676 (65)	total: 657ms	remaining: 9.3s
66:	test: 0.9423611	best: 0.9423676 (65)	total: 665ms	remaining: 9.26s
67:	test: 0.9423533	best: 0.9423676 (65)	total: 678ms	remaining: 9.29s
68:	test: 0.9424311	best: 0.9424311 (68)	total: 688ms	remaining: 9.28s
69:	test: 0.9424940	best: 0.9424940 (69)	total: 695ms	remaining: 9.24s
70:	test: 0.9425099	best: 0.9425099 (70)	total: 702ms	remaining: 9.19s
71:	test: 0.9425408	best: 0.9425408 (71)	total: 707ms	remaining: 9.11s
72:	test: 0.9425745	best: 0.9425745 (72)	total: 713ms	remaining: 9.05s
73:	test: 0.9425781	best: 0.9425781 (73)	total: 719ms	remaining: 8.99s
74:	test: 0.9426035	best: 0.9426035 (74)	total: 724ms	remaining: 8.93s
75:	test: 0.9426089	best: 0.9426089 (75)	total: 731ms	remaining: 8.88s
76:	test: 0.9426319	best: 0.9426319 (76)	total: 735ms	remaining: 8.81s
77:	test: 0.9426589	best: 0.9426589 (77)	total: 740ms	remaining: 8.74s
78:	test: 0.9427036	best: 0.9427036 (78)	total: 747ms	remaining: 8.71s
79:	test: 0.9427253	best: 0.9427253 (79)	total: 752ms	remaining: 8.64s
80:	test: 0.9428056	best: 0.9428056 (80)	total: 759ms	remaining: 8.61s
81:	test: 0.9428087	best: 0.9428087 (81)	total: 764ms	remaining: 8.56s
82:	test: 0.9428394	best: 0.9428394 (82)	total: 771ms	remaining: 8.51s
83:	test: 0.9428978	best: 0.9428978 (83)	total: 776ms	remaining: 8.46s
84:	test: 0.9429764	best: 0.9429764 (84)	total: 781ms	remaining: 8.41s
85:	test: 0.9430118	best: 0.9430118 (85)	total: 787ms	remaining: 8.36s
86:	test: 0.9430554	best: 0.9430554 (86)	total: 791ms	remaining: 8.3s
87:	test: 0.9430623	best: 0.9430623 (87)	total: 797ms	remaining: 8.26s
88:	test: 0.9430956	best: 0.9430956 (88)	total: 802ms	remaining: 8.21s
89:	test: 0.9431918	best: 0.9431918 (89)	total: 807ms	remaining: 8.16s
90:	test: 0.9432448	best: 0.9432448 (90)	total: 812ms	remaining: 8.12s
91:	test: 0.9432856	best: 0.9432856 (91)	total: 818ms	remaining: 8.07s
92:	test: 0.9433120	best: 0.9433120 (92)	total: 823ms	remaining: 8.02s
93:	test: 0.9433327	best: 0.9433327 (93)	total: 828ms	remaining: 7.98s
94:	test: 0.9433757	best: 0.9433757 (94)	total: 833ms	remaining: 7.93s
95:	test: 0.9433911	best: 0.9433911 (95)	total: 838ms	remaining: 7.89s
96:	test: 0.9434231	best: 0.9434231 (96)	total: 844ms	remaining: 7.85s
97:	test: 0.9434797	best: 0.9434797 (97)	total: 849ms	remaining: 7.81s
98:	test: 0.9434914	best: 0.9434914 (98)	total: 854ms	remaining: 7.77s
99:	test: 0.9435204	best: 0.9435204 (99)	total: 859ms	remaining: 7.73s
100:	test: 0.9435621	best: 0.9435621 (100)	total: 864ms	remaining: 7.69s
101:	test: 0.9435845	best: 0.9435845 (101)	total: 870ms	remaining: 7.66s
102:	test: 0.9436569	best: 0.9436569 (102)	total: 875ms	remaining: 7.62s
103:	test: 0.9436490	best: 0.9436569 (102)	total: 881ms	remaining: 7.58s
104:	test: 0.9436640	best: 0.9436640 (104)	total: 886ms	remaining: 7.55s
105:	test: 0.9437131	best: 0.9437131 (105)	total: 892ms	remaining: 7.53s
106:	test: 0.9437494	best: 0.9437494 (106)	total: 899ms	remaining: 7.5s
107:	test: 0.9437897	best: 0.9437897 (107)	total: 904ms	remaining: 7.47s
108:	test: 0.9438009	best: 0.9438009 (108)	total: 910ms	remaining: 7.43s
109:	test: 0.9438183	best: 0.9438183 (109)	total: 915ms	remaining: 7.4s
110:	test: 0.9438808	best: 0.9438808 (110)	total: 920ms	remaining: 7.37s
111:	test: 0.9439096	best: 0.9439096 (111)	total: 926ms	remaining: 7.34s
112:	test: 0.9439526	best: 0.9439526 (112)	total: 931ms	remaining: 7.3s
113:	test: 0.9439565	best: 0.9439565 (113)	total: 936ms	remaining: 7.27s
114:	test: 0.9439825	best: 0.9439825 (114)	total: 941ms	remaining: 7.24s
115:	test: 0.9440168	best: 0.9440168 (115)	total: 947ms	remaining: 7.22s
116:	test: 0.9440450	best: 0.9440450 (116)	total: 952ms	remaining: 7.18s
117:	test: 0.9440693	best: 0.9440693 (117)	total: 958ms	remaining: 7.16s
118:	test: 0.9440952	best: 0.9440952 (118)	total: 963ms	remaining: 7.13s
119:	test: 0.9441088	best: 0.9441088 (119)	total: 976ms	remaining: 7.16s
120:	test: 0.9441540	best: 0.9441540 (120)	total: 981ms	remaining: 7.13s
121:	test: 0.9441968	best: 0.9441968 (121)	total: 987ms	remaining: 7.1s
122:	test: 0.9442260	best: 0.9442260 (122)	total: 992ms	remaining: 7.07s
123:	test: 0.9442644	best: 0.9442644 (123)	total: 997ms	remaining: 7.04s
124:	test: 0.9442796	best: 0.9442796 (124)	total: 1s	remaining: 7.01s
125:	test: 0.9442956	best: 0.9442956 (125)	total: 1.01s	remaining: 6.99s
126:	test: 0.9443243	best: 0.9443243 (126)	total: 1.01s	remaining: 6.97s
127:	test: 0.9443372	best: 0.9443372 (127)	total: 1.02s	remaining: 6.95s
128:	test: 0.9443723	best: 0.9443723 (128)	total: 1.02s	remaining: 6.92s
129:	test: 0.9444140	best: 0.9444140 (129)	total: 1.03s	remaining: 6.9s
130:	test: 0.9444551	best: 0.9444551 (130)	total: 1.04s	remaining: 6.87s
131:	test: 0.9444875	best: 0.9444875 (131)	total: 1.04s	remaining: 6.85s
132:	test: 0.9445038	best: 0.9445038 (132)	total: 1.05s	remaining: 6.83s
133:	test: 0.9445327	best: 0.9445327 (133)	total: 1.05s	remaining: 6.8s
134:	test: 0.9445648	best: 0.9445648 (134)	total: 1.06s	remaining: 6.79s
135:	test: 0.9445993	best: 0.9445993 (135)	total: 1.06s	remaining: 6.77s
136:	test: 0.9446413	best: 0.9446413 (136)	total: 1.07s	remaining: 6.75s
137:	test: 0.9446604	best: 0.9446604 (137)	total: 1.08s	remaining: 6.73s
138:	test: 0.9446937	best: 0.9446937 (138)	total: 1.08s	remaining: 6.71s
139:	test: 0.9447218	best: 0.9447218 (139)	total: 1.09s	remaining: 6.7s
140:	test: 0.9447321	best: 0.9447321 (140)	total: 1.1s	remaining: 6.68s
141:	test: 0.9447367	best: 0.9447367 (141)	total: 1.1s	remaining: 6.67s
142:	test: 0.9447658	best: 0.9447658 (142)	total: 1.11s	remaining: 6.65s
143:	test: 0.9447775	best: 0.9447775 (143)	total: 1.12s	remaining: 6.64s
144:	test: 0.9447879	best: 0.9447879 (144)	total: 1.12s	remaining: 6.62s
