0:	test: 0.9329489	best: 0.9329489 (0)	total: 79ms	remaining: 1m 18s
1:	test: 0.9393502	best: 0.9393502 (1)	total: 92.2ms	remaining: 46s
2:	test: 0.9399460	best: 0.9399460 (2)	total: 106ms	remaining: 35.3s
3:	test: 0.9399624	best: 0.9399624 (3)	total: 121ms	remaining: 30.2s
4:	test: 0.9407822	best: 0.9407822 (4)	total: 135ms	remaining: 27s
5:	test: 0.9411252	best: 0.9411252 (5)	total: 151ms	remaining: 25.1s
6:	test: 0.9413837	best: 0.9413837 (6)	total: 165ms	remaining: 23.4s
7:	test: 0.9414367	best: 0.9414367 (7)	total: 181ms	remaining: 22.4s
8:	test: 0.9412882	best: 0.9414367 (7)	total: 196ms	remaining: 21.6s
9:	test: 0.9415757	best: 0.9415757 (9)	total: 212ms	remaining: 21s
10:	test: 0.9415657	best: 0.9415757 (9)	total: 227ms	remaining: 20.4s
11:	test: 0.9415725	best: 0.9415757 (9)	total: 243ms	remaining: 20s
12:	test: 0.9416029	best: 0.9416029 (12)	total: 250ms	remaining: 19s
13:	test: 0.9416072	best: 0.9416072 (13)	total: 266ms	remaining: 18.8s
14:	test: 0.9419054	best: 0.9419054 (14)	total: 284ms	remaining: 18.6s
15:	test: 0.9420864	best: 0.9420864 (15)	total: 301ms	remaining: 18.5s
16:	test: 0.9421532	best: 0.9421532 (16)	total: 318ms	remaining: 18.4s
17:	test: 0.9422852	best: 0.9422852 (17)	total: 334ms	remaining: 18.2s
18:	test: 0.9423596	best: 0.9423596 (18)	total: 351ms	remaining: 18.1s
19:	test: 0.9422738	best: 0.9423596 (18)	total: 366ms	remaining: 17.9s
20:	test: 0.9423630	best: 0.9423630 (20)	total: 386ms	remaining: 18s
21:	test: 0.9424041	best: 0.9424041 (21)	total: 407ms	remaining: 18.1s
22:	test: 0.9425201	best: 0.9425201 (22)	total: 427ms	remaining: 18.1s
23:	test: 0.9424593	best: 0.9425201 (22)	total: 449ms	remaining: 18.2s
24:	test: 0.9425053	best: 0.9425201 (22)	total: 469ms	remaining: 18.3s
25:	test: 0.9425955	best: 0.9425955 (25)	total: 487ms	remaining: 18.2s
26:	test: 0.9425707	best: 0.9425955 (25)	total: 504ms	remaining: 18.2s
27:	test: 0.9425800	best: 0.9425955 (25)	total: 520ms	remaining: 18.1s
28:	test: 0.9425845	best: 0.9425955 (25)	total: 536ms	remaining: 17.9s
29:	test: 0.9425665	best: 0.9425955 (25)	total: 553ms	remaining: 17.9s
30:	test: 0.9426025	best: 0.9426025 (30)	total: 569ms	remaining: 17.8s
31:	test: 0.9426985	best: 0.9426985 (31)	total: 584ms	remaining: 17.7s
32:	test: 0.9427581	best: 0.9427581 (32)	total: 602ms	remaining: 17.6s
33:	test: 0.9426881	best: 0.9427581 (32)	total: 618ms	remaining: 17.6s
34:	test: 0.9427939	best: 0.9427939 (34)	total: 635ms	remaining: 17.5s
35:	test: 0.9427090	best: 0.9427939 (34)	total: 642ms	remaining: 17.2s
36:	test: 0.9427276	best: 0.9427939 (34)	total: 658ms	remaining: 17.1s
37:	test: 0.9427192	best: 0.9427939 (34)	total: 675ms	remaining: 17.1s
38:	test: 0.9428090	best: 0.9428090 (38)	total: 691ms	remaining: 17s
39:	test: 0.9428843	best: 0.9428843 (39)	total: 706ms	remaining: 17s
40:	test: 0.9428160	best: 0.9428843 (39)	total: 712ms	remaining: 16.7s
41:	test: 0.9428569	best: 0.9428843 (39)	total: 729ms	remaining: 16.6s
42:	test: 0.9428629	best: 0.9428843 (39)	total: 748ms	remaining: 16.7s
43:	test: 0.9429246	best: 0.9429246 (43)	total: 766ms	remaining: 16.6s
44:	test: 0.9430281	best: 0.9430281 (44)	total: 783ms	remaining: 16.6s
45:	test: 0.9431381	best: 0.9431381 (45)	total: 801ms	remaining: 16.6s
46:	test: 0.9431307	best: 0.9431381 (45)	total: 818ms	remaining: 16.6s
47:	test: 0.9431570	best: 0.9431570 (47)	total: 839ms	remaining: 16.6s
48:	test: 0.9431872	best: 0.9431872 (48)	total: 857ms	remaining: 16.6s
49:	test: 0.9431743	best: 0.9431872 (48)	total: 876ms	remaining: 16.6s
50:	test: 0.9432111	best: 0.9432111 (50)	total: 896ms	remaining: 16.7s
51:	test: 0.9433057	best: 0.9433057 (51)	total: 919ms	remaining: 16.8s
52:	test: 0.9434283	best: 0.9434283 (52)	total: 939ms	remaining: 16.8s
53:	test: 0.9434613	best: 0.9434613 (53)	total: 959ms	remaining: 16.8s
54:	test: 0.9435186	best: 0.9435186 (54)	total: 979ms	remaining: 16.8s
55:	test: 0.9435770	best: 0.9435770 (55)	total: 999ms	remaining: 16.8s
56:	test: 0.9436432	best: 0.9436432 (56)	total: 1.02s	remaining: 16.9s
57:	test: 0.9437117	best: 0.9437117 (57)	total: 1.04s	remaining: 16.9s
58:	test: 0.9438078	best: 0.9438078 (58)	total: 1.06s	remaining: 16.9s
59:	test: 0.9438036	best: 0.9438078 (58)	total: 1.08s	remaining: 16.9s
60:	test: 0.9438991	best: 0.9438991 (60)	total: 1.1s	remaining: 16.9s
61:	test: 0.9439662	best: 0.9439662 (61)	total: 1.11s	remaining: 16.9s
62:	test: 0.9440178	best: 0.9440178 (62)	total: 1.13s	remaining: 16.9s
63:	test: 0.9440697	best: 0.9440697 (63)	total: 1.15s	remaining: 16.8s
64:	test: 0.9441472	best: 0.9441472 (64)	total: 1.17s	remaining: 16.8s
