0:	test: 0.7981320	best: 0.7981320 (0)	total: 54.7ms	remaining: 54.7s
1:	test: 0.8802197	best: 0.8802197 (1)	total: 71.4ms	remaining: 35.6s
2:	test: 0.8909825	best: 0.8909825 (2)	total: 76.8ms	remaining: 25.5s
3:	test: 0.8984422	best: 0.8984422 (3)	total: 82.3ms	remaining: 20.5s
4:	test: 0.8964642	best: 0.8984422 (3)	total: 88.2ms	remaining: 17.6s
5:	test: 0.9000040	best: 0.9000040 (5)	total: 97.6ms	remaining: 16.2s
6:	test: 0.8975538	best: 0.9000040 (5)	total: 104ms	remaining: 14.7s
7:	test: 0.8967757	best: 0.9000040 (5)	total: 108ms	remaining: 13.4s
8:	test: 0.9046634	best: 0.9046634 (8)	total: 123ms	remaining: 13.6s
9:	test: 0.9071076	best: 0.9071076 (9)	total: 137ms	remaining: 13.5s
10:	test: 0.9098608	best: 0.9098608 (10)	total: 142ms	remaining: 12.8s
11:	test: 0.9114553	best: 0.9114553 (11)	total: 151ms	remaining: 12.4s
12:	test: 0.9121994	best: 0.9121994 (12)	total: 158ms	remaining: 12s
13:	test: 0.9132135	best: 0.9132135 (13)	total: 164ms	remaining: 11.6s
14:	test: 0.9137738	best: 0.9137738 (14)	total: 169ms	remaining: 11.1s
15:	test: 0.9147941	best: 0.9147941 (15)	total: 175ms	remaining: 10.8s
16:	test: 0.9163736	best: 0.9163736 (16)	total: 181ms	remaining: 10.5s
17:	test: 0.9180225	best: 0.9180225 (17)	total: 190ms	remaining: 10.3s
18:	test: 0.9181205	best: 0.9181205 (18)	total: 195ms	remaining: 10.1s
19:	test: 0.9181692	best: 0.9181692 (19)	total: 203ms	remaining: 9.96s
20:	test: 0.9183340	best: 0.9183340 (20)	total: 210ms	remaining: 9.79s
21:	test: 0.9190793	best: 0.9190793 (21)	total: 217ms	remaining: 9.65s
22:	test: 0.9196056	best: 0.9196056 (22)	total: 223ms	remaining: 9.49s
23:	test: 0.9202531	best: 0.9202531 (23)	total: 229ms	remaining: 9.33s
24:	test: 0.9202091	best: 0.9202531 (23)	total: 235ms	remaining: 9.15s
25:	test: 0.9204714	best: 0.9204714 (25)	total: 241ms	remaining: 9.04s
26:	test: 0.9208283	best: 0.9208283 (26)	total: 247ms	remaining: 8.88s
27:	test: 0.9209516	best: 0.9209516 (27)	total: 253ms	remaining: 8.79s
28:	test: 0.9209316	best: 0.9209516 (27)	total: 259ms	remaining: 8.67s
29:	test: 0.9210833	best: 0.9210833 (29)	total: 265ms	remaining: 8.56s
30:	test: 0.9210219	best: 0.9210833 (29)	total: 271ms	remaining: 8.46s
31:	test: 0.9211040	best: 0.9211040 (31)	total: 275ms	remaining: 8.32s
32:	test: 0.9215853	best: 0.9215853 (32)	total: 282ms	remaining: 8.26s
33:	test: 0.9216820	best: 0.9216820 (33)	total: 287ms	remaining: 8.16s
34:	test: 0.9219733	best: 0.9219733 (34)	total: 292ms	remaining: 8.06s
35:	test: 0.9225354	best: 0.9225354 (35)	total: 297ms	remaining: 7.94s
36:	test: 0.9226294	best: 0.9226294 (36)	total: 302ms	remaining: 7.86s
37:	test: 0.9228728	best: 0.9228728 (37)	total: 308ms	remaining: 7.79s
38:	test: 0.9228506	best: 0.9228728 (37)	total: 312ms	remaining: 7.69s
39:	test: 0.9229310	best: 0.9229310 (39)	total: 317ms	remaining: 7.6s
40:	test: 0.9230776	best: 0.9230776 (40)	total: 322ms	remaining: 7.53s
41:	test: 0.9229913	best: 0.9230776 (40)	total: 326ms	remaining: 7.44s
42:	test: 0.9231430	best: 0.9231430 (42)	total: 332ms	remaining: 7.4s
43:	test: 0.9232854	best: 0.9232854 (43)	total: 337ms	remaining: 7.32s
44:	test: 0.9235197	best: 0.9235197 (44)	total: 341ms	remaining: 7.24s
45:	test: 0.9235453	best: 0.9235453 (45)	total: 345ms	remaining: 7.16s
46:	test: 0.9237594	best: 0.9237594 (46)	total: 351ms	remaining: 7.11s
47:	test: 0.9237789	best: 0.9237789 (47)	total: 356ms	remaining: 7.06s
48:	test: 0.9239306	best: 0.9239306 (48)	total: 362ms	remaining: 7.02s
49:	test: 0.9240249	best: 0.9240249 (49)	total: 366ms	remaining: 6.95s
50:	test: 0.9240510	best: 0.9240510 (50)	total: 371ms	remaining: 6.9s
51:	test: 0.9241479	best: 0.9241479 (51)	total: 377ms	remaining: 6.87s
52:	test: 0.9242720	best: 0.9242720 (52)	total: 382ms	remaining: 6.82s
53:	test: 0.9243157	best: 0.9243157 (53)	total: 386ms	remaining: 6.77s
54:	test: 0.9243686	best: 0.9243686 (54)	total: 391ms	remaining: 6.72s
55:	test: 0.9243828	best: 0.9243828 (55)	total: 398ms	remaining: 6.7s
56:	test: 0.9244425	best: 0.9244425 (56)	total: 403ms	remaining: 6.67s
57:	test: 0.9245704	best: 0.9245704 (57)	total: 408ms	remaining: 6.63s
58:	test: 0.9246231	best: 0.9246231 (58)	total: 413ms	remaining: 6.58s
59:	test: 0.9246139	best: 0.9246231 (58)	total: 418ms	remaining: 6.54s
60:	test: 0.9246702	best: 0.9246702 (60)	total: 423ms	remaining: 6.52s
61:	test: 0.9246830	best: 0.9246830 (61)	total: 428ms	remaining: 6.47s
62:	test: 0.9247446	best: 0.9247446 (62)	total: 434ms	remaining: 6.45s
63:	test: 0.9247612	best: 0.9247612 (63)	total: 438ms	remaining: 6.41s
64:	test: 0.9248394	best: 0.9248394 (64)	total: 444ms	remaining: 6.38s
65:	test: 0.9248777	best: 0.9248777 (65)	total: 449ms	remaining: 6.36s
66:	test: 0.9248820	best: 0.9248820 (66)	total: 455ms	remaining: 6.33s
67:	test: 0.9248844	best: 0.9248844 (67)	total: 461ms	remaining: 6.32s
68:	test: 0.9249151	best: 0.9249151 (68)	total: 466ms	remaining: 6.29s
