0:	test: 0.9300736	best: 0.9300736 (0)	total: 60ms	remaining: 59.9s
1:	test: 0.9385525	best: 0.9385525 (1)	total: 71.7ms	remaining: 35.8s
2:	test: 0.9396468	best: 0.9396468 (2)	total: 81.8ms	remaining: 27.2s
3:	test: 0.9406216	best: 0.9406216 (3)	total: 91.5ms	remaining: 22.8s
4:	test: 0.9420379	best: 0.9420379 (4)	total: 101ms	remaining: 20.1s
5:	test: 0.9415072	best: 0.9420379 (4)	total: 111ms	remaining: 18.4s
6:	test: 0.9420184	best: 0.9420379 (4)	total: 124ms	remaining: 17.6s
7:	test: 0.9419136	best: 0.9420379 (4)	total: 134ms	remaining: 16.6s
8:	test: 0.9420319	best: 0.9420379 (4)	total: 142ms	remaining: 15.6s
9:	test: 0.9422695	best: 0.9422695 (9)	total: 151ms	remaining: 14.9s
10:	test: 0.9425702	best: 0.9425702 (10)	total: 159ms	remaining: 14.3s
11:	test: 0.9428031	best: 0.9428031 (11)	total: 168ms	remaining: 13.8s
12:	test: 0.9430930	best: 0.9430930 (12)	total: 175ms	remaining: 13.3s
13:	test: 0.9431147	best: 0.9431147 (13)	total: 183ms	remaining: 12.9s
14:	test: 0.9433542	best: 0.9433542 (14)	total: 190ms	remaining: 12.5s
15:	test: 0.9434309	best: 0.9434309 (15)	total: 198ms	remaining: 12.2s
16:	test: 0.9435146	best: 0.9435146 (16)	total: 206ms	remaining: 11.9s
17:	test: 0.9437332	best: 0.9437332 (17)	total: 214ms	remaining: 11.7s
18:	test: 0.9439277	best: 0.9439277 (18)	total: 222ms	remaining: 11.5s
19:	test: 0.9440189	best: 0.9440189 (19)	total: 230ms	remaining: 11.3s
20:	test: 0.9440553	best: 0.9440553 (20)	total: 238ms	remaining: 11.1s
21:	test: 0.9443312	best: 0.9443312 (21)	total: 245ms	remaining: 10.9s
22:	test: 0.9443746	best: 0.9443746 (22)	total: 253ms	remaining: 10.8s
23:	test: 0.9445648	best: 0.9445648 (23)	total: 260ms	remaining: 10.6s
24:	test: 0.9447365	best: 0.9447365 (24)	total: 269ms	remaining: 10.5s
25:	test: 0.9449518	best: 0.9449518 (25)	total: 276ms	remaining: 10.3s
26:	test: 0.9450975	best: 0.9450975 (26)	total: 284ms	remaining: 10.2s
27:	test: 0.9452301	best: 0.9452301 (27)	total: 292ms	remaining: 10.1s
28:	test: 0.9454212	best: 0.9454212 (28)	total: 299ms	remaining: 10s
29:	test: 0.9455485	best: 0.9455485 (29)	total: 307ms	remaining: 9.94s
30:	test: 0.9456528	best: 0.9456528 (30)	total: 316ms	remaining: 9.86s
31:	test: 0.9456667	best: 0.9456667 (31)	total: 324ms	remaining: 9.79s
32:	test: 0.9457978	best: 0.9457978 (32)	total: 332ms	remaining: 9.73s
33:	test: 0.9458833	best: 0.9458833 (33)	total: 340ms	remaining: 9.66s
34:	test: 0.9460058	best: 0.9460058 (34)	total: 348ms	remaining: 9.6s
35:	test: 0.9461057	best: 0.9461057 (35)	total: 357ms	remaining: 9.55s
36:	test: 0.9461095	best: 0.9461095 (36)	total: 364ms	remaining: 9.48s
37:	test: 0.9462023	best: 0.9462023 (37)	total: 372ms	remaining: 9.41s
38:	test: 0.9462999	best: 0.9462999 (38)	total: 379ms	remaining: 9.34s
39:	test: 0.9463662	best: 0.9463662 (39)	total: 387ms	remaining: 9.28s
40:	test: 0.9464433	best: 0.9464433 (40)	total: 394ms	remaining: 9.22s
41:	test: 0.9464941	best: 0.9464941 (41)	total: 403ms	remaining: 9.2s
42:	test: 0.9465433	best: 0.9465433 (42)	total: 411ms	remaining: 9.14s
43:	test: 0.9466523	best: 0.9466523 (43)	total: 418ms	remaining: 9.08s
44:	test: 0.9466926	best: 0.9466926 (44)	total: 427ms	remaining: 9.06s
45:	test: 0.9467406	best: 0.9467406 (45)	total: 435ms	remaining: 9.03s
46:	test: 0.9467861	best: 0.9467861 (46)	total: 443ms	remaining: 8.98s
47:	test: 0.9468408	best: 0.9468408 (47)	total: 450ms	remaining: 8.93s
48:	test: 0.9468664	best: 0.9468664 (48)	total: 459ms	remaining: 8.91s
49:	test: 0.9468910	best: 0.9468910 (49)	total: 466ms	remaining: 8.85s
50:	test: 0.9469303	best: 0.9469303 (50)	total: 474ms	remaining: 8.83s
51:	test: 0.9470000	best: 0.9470000 (51)	total: 482ms	remaining: 8.78s
52:	test: 0.9470382	best: 0.9470382 (52)	total: 489ms	remaining: 8.74s
53:	test: 0.9470893	best: 0.9470893 (53)	total: 497ms	remaining: 8.7s
54:	test: 0.9471297	best: 0.9471297 (54)	total: 506ms	remaining: 8.7s
55:	test: 0.9471628	best: 0.9471628 (55)	total: 514ms	remaining: 8.67s
56:	test: 0.9472180	best: 0.9472180 (56)	total: 523ms	remaining: 8.65s
57:	test: 0.9472512	best: 0.9472512 (57)	total: 531ms	remaining: 8.62s
58:	test: 0.9473111	best: 0.9473111 (58)	total: 538ms	remaining: 8.58s
59:	test: 0.9473974	best: 0.9473974 (59)	total: 546ms	remaining: 8.56s
60:	test: 0.9474395	best: 0.9474395 (60)	total: 554ms	remaining: 8.53s
61:	test: 0.9474940	best: 0.9474940 (61)	total: 564ms	remaining: 8.53s
62:	test: 0.9475581	best: 0.9475581 (62)	total: 572ms	remaining: 8.51s
63:	test: 0.9475847	best: 0.9475847 (63)	total: 579ms	remaining: 8.47s
64:	test: 0.9476170	best: 0.9476170 (64)	total: 587ms	remaining: 8.44s
65:	test: 0.9476653	best: 0.9476653 (65)	total: 594ms	remaining: 8.4s
66:	test: 0.9476905	best: 0.9476905 (66)	total: 602ms	remaining: 8.38s
67:	test: 0.9477321	best: 0.9477321 (67)	total: 609ms	remaining: 8.34s
68:	test: 0.9477658	best: 0.9477658 (68)	total: 617ms	remaining: 8.32s
69:	test: 0.9478250	best: 0.9478250 (69)	total: 624ms	remaining: 8.29s
70:	test: 0.9478342	best: 0.9478342 (70)	total: 633ms	remaining: 8.28s
71:	test: 0.9478578	best: 0.9478578 (71)	total: 641ms	remaining: 8.26s
72:	test: 0.9478762	best: 0.9478762 (72)	total: 649ms	remaining: 8.24s
73:	test: 0.9479051	best: 0.9479051 (73)	total: 657ms	remaining: 8.23s
74:	test: 0.9479252	best: 0.9479252 (74)	total: 665ms	remaining: 8.2s
