0:	test: 0.9373414	best: 0.9373414 (0)	total: 97.8ms	remaining: 1m 37s
1:	test: 0.9404057	best: 0.9404057 (1)	total: 114ms	remaining: 56.8s
2:	test: 0.9420301	best: 0.9420301 (2)	total: 130ms	remaining: 43.3s
3:	test: 0.9422349	best: 0.9422349 (3)	total: 173ms	remaining: 43s
4:	test: 0.9420243	best: 0.9422349 (3)	total: 191ms	remaining: 38s
5:	test: 0.9421872	best: 0.9422349 (3)	total: 211ms	remaining: 35s
6:	test: 0.9418212	best: 0.9422349 (3)	total: 233ms	remaining: 33s
7:	test: 0.9417405	best: 0.9422349 (3)	total: 254ms	remaining: 31.5s
8:	test: 0.9416492	best: 0.9422349 (3)	total: 273ms	remaining: 30s
9:	test: 0.9417259	best: 0.9422349 (3)	total: 287ms	remaining: 28.4s
10:	test: 0.9425599	best: 0.9425599 (10)	total: 302ms	remaining: 27.2s
11:	test: 0.9428431	best: 0.9428431 (11)	total: 320ms	remaining: 26.4s
12:	test: 0.9427683	best: 0.9428431 (11)	total: 336ms	remaining: 25.5s
13:	test: 0.9429055	best: 0.9429055 (13)	total: 351ms	remaining: 24.7s
14:	test: 0.9429648	best: 0.9429648 (14)	total: 365ms	remaining: 23.9s
15:	test: 0.9430577	best: 0.9430577 (15)	total: 379ms	remaining: 23.3s
16:	test: 0.9433705	best: 0.9433705 (16)	total: 393ms	remaining: 22.7s
17:	test: 0.9437367	best: 0.9437367 (17)	total: 405ms	remaining: 22.1s
18:	test: 0.9437902	best: 0.9437902 (18)	total: 417ms	remaining: 21.6s
19:	test: 0.9439682	best: 0.9439682 (19)	total: 431ms	remaining: 21.1s
20:	test: 0.9441862	best: 0.9441862 (20)	total: 445ms	remaining: 20.7s
21:	test: 0.9443220	best: 0.9443220 (21)	total: 458ms	remaining: 20.4s
22:	test: 0.9444617	best: 0.9444617 (22)	total: 471ms	remaining: 20s
23:	test: 0.9446674	best: 0.9446674 (23)	total: 486ms	remaining: 19.8s
24:	test: 0.9447152	best: 0.9447152 (24)	total: 500ms	remaining: 19.5s
25:	test: 0.9449024	best: 0.9449024 (25)	total: 512ms	remaining: 19.2s
26:	test: 0.9449058	best: 0.9449058 (26)	total: 526ms	remaining: 19s
27:	test: 0.9449033	best: 0.9449058 (26)	total: 539ms	remaining: 18.7s
28:	test: 0.9450010	best: 0.9450010 (28)	total: 553ms	remaining: 18.5s
29:	test: 0.9452344	best: 0.9452344 (29)	total: 570ms	remaining: 18.4s
30:	test: 0.9453389	best: 0.9453389 (30)	total: 584ms	remaining: 18.3s
31:	test: 0.9454558	best: 0.9454558 (31)	total: 600ms	remaining: 18.2s
32:	test: 0.9455855	best: 0.9455855 (32)	total: 614ms	remaining: 18s
33:	test: 0.9457404	best: 0.9457404 (33)	total: 627ms	remaining: 17.8s
34:	test: 0.9459511	best: 0.9459511 (34)	total: 641ms	remaining: 17.7s
35:	test: 0.9460761	best: 0.9460761 (35)	total: 655ms	remaining: 17.5s
36:	test: 0.9461484	best: 0.9461484 (36)	total: 669ms	remaining: 17.4s
37:	test: 0.9462128	best: 0.9462128 (37)	total: 682ms	remaining: 17.3s
38:	test: 0.9462361	best: 0.9462361 (38)	total: 696ms	remaining: 17.2s
39:	test: 0.9462995	best: 0.9462995 (39)	total: 709ms	remaining: 17s
40:	test: 0.9464088	best: 0.9464088 (40)	total: 722ms	remaining: 16.9s
41:	test: 0.9465017	best: 0.9465017 (41)	total: 735ms	remaining: 16.8s
42:	test: 0.9465584	best: 0.9465584 (42)	total: 749ms	remaining: 16.7s
43:	test: 0.9466041	best: 0.9466041 (43)	total: 763ms	remaining: 16.6s
44:	test: 0.9466320	best: 0.9466320 (44)	total: 776ms	remaining: 16.5s
45:	test: 0.9467170	best: 0.9467170 (45)	total: 790ms	remaining: 16.4s
46:	test: 0.9467248	best: 0.9467248 (46)	total: 804ms	remaining: 16.3s
47:	test: 0.9467367	best: 0.9467367 (47)	total: 817ms	remaining: 16.2s
48:	test: 0.9467678	best: 0.9467678 (48)	total: 830ms	remaining: 16.1s
49:	test: 0.9468256	best: 0.9468256 (49)	total: 843ms	remaining: 16s
50:	test: 0.9468751	best: 0.9468751 (50)	total: 856ms	remaining: 15.9s
51:	test: 0.9469549	best: 0.9469549 (51)	total: 871ms	remaining: 15.9s
52:	test: 0.9470069	best: 0.9470069 (52)	total: 883ms	remaining: 15.8s
53:	test: 0.9470590	best: 0.9470590 (53)	total: 896ms	remaining: 15.7s
54:	test: 0.9470912	best: 0.9470912 (54)	total: 911ms	remaining: 15.7s
55:	test: 0.9471085	best: 0.9471085 (55)	total: 925ms	remaining: 15.6s
