0:	test: 0.9236355	best: 0.9236355 (0)	total: 60.3ms	remaining: 1m
1:	test: 0.9298092	best: 0.9298092 (1)	total: 65.4ms	remaining: 32.6s
2:	test: 0.9348583	best: 0.9348583 (2)	total: 69.3ms	remaining: 23s
3:	test: 0.9359240	best: 0.9359240 (3)	total: 73.2ms	remaining: 18.2s
4:	test: 0.9370486	best: 0.9370486 (4)	total: 77.4ms	remaining: 15.4s
5:	test: 0.9373562	best: 0.9373562 (5)	total: 81.5ms	remaining: 13.5s
6:	test: 0.9388676	best: 0.9388676 (6)	total: 85.7ms	remaining: 12.2s
7:	test: 0.9393762	best: 0.9393762 (7)	total: 90.8ms	remaining: 11.3s
8:	test: 0.9398535	best: 0.9398535 (8)	total: 94.9ms	remaining: 10.4s
9:	test: 0.9403203	best: 0.9403203 (9)	total: 99.3ms	remaining: 9.84s
10:	test: 0.9409349	best: 0.9409349 (10)	total: 104ms	remaining: 9.31s
11:	test: 0.9409342	best: 0.9409349 (10)	total: 108ms	remaining: 8.89s
12:	test: 0.9412605	best: 0.9412605 (12)	total: 112ms	remaining: 8.52s
13:	test: 0.9416196	best: 0.9416196 (13)	total: 117ms	remaining: 8.22s
14:	test: 0.9415383	best: 0.9416196 (13)	total: 122ms	remaining: 8s
15:	test: 0.9416999	best: 0.9416999 (15)	total: 126ms	remaining: 7.76s
16:	test: 0.9418941	best: 0.9418941 (16)	total: 130ms	remaining: 7.53s
17:	test: 0.9421579	best: 0.9421579 (17)	total: 135ms	remaining: 7.37s
18:	test: 0.9421879	best: 0.9421879 (18)	total: 141ms	remaining: 7.27s
19:	test: 0.9423397	best: 0.9423397 (19)	total: 145ms	remaining: 7.13s
20:	test: 0.9425836	best: 0.9425836 (20)	total: 151ms	remaining: 7.03s
21:	test: 0.9427125	best: 0.9427125 (21)	total: 155ms	remaining: 6.88s
22:	test: 0.9428814	best: 0.9428814 (22)	total: 159ms	remaining: 6.77s
23:	test: 0.9430564	best: 0.9430564 (23)	total: 164ms	remaining: 6.69s
24:	test: 0.9432253	best: 0.9432253 (24)	total: 169ms	remaining: 6.58s
25:	test: 0.9432919	best: 0.9432919 (25)	total: 173ms	remaining: 6.5s
26:	test: 0.9434672	best: 0.9434672 (26)	total: 178ms	remaining: 6.42s
27:	test: 0.9436252	best: 0.9436252 (27)	total: 183ms	remaining: 6.34s
28:	test: 0.9438187	best: 0.9438187 (28)	total: 188ms	remaining: 6.28s
29:	test: 0.9439359	best: 0.9439359 (29)	total: 192ms	remaining: 6.21s
30:	test: 0.9440359	best: 0.9440359 (30)	total: 197ms	remaining: 6.15s
31:	test: 0.9441531	best: 0.9441531 (31)	total: 202ms	remaining: 6.1s
32:	test: 0.9442360	best: 0.9442360 (32)	total: 206ms	remaining: 6.04s
33:	test: 0.9442903	best: 0.9442903 (33)	total: 210ms	remaining: 5.98s
34:	test: 0.9443483	best: 0.9443483 (34)	total: 215ms	remaining: 5.92s
35:	test: 0.9444842	best: 0.9444842 (35)	total: 220ms	remaining: 5.88s
36:	test: 0.9445364	best: 0.9445364 (36)	total: 224ms	remaining: 5.83s
37:	test: 0.9446143	best: 0.9446143 (37)	total: 228ms	remaining: 5.78s
38:	test: 0.9447125	best: 0.9447125 (38)	total: 233ms	remaining: 5.74s
39:	test: 0.9447730	best: 0.9447730 (39)	total: 237ms	remaining: 5.69s
40:	test: 0.9448211	best: 0.9448211 (40)	total: 242ms	remaining: 5.66s
41:	test: 0.9448778	best: 0.9448778 (41)	total: 247ms	remaining: 5.64s
42:	test: 0.9449315	best: 0.9449315 (42)	total: 251ms	remaining: 5.59s
43:	test: 0.9450286	best: 0.9450286 (43)	total: 256ms	remaining: 5.56s
44:	test: 0.9450851	best: 0.9450851 (44)	total: 260ms	remaining: 5.52s
45:	test: 0.9451806	best: 0.9451806 (45)	total: 264ms	remaining: 5.48s
46:	test: 0.9452499	best: 0.9452499 (46)	total: 269ms	remaining: 5.45s
47:	test: 0.9453193	best: 0.9453193 (47)	total: 273ms	remaining: 5.42s
48:	test: 0.9453484	best: 0.9453484 (48)	total: 277ms	remaining: 5.38s
49:	test: 0.9454034	best: 0.9454034 (49)	total: 282ms	remaining: 5.35s
50:	test: 0.9454842	best: 0.9454842 (50)	total: 286ms	remaining: 5.32s
51:	test: 0.9455221	best: 0.9455221 (51)	total: 290ms	remaining: 5.28s
52:	test: 0.9455946	best: 0.9455946 (52)	total: 294ms	remaining: 5.25s
53:	test: 0.9456212	best: 0.9456212 (53)	total: 299ms	remaining: 5.24s
54:	test: 0.9456369	best: 0.9456369 (54)	total: 303ms	remaining: 5.21s
55:	test: 0.9457275	best: 0.9457275 (55)	total: 308ms	remaining: 5.19s
56:	test: 0.9457765	best: 0.9457765 (56)	total: 312ms	remaining: 5.17s
57:	test: 0.9457935	best: 0.9457935 (57)	total: 316ms	remaining: 5.14s
58:	test: 0.9458639	best: 0.9458639 (58)	total: 321ms	remaining: 5.11s
59:	test: 0.9458944	best: 0.9458944 (59)	total: 325ms	remaining: 5.09s
60:	test: 0.9458939	best: 0.9458944 (59)	total: 329ms	remaining: 5.06s
61:	test: 0.9459546	best: 0.9459546 (61)	total: 333ms	remaining: 5.03s
62:	test: 0.9460000	best: 0.9460000 (62)	total: 337ms	remaining: 5.02s
63:	test: 0.9460096	best: 0.9460096 (63)	total: 342ms	remaining: 5s
64:	test: 0.9460415	best: 0.9460415 (64)	total: 346ms	remaining: 4.97s
65:	test: 0.9460464	best: 0.9460464 (65)	total: 351ms	remaining: 4.96s
66:	test: 0.9461227	best: 0.9461227 (66)	total: 355ms	remaining: 4.94s
67:	test: 0.9461399	best: 0.9461399 (67)	total: 359ms	remaining: 4.92s
68:	test: 0.9461399	best: 0.9461399 (67)	total: 363ms	remaining: 4.89s
69:	test: 0.9461834	best: 0.9461834 (69)	total: 367ms	remaining: 4.88s
70:	test: 0.9461958	best: 0.9461958 (70)	total: 371ms	remaining: 4.86s
71:	test: 0.9462183	best: 0.9462183 (71)	total: 375ms	remaining: 4.84s
72:	test: 0.9462098	best: 0.9462183 (71)	total: 380ms	remaining: 4.82s
73:	test: 0.9462122	best: 0.9462183 (71)	total: 384ms	remaining: 4.8s
74:	test: 0.9462300	best: 0.9462300 (74)	total: 389ms	remaining: 4.79s
75:	test: 0.9462342	best: 0.9462342 (75)	total: 393ms	remaining: 4.78s
76:	test: 0.9462625	best: 0.9462625 (76)	total: 397ms	remaining: 4.75s
77:	test: 0.9462540	best: 0.9462625 (76)	total: 401ms	remaining: 4.74s
78:	test: 0.9462572	best: 0.9462625 (76)	total: 405ms	remaining: 4.73s
79:	test: 0.9462800	best: 0.9462800 (79)	total: 409ms	remaining: 4.71s
80:	test: 0.9462880	best: 0.9462880 (80)	total: 414ms	remaining: 4.7s
81:	test: 0.9462911	best: 0.9462911 (81)	total: 418ms	remaining: 4.68s
82:	test: 0.9463200	best: 0.9463200 (82)	total: 422ms	remaining: 4.66s
83:	test: 0.9463134	best: 0.9463200 (82)	total: 426ms	remaining: 4.64s
84:	test: 0.9463422	best: 0.9463422 (84)	total: 430ms	remaining: 4.63s
85:	test: 0.9463466	best: 0.9463466 (85)	total: 434ms	remaining: 4.61s
86:	test: 0.9463642	best: 0.9463642 (86)	total: 438ms	remaining: 4.6s
87:	test: 0.9463667	best: 0.9463667 (87)	total: 442ms	remaining: 4.58s
88:	test: 0.9463867	best: 0.9463867 (88)	total: 446ms	remaining: 4.57s
89:	test: 0.9463867	best: 0.9463867 (88)	total: 449ms	remaining: 4.54s
90:	test: 0.9463911	best: 0.9463911 (90)	total: 454ms	remaining: 4.53s
91:	test: 0.9464435	best: 0.9464435 (91)	total: 458ms	remaining: 4.52s
92:	test: 0.9464528	best: 0.9464528 (92)	total: 462ms	remaining: 4.51s
93:	test: 0.9464612	best: 0.9464612 (93)	total: 467ms	remaining: 4.5s
94:	test: 0.9464632	best: 0.9464632 (94)	total: 471ms	remaining: 4.49s
95:	test: 0.9464783	best: 0.9464783 (95)	total: 475ms	remaining: 4.47s
96:	test: 0.9464799	best: 0.9464799 (96)	total: 479ms	remaining: 4.46s
97:	test: 0.9465177	best: 0.9465177 (97)	total: 484ms	remaining: 4.45s
98:	test: 0.9465702	best: 0.9465702 (98)	total: 488ms	remaining: 4.44s
99:	test: 0.9465702	best: 0.9465702 (98)	total: 491ms	remaining: 4.42s
100:	test: 0.9465702	best: 0.9465702 (98)	total: 494ms	remaining: 4.4s
101:	test: 0.9465906	best: 0.9465906 (101)	total: 499ms	remaining: 4.39s
102:	test: 0.9466251	best: 0.9466251 (102)	total: 504ms	remaining: 4.39s
103:	test: 0.9466288	best: 0.9466288 (103)	total: 509ms	remaining: 4.38s
104:	test: 0.9466333	best: 0.9466333 (104)	total: 514ms	remaining: 4.38s
105:	test: 0.9466416	best: 0.9466416 (105)	total: 517ms	remaining: 4.36s
106:	test: 0.9466417	best: 0.9466417 (106)	total: 522ms	remaining: 4.36s
107:	test: 0.9466490	best: 0.9466490 (107)	total: 526ms	remaining: 4.34s
108:	test: 0.9466685	best: 0.9466685 (108)	total: 530ms	remaining: 4.33s
109:	test: 0.9466684	best: 0.9466685 (108)	total: 534ms	remaining: 4.32s
110:	test: 0.9467003	best: 0.9467003 (110)	total: 538ms	remaining: 4.31s
111:	test: 0.9467214	best: 0.9467214 (111)	total: 542ms	remaining: 4.3s
112:	test: 0.9467308	best: 0.9467308 (112)	total: 547ms	remaining: 4.29s
113:	test: 0.9467702	best: 0.9467702 (113)	total: 552ms	remaining: 4.29s
114:	test: 0.9467779	best: 0.9467779 (114)	total: 556ms	remaining: 4.28s
115:	test: 0.9467779	best: 0.9467779 (114)	total: 560ms	remaining: 4.27s
116:	test: 0.9468132	best: 0.9468132 (116)	total: 565ms	remaining: 4.26s
117:	test: 0.9468582	best: 0.9468582 (117)	total: 569ms	remaining: 4.25s
118:	test: 0.9468773	best: 0.9468773 (118)	total: 573ms	remaining: 4.24s
119:	test: 0.9468772	best: 0.9468773 (118)	total: 577ms	remaining: 4.23s
120:	test: 0.9468860	best: 0.9468860 (120)	total: 581ms	remaining: 4.22s
121:	test: 0.9469101	best: 0.9469101 (121)	total: 586ms	remaining: 4.21s
122:	test: 0.9469166	best: 0.9469166 (122)	total: 591ms	remaining: 4.21s
123:	test: 0.9469166	best: 0.9469166 (123)	total: 594ms	remaining: 4.19s
124:	test: 0.9469166	best: 0.9469166 (123)	total: 597ms	remaining: 4.18s
125:	test: 0.9469420	best: 0.9469420 (125)	total: 603ms	remaining: 4.18s
126:	test: 0.9469400	best: 0.9469420 (125)	total: 607ms	remaining: 4.17s
127:	test: 0.9469570	best: 0.9469570 (127)	total: 612ms	remaining: 4.17s
128:	test: 0.9469626	best: 0.9469626 (128)	total: 617ms	remaining: 4.16s
129:	test: 0.9469627	best: 0.9469627 (129)	total: 621ms	remaining: 4.16s
130:	test: 0.9469650	best: 0.9469650 (130)	total: 625ms	remaining: 4.15s
131:	test: 0.9469764	best: 0.9469764 (131)	total: 630ms	remaining: 4.14s
132:	test: 0.9469832	best: 0.9469832 (132)	total: 634ms	remaining: 4.13s
133:	test: 0.9469831	best: 0.9469832 (132)	total: 638ms	remaining: 4.12s
134:	test: 0.9469894	best: 0.9469894 (134)	total: 643ms	remaining: 4.12s
135:	test: 0.9470196	best: 0.9470196 (135)	total: 647ms	remaining: 4.11s
136:	test: 0.9470387	best: 0.9470387 (136)	total: 652ms	remaining: 4.11s
137:	test: 0.9470423	best: 0.9470423 (137)	total: 657ms	remaining: 4.1s
138:	test: 0.9470460	best: 0.9470460 (138)	total: 661ms	remaining: 4.09s
139:	test: 0.9470715	best: 0.9470715 (139)	total: 665ms	remaining: 4.09s
140:	test: 0.9470715	best: 0.9470715 (139)	total: 669ms	remaining: 4.08s
141:	test: 0.9470903	best: 0.9470903 (141)	total: 674ms	remaining: 4.08s
142:	test: 0.9470903	best: 0.9470903 (141)	total: 679ms	remaining: 4.07s
143:	test: 0.9470903	best: 0.9470903 (143)	total: 683ms	remaining: 4.06s
144:	test: 0.9470991	best: 0.9470991 (144)	total: 687ms	remaining: 4.05s
145:	test: 0.9471157	best: 0.9471157 (145)	total: 692ms	remaining: 4.05s
146:	test: 0.9471235	best: 0.9471235 (146)	total: 696ms	remaining: 4.04s
147:	test: 0.9471294	best: 0.9471294 (147)	total: 700ms	remaining: 4.03s
148:	test: 0.9471294	best: 0.9471294 (147)	total: 703ms	remaining: 4.02s
149:	test: 0.9471287	best: 0.9471294 (147)	total: 708ms	remaining: 4.01s
150:	test: 0.9471285	best: 0.9471294 (147)	total: 711ms	remaining: 4s
151:	test: 0.9471285	best: 0.9471294 (147)	total: 714ms	remaining: 3.98s
152:	test: 0.9471327	best: 0.9471327 (152)	total: 718ms	remaining: 3.97s
153:	test: 0.9471287	best: 0.9471327 (152)	total: 723ms	remaining: 3.97s
154:	test: 0.9471378	best: 0.9471378 (154)	total: 727ms	remaining: 3.96s
155:	test: 0.9471365	best: 0.9471378 (154)	total: 731ms	remaining: 3.95s
156:	test: 0.9471513	best: 0.9471513 (156)	total: 735ms	remaining: 3.95s
157:	test: 0.9471526	best: 0.9471526 (157)	total: 740ms	remaining: 3.94s
158:	test: 0.9471606	best: 0.9471606 (158)	total: 744ms	remaining: 3.93s
159:	test: 0.9471634	best: 0.9471634 (159)	total: 749ms	remaining: 3.93s
160:	test: 0.9471701	best: 0.9471701 (160)	total: 754ms	remaining: 3.93s
161:	test: 0.9471808	best: 0.9471808 (161)	total: 758ms	remaining: 3.92s
162:	test: 0.9471806	best: 0.9471808 (161)	total: 762ms	remaining: 3.91s
163:	test: 0.9471864	best: 0.9471864 (163)	total: 766ms	remaining: 3.91s
164:	test: 0.9472030	best: 0.9472030 (164)	total: 771ms	remaining: 3.9s
165:	test: 0.9472002	best: 0.9472030 (164)	total: 776ms	remaining: 3.9s
166:	test: 0.9472099	best: 0.9472099 (166)	total: 780ms	remaining: 3.89s
167:	test: 0.9472099	best: 0.9472099 (167)	total: 783ms	remaining: 3.88s
168:	test: 0.9472231	best: 0.9472231 (168)	total: 788ms	remaining: 3.88s
169:	test: 0.9472231	best: 0.9472231 (168)	total: 791ms	remaining: 3.86s
170:	test: 0.9472286	best: 0.9472286 (170)	total: 795ms	remaining: 3.86s
171:	test: 0.9472409	best: 0.9472409 (171)	total: 800ms	remaining: 3.85s
172:	test: 0.9472576	best: 0.9472576 (172)	total: 804ms	remaining: 3.85s
173:	test: 0.9472604	best: 0.9472604 (173)	total: 808ms	remaining: 3.84s
174:	test: 0.9472646	best: 0.9472646 (174)	total: 813ms	remaining: 3.83s
175:	test: 0.9472695	best: 0.9472695 (175)	total: 817ms	remaining: 3.83s
176:	test: 0.9472798	best: 0.9472798 (176)	total: 821ms	remaining: 3.82s
177:	test: 0.9472879	best: 0.9472879 (177)	total: 825ms	remaining: 3.81s
178:	test: 0.9472997	best: 0.9472997 (178)	total: 829ms	remaining: 3.8s
179:	test: 0.9473095	best: 0.9473095 (179)	total: 834ms	remaining: 3.8s
180:	test: 0.9473254	best: 0.9473254 (180)	total: 838ms	remaining: 3.79s
181:	test: 0.9473279	best: 0.9473279 (181)	total: 842ms	remaining: 3.78s
182:	test: 0.9473383	best: 0.9473383 (182)	total: 846ms	remaining: 3.78s
183:	test: 0.9473413	best: 0.9473413 (183)	total: 850ms	remaining: 3.77s
184:	test: 0.9473414	best: 0.9473414 (184)	total: 854ms	remaining: 3.76s
185:	test: 0.9473436	best: 0.9473436 (185)	total: 859ms	remaining: 3.76s
186:	test: 0.9473637	best: 0.9473637 (186)	total: 862ms	remaining: 3.75s
187:	test: 0.9473651	best: 0.9473651 (187)	total: 867ms	remaining: 3.74s
188:	test: 0.9473664	best: 0.9473664 (188)	total: 871ms	remaining: 3.74s
189:	test: 0.9473634	best: 0.9473664 (188)	total: 875ms	remaining: 3.73s
190:	test: 0.9473705	best: 0.9473705 (190)	total: 879ms	remaining: 3.72s
191:	test: 0.9473792	best: 0.9473792 (191)	total: 884ms	remaining: 3.72s
192:	test: 0.9473925	best: 0.9473925 (192)	total: 888ms	remaining: 3.71s
193:	test: 0.9473973	best: 0.9473973 (193)	total: 893ms	remaining: 3.71s
194:	test: 0.9474066	best: 0.9474066 (194)	total: 897ms	remaining: 3.7s
195:	test: 0.9474084	best: 0.9474084 (195)	total: 900ms	remaining: 3.69s
196:	test: 0.9474207	best: 0.9474207 (196)	total: 906ms	remaining: 3.69s
197:	test: 0.9474286	best: 0.9474286 (197)	total: 910ms	remaining: 3.69s
198:	test: 0.9474287	best: 0.9474287 (198)	total: 913ms	remaining: 3.67s
199:	test: 0.9474365	best: 0.9474365 (199)	total: 919ms	remaining: 3.67s
200:	test: 0.9474416	best: 0.9474416 (200)	total: 923ms	remaining: 3.67s
201:	test: 0.9474432	best: 0.9474432 (201)	total: 927ms	remaining: 3.66s
202:	test: 0.9474432	best: 0.9474432 (202)	total: 936ms	remaining: 3.67s
203:	test: 0.9474694	best: 0.9474694 (203)	total: 940ms	remaining: 3.67s
