0:	test: 0.9150172	best: 0.9150172 (0)	total: 63.2ms	remaining: 1m 3s
1:	test: 0.9284388	best: 0.9284388 (1)	total: 66.9ms	remaining: 33.4s
2:	test: 0.9305417	best: 0.9305417 (2)	total: 72.3ms	remaining: 24s
3:	test: 0.9313750	best: 0.9313750 (3)	total: 76ms	remaining: 18.9s
4:	test: 0.9326299	best: 0.9326299 (4)	total: 80.5ms	remaining: 16s
5:	test: 0.9336193	best: 0.9336193 (5)	total: 84.1ms	remaining: 13.9s
6:	test: 0.9338612	best: 0.9338612 (6)	total: 87.7ms	remaining: 12.4s
7:	test: 0.9347083	best: 0.9347083 (7)	total: 92.2ms	remaining: 11.4s
8:	test: 0.9348915	best: 0.9348915 (8)	total: 96.4ms	remaining: 10.6s
9:	test: 0.9352369	best: 0.9352369 (9)	total: 101ms	remaining: 9.96s
10:	test: 0.9355914	best: 0.9355914 (10)	total: 104ms	remaining: 9.39s
11:	test: 0.9352397	best: 0.9355914 (10)	total: 108ms	remaining: 8.91s
12:	test: 0.9353022	best: 0.9355914 (10)	total: 113ms	remaining: 8.55s
13:	test: 0.9353506	best: 0.9355914 (10)	total: 117ms	remaining: 8.23s
14:	test: 0.9357446	best: 0.9357446 (14)	total: 122ms	remaining: 7.98s
15:	test: 0.9363599	best: 0.9363599 (15)	total: 126ms	remaining: 7.74s
16:	test: 0.9362750	best: 0.9363599 (15)	total: 130ms	remaining: 7.52s
17:	test: 0.9361914	best: 0.9363599 (15)	total: 134ms	remaining: 7.32s
18:	test: 0.9364486	best: 0.9364486 (18)	total: 138ms	remaining: 7.13s
19:	test: 0.9364457	best: 0.9364486 (18)	total: 143ms	remaining: 6.99s
20:	test: 0.9361805	best: 0.9364486 (18)	total: 147ms	remaining: 6.84s
21:	test: 0.9361505	best: 0.9364486 (18)	total: 151ms	remaining: 6.72s
22:	test: 0.9365766	best: 0.9365766 (22)	total: 155ms	remaining: 6.58s
23:	test: 0.9365645	best: 0.9365766 (22)	total: 158ms	remaining: 6.44s
24:	test: 0.9365322	best: 0.9365766 (22)	total: 162ms	remaining: 6.31s
25:	test: 0.9364951	best: 0.9365766 (22)	total: 166ms	remaining: 6.24s
26:	test: 0.9364910	best: 0.9365766 (22)	total: 170ms	remaining: 6.14s
27:	test: 0.9364052	best: 0.9365766 (22)	total: 174ms	remaining: 6.04s
28:	test: 0.9364709	best: 0.9365766 (22)	total: 178ms	remaining: 5.96s
29:	test: 0.9368922	best: 0.9368922 (29)	total: 182ms	remaining: 5.88s
30:	test: 0.9370071	best: 0.9370071 (30)	total: 186ms	remaining: 5.8s
31:	test: 0.9370920	best: 0.9370920 (31)	total: 190ms	remaining: 5.74s
32:	test: 0.9374928	best: 0.9374928 (32)	total: 194ms	remaining: 5.68s
33:	test: 0.9374822	best: 0.9374928 (32)	total: 198ms	remaining: 5.62s
34:	test: 0.9375336	best: 0.9375336 (34)	total: 201ms	remaining: 5.55s
35:	test: 0.9378023	best: 0.9378023 (35)	total: 206ms	remaining: 5.52s
36:	test: 0.9380342	best: 0.9380342 (36)	total: 211ms	remaining: 5.48s
37:	test: 0.9381651	best: 0.9381651 (37)	total: 214ms	remaining: 5.43s
38:	test: 0.9383423	best: 0.9383423 (38)	total: 219ms	remaining: 5.39s
39:	test: 0.9384939	best: 0.9384939 (39)	total: 223ms	remaining: 5.35s
40:	test: 0.9384543	best: 0.9384939 (39)	total: 227ms	remaining: 5.3s
41:	test: 0.9386502	best: 0.9386502 (41)	total: 231ms	remaining: 5.27s
42:	test: 0.9389370	best: 0.9389370 (42)	total: 235ms	remaining: 5.24s
43:	test: 0.9390750	best: 0.9390750 (43)	total: 239ms	remaining: 5.19s
44:	test: 0.9392823	best: 0.9392823 (44)	total: 242ms	remaining: 5.14s
45:	test: 0.9393901	best: 0.9393901 (45)	total: 246ms	remaining: 5.11s
46:	test: 0.9394375	best: 0.9394375 (46)	total: 250ms	remaining: 5.08s
47:	test: 0.9394866	best: 0.9394866 (47)	total: 255ms	remaining: 5.05s
48:	test: 0.9397397	best: 0.9397397 (48)	total: 259ms	remaining: 5.03s
49:	test: 0.9397544	best: 0.9397544 (49)	total: 263ms	remaining: 5s
50:	test: 0.9398177	best: 0.9398177 (50)	total: 267ms	remaining: 4.97s
51:	test: 0.9399579	best: 0.9399579 (51)	total: 271ms	remaining: 4.93s
52:	test: 0.9399966	best: 0.9399966 (52)	total: 275ms	remaining: 4.92s
53:	test: 0.9401079	best: 0.9401079 (53)	total: 279ms	remaining: 4.88s
54:	test: 0.9401285	best: 0.9401285 (54)	total: 282ms	remaining: 4.85s
55:	test: 0.9402829	best: 0.9402829 (55)	total: 287ms	remaining: 4.83s
56:	test: 0.9403081	best: 0.9403081 (56)	total: 291ms	remaining: 4.81s
57:	test: 0.9403999	best: 0.9403999 (57)	total: 295ms	remaining: 4.79s
58:	test: 0.9404608	best: 0.9404608 (58)	total: 299ms	remaining: 4.77s
59:	test: 0.9404891	best: 0.9404891 (59)	total: 304ms	remaining: 4.76s
60:	test: 0.9406202	best: 0.9406202 (60)	total: 308ms	remaining: 4.74s
61:	test: 0.9406623	best: 0.9406623 (61)	total: 312ms	remaining: 4.72s
62:	test: 0.9407265	best: 0.9407265 (62)	total: 316ms	remaining: 4.7s
63:	test: 0.9408623	best: 0.9408623 (63)	total: 320ms	remaining: 4.67s
64:	test: 0.9408924	best: 0.9408924 (64)	total: 324ms	remaining: 4.65s
65:	test: 0.9409621	best: 0.9409621 (65)	total: 328ms	remaining: 4.64s
66:	test: 0.9409748	best: 0.9409748 (66)	total: 332ms	remaining: 4.62s
67:	test: 0.9410185	best: 0.9410185 (67)	total: 336ms	remaining: 4.6s
68:	test: 0.9410980	best: 0.9410980 (68)	total: 340ms	remaining: 4.59s
69:	test: 0.9411504	best: 0.9411504 (69)	total: 344ms	remaining: 4.57s
70:	test: 0.9411728	best: 0.9411728 (70)	total: 348ms	remaining: 4.55s
71:	test: 0.9412948	best: 0.9412948 (71)	total: 352ms	remaining: 4.53s
72:	test: 0.9413906	best: 0.9413906 (72)	total: 356ms	remaining: 4.52s
73:	test: 0.9414106	best: 0.9414106 (73)	total: 359ms	remaining: 4.5s
74:	test: 0.9415312	best: 0.9415312 (74)	total: 363ms	remaining: 4.47s
75:	test: 0.9416222	best: 0.9416222 (75)	total: 367ms	remaining: 4.47s
76:	test: 0.9416456	best: 0.9416456 (76)	total: 371ms	remaining: 4.44s
77:	test: 0.9417630	best: 0.9417630 (77)	total: 374ms	remaining: 4.42s
78:	test: 0.9418524	best: 0.9418524 (78)	total: 378ms	remaining: 4.41s
79:	test: 0.9419040	best: 0.9419040 (79)	total: 382ms	remaining: 4.39s
80:	test: 0.9419672	best: 0.9419672 (80)	total: 385ms	remaining: 4.37s
81:	test: 0.9420248	best: 0.9420248 (81)	total: 389ms	remaining: 4.36s
82:	test: 0.9420432	best: 0.9420432 (82)	total: 393ms	remaining: 4.34s
83:	test: 0.9420806	best: 0.9420806 (83)	total: 397ms	remaining: 4.33s
84:	test: 0.9421960	best: 0.9421960 (84)	total: 401ms	remaining: 4.31s
85:	test: 0.9422635	best: 0.9422635 (85)	total: 405ms	remaining: 4.3s
86:	test: 0.9423016	best: 0.9423016 (86)	total: 409ms	remaining: 4.29s
87:	test: 0.9423746	best: 0.9423746 (87)	total: 413ms	remaining: 4.28s
88:	test: 0.9424620	best: 0.9424620 (88)	total: 417ms	remaining: 4.27s
89:	test: 0.9425026	best: 0.9425026 (89)	total: 421ms	remaining: 4.25s
90:	test: 0.9425716	best: 0.9425716 (90)	total: 424ms	remaining: 4.24s
91:	test: 0.9426202	best: 0.9426202 (91)	total: 428ms	remaining: 4.22s
92:	test: 0.9426831	best: 0.9426831 (92)	total: 432ms	remaining: 4.21s
93:	test: 0.9427466	best: 0.9427466 (93)	total: 436ms	remaining: 4.2s
94:	test: 0.9427533	best: 0.9427533 (94)	total: 439ms	remaining: 4.18s
95:	test: 0.9428283	best: 0.9428283 (95)	total: 444ms	remaining: 4.18s
96:	test: 0.9428538	best: 0.9428538 (96)	total: 448ms	remaining: 4.17s
97:	test: 0.9429143	best: 0.9429143 (97)	total: 453ms	remaining: 4.17s
98:	test: 0.9429421	best: 0.9429421 (98)	total: 457ms	remaining: 4.16s
99:	test: 0.9430030	best: 0.9430030 (99)	total: 462ms	remaining: 4.15s
100:	test: 0.9430481	best: 0.9430481 (100)	total: 466ms	remaining: 4.15s
101:	test: 0.9431090	best: 0.9431090 (101)	total: 471ms	remaining: 4.15s
102:	test: 0.9431831	best: 0.9431831 (102)	total: 475ms	remaining: 4.13s
103:	test: 0.9432046	best: 0.9432046 (103)	total: 479ms	remaining: 4.12s
104:	test: 0.9432616	best: 0.9432616 (104)	total: 482ms	remaining: 4.11s
105:	test: 0.9433071	best: 0.9433071 (105)	total: 486ms	remaining: 4.1s
106:	test: 0.9433672	best: 0.9433672 (106)	total: 490ms	remaining: 4.09s
107:	test: 0.9434261	best: 0.9434261 (107)	total: 494ms	remaining: 4.08s
108:	test: 0.9434507	best: 0.9434507 (108)	total: 499ms	remaining: 4.08s
109:	test: 0.9435105	best: 0.9435105 (109)	total: 503ms	remaining: 4.07s
110:	test: 0.9435205	best: 0.9435205 (110)	total: 508ms	remaining: 4.07s
111:	test: 0.9435295	best: 0.9435295 (111)	total: 512ms	remaining: 4.06s
112:	test: 0.9435917	best: 0.9435917 (112)	total: 516ms	remaining: 4.05s
113:	test: 0.9436339	best: 0.9436339 (113)	total: 521ms	remaining: 4.05s
114:	test: 0.9436601	best: 0.9436601 (114)	total: 525ms	remaining: 4.04s
115:	test: 0.9436873	best: 0.9436873 (115)	total: 528ms	remaining: 4.03s
116:	test: 0.9437151	best: 0.9437151 (116)	total: 533ms	remaining: 4.02s
117:	test: 0.9437407	best: 0.9437407 (117)	total: 536ms	remaining: 4.01s
118:	test: 0.9437845	best: 0.9437845 (118)	total: 541ms	remaining: 4s
119:	test: 0.9438125	best: 0.9438125 (119)	total: 545ms	remaining: 4s
120:	test: 0.9438352	best: 0.9438352 (120)	total: 549ms	remaining: 3.99s
121:	test: 0.9438913	best: 0.9438913 (121)	total: 553ms	remaining: 3.98s
122:	test: 0.9438986	best: 0.9438986 (122)	total: 558ms	remaining: 3.98s
123:	test: 0.9439371	best: 0.9439371 (123)	total: 561ms	remaining: 3.97s
124:	test: 0.9439649	best: 0.9439649 (124)	total: 565ms	remaining: 3.95s
125:	test: 0.9440104	best: 0.9440104 (125)	total: 569ms	remaining: 3.95s
126:	test: 0.9440253	best: 0.9440253 (126)	total: 573ms	remaining: 3.94s
127:	test: 0.9440380	best: 0.9440380 (127)	total: 577ms	remaining: 3.93s
128:	test: 0.9440613	best: 0.9440613 (128)	total: 581ms	remaining: 3.92s
129:	test: 0.9440783	best: 0.9440783 (129)	total: 585ms	remaining: 3.91s
130:	test: 0.9440990	best: 0.9440990 (130)	total: 589ms	remaining: 3.91s
131:	test: 0.9441423	best: 0.9441423 (131)	total: 592ms	remaining: 3.9s
132:	test: 0.9441631	best: 0.9441631 (132)	total: 596ms	remaining: 3.89s
133:	test: 0.9441700	best: 0.9441700 (133)	total: 600ms	remaining: 3.88s
134:	test: 0.9442091	best: 0.9442091 (134)	total: 604ms	remaining: 3.87s
135:	test: 0.9442335	best: 0.9442335 (135)	total: 608ms	remaining: 3.86s
136:	test: 0.9442401	best: 0.9442401 (136)	total: 612ms	remaining: 3.85s
137:	test: 0.9442489	best: 0.9442489 (137)	total: 616ms	remaining: 3.85s
138:	test: 0.9443027	best: 0.9443027 (138)	total: 620ms	remaining: 3.84s
139:	test: 0.9443338	best: 0.9443338 (139)	total: 624ms	remaining: 3.83s
140:	test: 0.9443689	best: 0.9443689 (140)	total: 628ms	remaining: 3.82s
141:	test: 0.9443931	best: 0.9443931 (141)	total: 631ms	remaining: 3.81s
142:	test: 0.9444166	best: 0.9444166 (142)	total: 635ms	remaining: 3.8s
143:	test: 0.9444566	best: 0.9444566 (143)	total: 639ms	remaining: 3.8s
144:	test: 0.9444816	best: 0.9444816 (144)	total: 643ms	remaining: 3.79s
145:	test: 0.9445279	best: 0.9445279 (145)	total: 646ms	remaining: 3.78s
146:	test: 0.9445514	best: 0.9445514 (146)	total: 651ms	remaining: 3.77s
147:	test: 0.9445655	best: 0.9445655 (147)	total: 654ms	remaining: 3.77s
148:	test: 0.9445764	best: 0.9445764 (148)	total: 658ms	remaining: 3.76s
149:	test: 0.9445911	best: 0.9445911 (149)	total: 662ms	remaining: 3.75s
150:	test: 0.9446249	best: 0.9446249 (150)	total: 666ms	remaining: 3.74s
151:	test: 0.9446459	best: 0.9446459 (151)	total: 669ms	remaining: 3.73s
152:	test: 0.9446569	best: 0.9446569 (152)	total: 674ms	remaining: 3.73s
153:	test: 0.9446687	best: 0.9446687 (153)	total: 678ms	remaining: 3.73s
