0:	test: 0.9132964	best: 0.9132964 (0)	total: 58.9ms	remaining: 58.8s
1:	test: 0.9282584	best: 0.9282584 (1)	total: 62.7ms	remaining: 31.3s
2:	test: 0.9336666	best: 0.9336666 (2)	total: 66ms	remaining: 21.9s
3:	test: 0.9344946	best: 0.9344946 (3)	total: 71.3ms	remaining: 17.8s
4:	test: 0.9365754	best: 0.9365754 (4)	total: 75ms	remaining: 14.9s
5:	test: 0.9368213	best: 0.9368213 (5)	total: 78.7ms	remaining: 13s
6:	test: 0.9367218	best: 0.9368213 (5)	total: 82.3ms	remaining: 11.7s
7:	test: 0.9370352	best: 0.9370352 (7)	total: 86.3ms	remaining: 10.7s
8:	test: 0.9375731	best: 0.9375731 (8)	total: 90.7ms	remaining: 9.99s
9:	test: 0.9381647	best: 0.9381647 (9)	total: 95.5ms	remaining: 9.45s
10:	test: 0.9385407	best: 0.9385407 (10)	total: 100ms	remaining: 8.99s
11:	test: 0.9391355	best: 0.9391355 (11)	total: 104ms	remaining: 8.57s
12:	test: 0.9397864	best: 0.9397864 (12)	total: 108ms	remaining: 8.23s
13:	test: 0.9401912	best: 0.9401912 (13)	total: 113ms	remaining: 7.93s
14:	test: 0.9406814	best: 0.9406814 (14)	total: 116ms	remaining: 7.65s
15:	test: 0.9411186	best: 0.9411186 (15)	total: 121ms	remaining: 7.42s
16:	test: 0.9413282	best: 0.9413282 (16)	total: 126ms	remaining: 7.27s
17:	test: 0.9415652	best: 0.9415652 (17)	total: 132ms	remaining: 7.18s
18:	test: 0.9416847	best: 0.9416847 (18)	total: 136ms	remaining: 7.01s
19:	test: 0.9419709	best: 0.9419709 (19)	total: 144ms	remaining: 7.08s
20:	test: 0.9420524	best: 0.9420524 (20)	total: 149ms	remaining: 6.95s
21:	test: 0.9420637	best: 0.9420637 (21)	total: 154ms	remaining: 6.86s
22:	test: 0.9421090	best: 0.9421090 (22)	total: 159ms	remaining: 6.76s
23:	test: 0.9422057	best: 0.9422057 (23)	total: 176ms	remaining: 7.16s
24:	test: 0.9424244	best: 0.9424244 (24)	total: 182ms	remaining: 7.11s
25:	test: 0.9425433	best: 0.9425433 (25)	total: 187ms	remaining: 7s
26:	test: 0.9426891	best: 0.9426891 (26)	total: 192ms	remaining: 6.91s
27:	test: 0.9428191	best: 0.9428191 (27)	total: 197ms	remaining: 6.84s
28:	test: 0.9429276	best: 0.9429276 (28)	total: 202ms	remaining: 6.76s
29:	test: 0.9430051	best: 0.9430051 (29)	total: 207ms	remaining: 6.69s
30:	test: 0.9431172	best: 0.9431172 (30)	total: 212ms	remaining: 6.63s
31:	test: 0.9431674	best: 0.9431674 (31)	total: 217ms	remaining: 6.58s
32:	test: 0.9432345	best: 0.9432345 (32)	total: 224ms	remaining: 6.57s
33:	test: 0.9432701	best: 0.9432701 (33)	total: 230ms	remaining: 6.53s
34:	test: 0.9433806	best: 0.9433806 (34)	total: 236ms	remaining: 6.49s
35:	test: 0.9435380	best: 0.9435380 (35)	total: 241ms	remaining: 6.44s
36:	test: 0.9435941	best: 0.9435941 (36)	total: 246ms	remaining: 6.41s
37:	test: 0.9436141	best: 0.9436141 (37)	total: 252ms	remaining: 6.37s
38:	test: 0.9436822	best: 0.9436822 (38)	total: 257ms	remaining: 6.32s
39:	test: 0.9438068	best: 0.9438068 (39)	total: 263ms	remaining: 6.31s
40:	test: 0.9438595	best: 0.9438595 (40)	total: 268ms	remaining: 6.26s
41:	test: 0.9440766	best: 0.9440766 (41)	total: 272ms	remaining: 6.21s
42:	test: 0.9441166	best: 0.9441166 (42)	total: 278ms	remaining: 6.19s
43:	test: 0.9441685	best: 0.9441685 (43)	total: 283ms	remaining: 6.16s
44:	test: 0.9443002	best: 0.9443002 (44)	total: 289ms	remaining: 6.13s
45:	test: 0.9443284	best: 0.9443284 (45)	total: 294ms	remaining: 6.1s
46:	test: 0.9444971	best: 0.9444971 (46)	total: 299ms	remaining: 6.06s
47:	test: 0.9445701	best: 0.9445701 (47)	total: 305ms	remaining: 6.04s
48:	test: 0.9445888	best: 0.9445888 (48)	total: 311ms	remaining: 6.03s
49:	test: 0.9447216	best: 0.9447216 (49)	total: 316ms	remaining: 6.01s
50:	test: 0.9447408	best: 0.9447408 (50)	total: 322ms	remaining: 5.99s
51:	test: 0.9447914	best: 0.9447914 (51)	total: 327ms	remaining: 5.97s
52:	test: 0.9448130	best: 0.9448130 (52)	total: 333ms	remaining: 5.95s
53:	test: 0.9448898	best: 0.9448898 (53)	total: 338ms	remaining: 5.92s
54:	test: 0.9449756	best: 0.9449756 (54)	total: 343ms	remaining: 5.9s
55:	test: 0.9450387	best: 0.9450387 (55)	total: 348ms	remaining: 5.87s
56:	test: 0.9450804	best: 0.9450804 (56)	total: 354ms	remaining: 5.86s
57:	test: 0.9451099	best: 0.9451099 (57)	total: 360ms	remaining: 5.85s
58:	test: 0.9451391	best: 0.9451391 (58)	total: 366ms	remaining: 5.84s
59:	test: 0.9452356	best: 0.9452356 (59)	total: 373ms	remaining: 5.85s
60:	test: 0.9453190	best: 0.9453190 (60)	total: 379ms	remaining: 5.84s
61:	test: 0.9453510	best: 0.9453510 (61)	total: 385ms	remaining: 5.82s
62:	test: 0.9453755	best: 0.9453755 (62)	total: 390ms	remaining: 5.8s
63:	test: 0.9454013	best: 0.9454013 (63)	total: 395ms	remaining: 5.78s
64:	test: 0.9455102	best: 0.9455102 (64)	total: 400ms	remaining: 5.75s
65:	test: 0.9455278	best: 0.9455278 (65)	total: 405ms	remaining: 5.73s
