0:	test: 0.9258752	best: 0.9258752 (0)	total: 59.5ms	remaining: 59.5s
1:	test: 0.9344911	best: 0.9344911 (1)	total: 64ms	remaining: 31.9s
2:	test: 0.9356166	best: 0.9356166 (2)	total: 67.9ms	remaining: 22.6s
3:	test: 0.9368976	best: 0.9368976 (3)	total: 71.9ms	remaining: 17.9s
4:	test: 0.9367732	best: 0.9368976 (3)	total: 76.3ms	remaining: 15.2s
5:	test: 0.9370781	best: 0.9370781 (5)	total: 81ms	remaining: 13.4s
6:	test: 0.9383178	best: 0.9383178 (6)	total: 85.5ms	remaining: 12.1s
7:	test: 0.9393552	best: 0.9393552 (7)	total: 89.8ms	remaining: 11.1s
8:	test: 0.9397920	best: 0.9397920 (8)	total: 94.9ms	remaining: 10.4s
9:	test: 0.9401653	best: 0.9401653 (9)	total: 99.5ms	remaining: 9.85s
10:	test: 0.9404793	best: 0.9404793 (10)	total: 104ms	remaining: 9.38s
11:	test: 0.9402834	best: 0.9404793 (10)	total: 111ms	remaining: 9.13s
12:	test: 0.9405401	best: 0.9405401 (12)	total: 121ms	remaining: 9.19s
13:	test: 0.9409858	best: 0.9409858 (13)	total: 126ms	remaining: 8.9s
14:	test: 0.9414438	best: 0.9414438 (14)	total: 131ms	remaining: 8.58s
15:	test: 0.9416189	best: 0.9416189 (15)	total: 136ms	remaining: 8.34s
16:	test: 0.9418466	best: 0.9418466 (16)	total: 141ms	remaining: 8.13s
17:	test: 0.9420163	best: 0.9420163 (17)	total: 145ms	remaining: 7.93s
18:	test: 0.9419824	best: 0.9420163 (17)	total: 150ms	remaining: 7.74s
19:	test: 0.9422753	best: 0.9422753 (19)	total: 154ms	remaining: 7.55s
20:	test: 0.9424344	best: 0.9424344 (20)	total: 158ms	remaining: 7.39s
21:	test: 0.9428967	best: 0.9428967 (21)	total: 163ms	remaining: 7.26s
22:	test: 0.9431455	best: 0.9431455 (22)	total: 168ms	remaining: 7.12s
23:	test: 0.9434337	best: 0.9434337 (23)	total: 172ms	remaining: 7s
24:	test: 0.9436895	best: 0.9436895 (24)	total: 177ms	remaining: 6.9s
25:	test: 0.9438232	best: 0.9438232 (25)	total: 181ms	remaining: 6.79s
26:	test: 0.9439876	best: 0.9439876 (26)	total: 185ms	remaining: 6.68s
