0:	test: 0.8795388	best: 0.8795388 (0)	total: 51.1ms	remaining: 51.1s
1:	test: 0.8959758	best: 0.8959758 (1)	total: 54.3ms	remaining: 27.1s
2:	test: 0.8993061	best: 0.8993061 (2)	total: 57ms	remaining: 18.9s
3:	test: 0.9043660	best: 0.9043660 (3)	total: 59.7ms	remaining: 14.9s
4:	test: 0.9076426	best: 0.9076426 (4)	total: 62.8ms	remaining: 12.5s
5:	test: 0.9109783	best: 0.9109783 (5)	total: 65.6ms	remaining: 10.9s
6:	test: 0.9145908	best: 0.9145908 (6)	total: 69.1ms	remaining: 9.8s
7:	test: 0.9160055	best: 0.9160055 (7)	total: 71.9ms	remaining: 8.91s
8:	test: 0.9163026	best: 0.9163026 (8)	total: 74.7ms	remaining: 8.22s
9:	test: 0.9176764	best: 0.9176764 (9)	total: 77.7ms	remaining: 7.7s
10:	test: 0.9191379	best: 0.9191379 (10)	total: 81.1ms	remaining: 7.29s
11:	test: 0.9192138	best: 0.9192138 (11)	total: 85ms	remaining: 7s
12:	test: 0.9192141	best: 0.9192141 (12)	total: 88.6ms	remaining: 6.72s
13:	test: 0.9197770	best: 0.9197770 (13)	total: 91.5ms	remaining: 6.45s
14:	test: 0.9204123	best: 0.9204123 (14)	total: 94.5ms	remaining: 6.21s
15:	test: 0.9205557	best: 0.9205557 (15)	total: 99.9ms	remaining: 6.14s
16:	test: 0.9211195	best: 0.9211195 (16)	total: 103ms	remaining: 5.96s
17:	test: 0.9216915	best: 0.9216915 (17)	total: 107ms	remaining: 5.82s
18:	test: 0.9233158	best: 0.9233158 (18)	total: 110ms	remaining: 5.68s
19:	test: 0.9258027	best: 0.9258027 (19)	total: 113ms	remaining: 5.53s
20:	test: 0.9257702	best: 0.9258027 (19)	total: 117ms	remaining: 5.44s
21:	test: 0.9260395	best: 0.9260395 (21)	total: 121ms	remaining: 5.36s
22:	test: 0.9261887	best: 0.9261887 (22)	total: 124ms	remaining: 5.27s
23:	test: 0.9272395	best: 0.9272395 (23)	total: 127ms	remaining: 5.17s
24:	test: 0.9282205	best: 0.9282205 (24)	total: 130ms	remaining: 5.08s
25:	test: 0.9281125	best: 0.9282205 (24)	total: 133ms	remaining: 5s
26:	test: 0.9281454	best: 0.9282205 (24)	total: 137ms	remaining: 4.92s
27:	test: 0.9283072	best: 0.9283072 (27)	total: 140ms	remaining: 4.84s
28:	test: 0.9285044	best: 0.9285044 (28)	total: 143ms	remaining: 4.78s
29:	test: 0.9287190	best: 0.9287190 (29)	total: 146ms	remaining: 4.72s
30:	test: 0.9289558	best: 0.9289558 (30)	total: 150ms	remaining: 4.67s
31:	test: 0.9290383	best: 0.9290383 (31)	total: 153ms	remaining: 4.62s
32:	test: 0.9296377	best: 0.9296377 (32)	total: 156ms	remaining: 4.56s
33:	test: 0.9309101	best: 0.9309101 (33)	total: 159ms	remaining: 4.51s
34:	test: 0.9310748	best: 0.9310748 (34)	total: 162ms	remaining: 4.47s
35:	test: 0.9310696	best: 0.9310748 (34)	total: 165ms	remaining: 4.42s
36:	test: 0.9311164	best: 0.9311164 (36)	total: 168ms	remaining: 4.37s
37:	test: 0.9315111	best: 0.9315111 (37)	total: 171ms	remaining: 4.34s
38:	test: 0.9316663	best: 0.9316663 (38)	total: 175ms	remaining: 4.3s
39:	test: 0.9317176	best: 0.9317176 (39)	total: 178ms	remaining: 4.26s
40:	test: 0.9317500	best: 0.9317500 (40)	total: 180ms	remaining: 4.22s
41:	test: 0.9317475	best: 0.9317500 (40)	total: 184ms	remaining: 4.2s
42:	test: 0.9318320	best: 0.9318320 (42)	total: 187ms	remaining: 4.17s
43:	test: 0.9321673	best: 0.9321673 (43)	total: 191ms	remaining: 4.14s
44:	test: 0.9324189	best: 0.9324189 (44)	total: 194ms	remaining: 4.11s
45:	test: 0.9326678	best: 0.9326678 (45)	total: 197ms	remaining: 4.09s
46:	test: 0.9327776	best: 0.9327776 (46)	total: 201ms	remaining: 4.07s
47:	test: 0.9328896	best: 0.9328896 (47)	total: 204ms	remaining: 4.04s
48:	test: 0.9328923	best: 0.9328923 (48)	total: 206ms	remaining: 4s
49:	test: 0.9330107	best: 0.9330107 (49)	total: 209ms	remaining: 3.98s
50:	test: 0.9329933	best: 0.9330107 (49)	total: 214ms	remaining: 3.97s
51:	test: 0.9332029	best: 0.9332029 (51)	total: 216ms	remaining: 3.95s
52:	test: 0.9332660	best: 0.9332660 (52)	total: 220ms	remaining: 3.92s
53:	test: 0.9332607	best: 0.9332660 (52)	total: 223ms	remaining: 3.9s
54:	test: 0.9333509	best: 0.9333509 (54)	total: 226ms	remaining: 3.88s
55:	test: 0.9334546	best: 0.9334546 (55)	total: 229ms	remaining: 3.85s
56:	test: 0.9335243	best: 0.9335243 (56)	total: 232ms	remaining: 3.83s
57:	test: 0.9337017	best: 0.9337017 (57)	total: 235ms	remaining: 3.82s
58:	test: 0.9337776	best: 0.9337776 (58)	total: 238ms	remaining: 3.8s
59:	test: 0.9338686	best: 0.9338686 (59)	total: 241ms	remaining: 3.78s
60:	test: 0.9340062	best: 0.9340062 (60)	total: 244ms	remaining: 3.76s
61:	test: 0.9341529	best: 0.9341529 (61)	total: 248ms	remaining: 3.74s
62:	test: 0.9341604	best: 0.9341604 (62)	total: 251ms	remaining: 3.73s
63:	test: 0.9343961	best: 0.9343961 (63)	total: 254ms	remaining: 3.72s
64:	test: 0.9344829	best: 0.9344829 (64)	total: 257ms	remaining: 3.7s
65:	test: 0.9344684	best: 0.9344829 (64)	total: 261ms	remaining: 3.69s
66:	test: 0.9345730	best: 0.9345730 (66)	total: 264ms	remaining: 3.68s
67:	test: 0.9346225	best: 0.9346225 (67)	total: 267ms	remaining: 3.66s
68:	test: 0.9346547	best: 0.9346547 (68)	total: 270ms	remaining: 3.64s
69:	test: 0.9350362	best: 0.9350362 (69)	total: 274ms	remaining: 3.63s
70:	test: 0.9350547	best: 0.9350547 (70)	total: 277ms	remaining: 3.62s
71:	test: 0.9350463	best: 0.9350547 (70)	total: 280ms	remaining: 3.61s
72:	test: 0.9351135	best: 0.9351135 (72)	total: 283ms	remaining: 3.59s
73:	test: 0.9351534	best: 0.9351534 (73)	total: 286ms	remaining: 3.58s
74:	test: 0.9352099	best: 0.9352099 (74)	total: 289ms	remaining: 3.57s
75:	test: 0.9352722	best: 0.9352722 (75)	total: 292ms	remaining: 3.56s
76:	test: 0.9353296	best: 0.9353296 (76)	total: 295ms	remaining: 3.54s
77:	test: 0.9354461	best: 0.9354461 (77)	total: 299ms	remaining: 3.53s
