0:	test: 0.9319037	best: 0.9319037 (0)	total: 71.3ms	remaining: 1m 11s
1:	test: 0.9388401	best: 0.9388401 (1)	total: 80.9ms	remaining: 40.4s
2:	test: 0.9398726	best: 0.9398726 (2)	total: 90.5ms	remaining: 30.1s
3:	test: 0.9405232	best: 0.9405232 (3)	total: 101ms	remaining: 25.1s
4:	test: 0.9415362	best: 0.9415362 (4)	total: 111ms	remaining: 22.1s
5:	test: 0.9421234	best: 0.9421234 (5)	total: 120ms	remaining: 19.9s
6:	test: 0.9417103	best: 0.9421234 (5)	total: 125ms	remaining: 17.8s
7:	test: 0.9420291	best: 0.9421234 (5)	total: 135ms	remaining: 16.8s
8:	test: 0.9421495	best: 0.9421495 (8)	total: 146ms	remaining: 16.1s
9:	test: 0.9423252	best: 0.9423252 (9)	total: 157ms	remaining: 15.5s
10:	test: 0.9426586	best: 0.9426586 (10)	total: 167ms	remaining: 15s
11:	test: 0.9428871	best: 0.9428871 (11)	total: 178ms	remaining: 14.6s
12:	test: 0.9432559	best: 0.9432559 (12)	total: 188ms	remaining: 14.3s
13:	test: 0.9435021	best: 0.9435021 (13)	total: 199ms	remaining: 14s
14:	test: 0.9436889	best: 0.9436889 (14)	total: 210ms	remaining: 13.8s
15:	test: 0.9438208	best: 0.9438208 (15)	total: 220ms	remaining: 13.5s
16:	test: 0.9440929	best: 0.9440929 (16)	total: 230ms	remaining: 13.3s
17:	test: 0.9443960	best: 0.9443960 (17)	total: 240ms	remaining: 13.1s
18:	test: 0.9445858	best: 0.9445858 (18)	total: 250ms	remaining: 12.9s
19:	test: 0.9448318	best: 0.9448318 (19)	total: 261ms	remaining: 12.8s
20:	test: 0.9450077	best: 0.9450077 (20)	total: 271ms	remaining: 12.6s
21:	test: 0.9451068	best: 0.9451068 (21)	total: 281ms	remaining: 12.5s
22:	test: 0.9451910	best: 0.9451910 (22)	total: 291ms	remaining: 12.4s
23:	test: 0.9452783	best: 0.9452783 (23)	total: 302ms	remaining: 12.3s
24:	test: 0.9453909	best: 0.9453909 (24)	total: 313ms	remaining: 12.2s
25:	test: 0.9454522	best: 0.9454522 (25)	total: 323ms	remaining: 12.1s
26:	test: 0.9455613	best: 0.9455613 (26)	total: 334ms	remaining: 12s
27:	test: 0.9456220	best: 0.9456220 (27)	total: 344ms	remaining: 11.9s
28:	test: 0.9456796	best: 0.9456796 (28)	total: 354ms	remaining: 11.9s
29:	test: 0.9457767	best: 0.9457767 (29)	total: 365ms	remaining: 11.8s
30:	test: 0.9458359	best: 0.9458359 (30)	total: 376ms	remaining: 11.7s
31:	test: 0.9458918	best: 0.9458918 (31)	total: 386ms	remaining: 11.7s
32:	test: 0.9459459	best: 0.9459459 (32)	total: 395ms	remaining: 11.6s
33:	test: 0.9460042	best: 0.9460042 (33)	total: 406ms	remaining: 11.5s
34:	test: 0.9460289	best: 0.9460289 (34)	total: 416ms	remaining: 11.5s
35:	test: 0.9460709	best: 0.9460709 (35)	total: 421ms	remaining: 11.3s
36:	test: 0.9461472	best: 0.9461472 (36)	total: 432ms	remaining: 11.2s
37:	test: 0.9462513	best: 0.9462513 (37)	total: 443ms	remaining: 11.2s
