0:	test: 0.9237604	best: 0.9237604 (0)	total: 60.9ms	remaining: 1m
1:	test: 0.9330123	best: 0.9330123 (1)	total: 66ms	remaining: 33s
2:	test: 0.9379565	best: 0.9379565 (2)	total: 70.5ms	remaining: 23.4s
3:	test: 0.9380344	best: 0.9380344 (3)	total: 75.5ms	remaining: 18.8s
4:	test: 0.9390486	best: 0.9390486 (4)	total: 79.9ms	remaining: 15.9s
5:	test: 0.9403429	best: 0.9403429 (5)	total: 84.3ms	remaining: 14s
6:	test: 0.9401369	best: 0.9403429 (5)	total: 88.9ms	remaining: 12.6s
7:	test: 0.9408278	best: 0.9408278 (7)	total: 94.2ms	remaining: 11.7s
8:	test: 0.9409389	best: 0.9409389 (8)	total: 98.9ms	remaining: 10.9s
9:	test: 0.9410771	best: 0.9410771 (9)	total: 104ms	remaining: 10.3s
10:	test: 0.9412637	best: 0.9412637 (10)	total: 109ms	remaining: 9.77s
11:	test: 0.9411140	best: 0.9412637 (10)	total: 113ms	remaining: 9.34s
12:	test: 0.9413769	best: 0.9413769 (12)	total: 119ms	remaining: 9.04s
13:	test: 0.9421590	best: 0.9421590 (13)	total: 129ms	remaining: 9.11s
14:	test: 0.9422726	best: 0.9422726 (14)	total: 134ms	remaining: 8.81s
15:	test: 0.9424767	best: 0.9424767 (15)	total: 139ms	remaining: 8.57s
16:	test: 0.9425731	best: 0.9425731 (16)	total: 144ms	remaining: 8.35s
17:	test: 0.9427277	best: 0.9427277 (17)	total: 149ms	remaining: 8.15s
18:	test: 0.9427584	best: 0.9427584 (18)	total: 155ms	remaining: 8.01s
19:	test: 0.9429149	best: 0.9429149 (19)	total: 160ms	remaining: 7.84s
20:	test: 0.9430150	best: 0.9430150 (20)	total: 166ms	remaining: 7.72s
21:	test: 0.9432269	best: 0.9432269 (21)	total: 173ms	remaining: 7.68s
22:	test: 0.9433376	best: 0.9433376 (22)	total: 181ms	remaining: 7.7s
23:	test: 0.9436490	best: 0.9436490 (23)	total: 186ms	remaining: 7.58s
24:	test: 0.9438312	best: 0.9438312 (24)	total: 193ms	remaining: 7.53s
25:	test: 0.9440204	best: 0.9440204 (25)	total: 198ms	remaining: 7.42s
26:	test: 0.9441232	best: 0.9441232 (26)	total: 203ms	remaining: 7.33s
27:	test: 0.9442376	best: 0.9442376 (27)	total: 208ms	remaining: 7.22s
28:	test: 0.9444104	best: 0.9444104 (28)	total: 213ms	remaining: 7.13s
29:	test: 0.9445740	best: 0.9445740 (29)	total: 218ms	remaining: 7.05s
30:	test: 0.9447663	best: 0.9447663 (30)	total: 223ms	remaining: 6.97s
31:	test: 0.9448720	best: 0.9448720 (31)	total: 228ms	remaining: 6.89s
