0:	test: 0.9153532	best: 0.9153532 (0)	total: 61.4ms	remaining: 1m 1s
1:	test: 0.9226311	best: 0.9226311 (1)	total: 66.1ms	remaining: 33s
2:	test: 0.9282936	best: 0.9282936 (2)	total: 69.8ms	remaining: 23.2s
3:	test: 0.9312850	best: 0.9312850 (3)	total: 74.9ms	remaining: 18.7s
4:	test: 0.9324249	best: 0.9324249 (4)	total: 79.9ms	remaining: 15.9s
5:	test: 0.9333665	best: 0.9333665 (5)	total: 83.8ms	remaining: 13.9s
6:	test: 0.9344896	best: 0.9344896 (6)	total: 88.5ms	remaining: 12.6s
7:	test: 0.9353542	best: 0.9353542 (7)	total: 93.3ms	remaining: 11.6s
8:	test: 0.9358596	best: 0.9358596 (8)	total: 98.6ms	remaining: 10.9s
9:	test: 0.9365512	best: 0.9365512 (9)	total: 104ms	remaining: 10.2s
10:	test: 0.9369728	best: 0.9369728 (10)	total: 108ms	remaining: 9.75s
11:	test: 0.9372213	best: 0.9372213 (11)	total: 114ms	remaining: 9.36s
12:	test: 0.9374409	best: 0.9374409 (12)	total: 120ms	remaining: 9.09s
13:	test: 0.9381305	best: 0.9381305 (13)	total: 125ms	remaining: 8.79s
14:	test: 0.9382096	best: 0.9382096 (14)	total: 130ms	remaining: 8.54s
15:	test: 0.9382780	best: 0.9382780 (15)	total: 135ms	remaining: 8.29s
16:	test: 0.9382074	best: 0.9382780 (15)	total: 141ms	remaining: 8.13s
17:	test: 0.9381500	best: 0.9382780 (15)	total: 146ms	remaining: 7.97s
18:	test: 0.9385001	best: 0.9385001 (18)	total: 151ms	remaining: 7.82s
19:	test: 0.9389653	best: 0.9389653 (19)	total: 158ms	remaining: 7.75s
20:	test: 0.9392489	best: 0.9392489 (20)	total: 164ms	remaining: 7.64s
21:	test: 0.9392903	best: 0.9392903 (21)	total: 169ms	remaining: 7.53s
22:	test: 0.9397799	best: 0.9397799 (22)	total: 175ms	remaining: 7.43s
23:	test: 0.9399999	best: 0.9399999 (23)	total: 180ms	remaining: 7.3s
24:	test: 0.9402921	best: 0.9402921 (24)	total: 184ms	remaining: 7.19s
25:	test: 0.9407025	best: 0.9407025 (25)	total: 190ms	remaining: 7.11s
26:	test: 0.9410341	best: 0.9410341 (26)	total: 196ms	remaining: 7.05s
27:	test: 0.9412602	best: 0.9412602 (27)	total: 201ms	remaining: 6.97s
28:	test: 0.9415402	best: 0.9415402 (28)	total: 206ms	remaining: 6.88s
29:	test: 0.9415285	best: 0.9415402 (28)	total: 211ms	remaining: 6.82s
30:	test: 0.9417428	best: 0.9417428 (30)	total: 216ms	remaining: 6.74s
31:	test: 0.9419032	best: 0.9419032 (31)	total: 221ms	remaining: 6.68s
32:	test: 0.9419236	best: 0.9419236 (32)	total: 226ms	remaining: 6.63s
