0:	test: 0.7989149	best: 0.7989149 (0)	total: 62.7ms	remaining: 1m 2s
1:	test: 0.8786072	best: 0.8786072 (1)	total: 65.4ms	remaining: 32.6s
2:	test: 0.8834179	best: 0.8834179 (2)	total: 68ms	remaining: 22.6s
3:	test: 0.8874659	best: 0.8874659 (3)	total: 71.2ms	remaining: 17.7s
4:	test: 0.8934467	best: 0.8934467 (4)	total: 74.8ms	remaining: 14.9s
5:	test: 0.8978974	best: 0.8978974 (5)	total: 78.3ms	remaining: 13s
6:	test: 0.8993753	best: 0.8993753 (6)	total: 81.3ms	remaining: 11.5s
7:	test: 0.9066120	best: 0.9066120 (7)	total: 83.9ms	remaining: 10.4s
8:	test: 0.9051343	best: 0.9066120 (7)	total: 87.5ms	remaining: 9.63s
9:	test: 0.9087703	best: 0.9087703 (9)	total: 91.1ms	remaining: 9.02s
10:	test: 0.9107984	best: 0.9107984 (10)	total: 93.9ms	remaining: 8.44s
11:	test: 0.9116477	best: 0.9116477 (11)	total: 96.8ms	remaining: 7.97s
12:	test: 0.9131368	best: 0.9131368 (12)	total: 99.9ms	remaining: 7.58s
13:	test: 0.9128187	best: 0.9131368 (12)	total: 104ms	remaining: 7.31s
14:	test: 0.9139890	best: 0.9139890 (14)	total: 107ms	remaining: 7.02s
15:	test: 0.9134321	best: 0.9139890 (14)	total: 110ms	remaining: 6.77s
16:	test: 0.9140497	best: 0.9140497 (16)	total: 115ms	remaining: 6.63s
17:	test: 0.9148151	best: 0.9148151 (17)	total: 119ms	remaining: 6.47s
18:	test: 0.9152502	best: 0.9152502 (18)	total: 123ms	remaining: 6.34s
19:	test: 0.9164723	best: 0.9164723 (19)	total: 127ms	remaining: 6.24s
20:	test: 0.9164819	best: 0.9164819 (20)	total: 131ms	remaining: 6.09s
21:	test: 0.9162264	best: 0.9164819 (20)	total: 134ms	remaining: 5.95s
22:	test: 0.9170930	best: 0.9170930 (22)	total: 138ms	remaining: 5.86s
23:	test: 0.9172822	best: 0.9172822 (23)	total: 142ms	remaining: 5.75s
24:	test: 0.9172077	best: 0.9172822 (23)	total: 148ms	remaining: 5.77s
25:	test: 0.9180054	best: 0.9180054 (25)	total: 152ms	remaining: 5.68s
26:	test: 0.9193088	best: 0.9193088 (26)	total: 155ms	remaining: 5.58s
27:	test: 0.9201406	best: 0.9201406 (27)	total: 159ms	remaining: 5.52s
28:	test: 0.9204805	best: 0.9204805 (28)	total: 162ms	remaining: 5.42s
29:	test: 0.9210465	best: 0.9210465 (29)	total: 165ms	remaining: 5.35s
30:	test: 0.9211656	best: 0.9211656 (30)	total: 169ms	remaining: 5.29s
31:	test: 0.9213109	best: 0.9213109 (31)	total: 173ms	remaining: 5.24s
32:	test: 0.9214398	best: 0.9214398 (32)	total: 177ms	remaining: 5.18s
33:	test: 0.9213994	best: 0.9214398 (32)	total: 181ms	remaining: 5.13s
34:	test: 0.9214982	best: 0.9214982 (34)	total: 184ms	remaining: 5.07s
35:	test: 0.9218519	best: 0.9218519 (35)	total: 187ms	remaining: 5.01s
36:	test: 0.9218974	best: 0.9218974 (36)	total: 190ms	remaining: 4.94s
37:	test: 0.9219658	best: 0.9219658 (37)	total: 194ms	remaining: 4.92s
38:	test: 0.9221570	best: 0.9221570 (38)	total: 197ms	remaining: 4.87s
39:	test: 0.9222988	best: 0.9222988 (39)	total: 201ms	remaining: 4.82s
40:	test: 0.9225118	best: 0.9225118 (40)	total: 204ms	remaining: 4.78s
41:	test: 0.9226102	best: 0.9226102 (41)	total: 208ms	remaining: 4.74s
42:	test: 0.9227591	best: 0.9227591 (42)	total: 212ms	remaining: 4.71s
43:	test: 0.9227312	best: 0.9227591 (42)	total: 217ms	remaining: 4.72s
44:	test: 0.9229944	best: 0.9229944 (44)	total: 220ms	remaining: 4.67s
45:	test: 0.9230949	best: 0.9230949 (45)	total: 224ms	remaining: 4.64s
46:	test: 0.9230833	best: 0.9230949 (45)	total: 227ms	remaining: 4.61s
47:	test: 0.9231385	best: 0.9231385 (47)	total: 231ms	remaining: 4.59s
48:	test: 0.9232159	best: 0.9232159 (48)	total: 234ms	remaining: 4.54s
49:	test: 0.9234005	best: 0.9234005 (49)	total: 238ms	remaining: 4.51s
50:	test: 0.9234882	best: 0.9234882 (50)	total: 242ms	remaining: 4.49s
51:	test: 0.9235558	best: 0.9235558 (51)	total: 245ms	remaining: 4.47s
52:	test: 0.9236119	best: 0.9236119 (52)	total: 249ms	remaining: 4.44s
53:	test: 0.9236086	best: 0.9236119 (52)	total: 252ms	remaining: 4.41s
54:	test: 0.9236567	best: 0.9236567 (54)	total: 256ms	remaining: 4.4s
55:	test: 0.9237454	best: 0.9237454 (55)	total: 260ms	remaining: 4.38s
56:	test: 0.9238247	best: 0.9238247 (56)	total: 263ms	remaining: 4.35s
57:	test: 0.9238893	best: 0.9238893 (57)	total: 266ms	remaining: 4.33s
58:	test: 0.9239565	best: 0.9239565 (58)	total: 270ms	remaining: 4.3s
59:	test: 0.9240223	best: 0.9240223 (59)	total: 274ms	remaining: 4.29s
60:	test: 0.9241200	best: 0.9241200 (60)	total: 278ms	remaining: 4.28s
61:	test: 0.9242525	best: 0.9242525 (61)	total: 281ms	remaining: 4.26s
62:	test: 0.9242552	best: 0.9242552 (62)	total: 285ms	remaining: 4.23s
63:	test: 0.9243128	best: 0.9243128 (63)	total: 289ms	remaining: 4.22s
64:	test: 0.9243785	best: 0.9243785 (64)	total: 292ms	remaining: 4.2s
65:	test: 0.9244143	best: 0.9244143 (65)	total: 296ms	remaining: 4.18s
66:	test: 0.9244682	best: 0.9244682 (66)	total: 299ms	remaining: 4.16s
67:	test: 0.9244490	best: 0.9244682 (66)	total: 302ms	remaining: 4.14s
68:	test: 0.9244888	best: 0.9244888 (68)	total: 306ms	remaining: 4.12s
69:	test: 0.9245944	best: 0.9245944 (69)	total: 310ms	remaining: 4.12s
70:	test: 0.9246490	best: 0.9246490 (70)	total: 314ms	remaining: 4.11s
71:	test: 0.9246432	best: 0.9246490 (70)	total: 318ms	remaining: 4.1s
72:	test: 0.9246665	best: 0.9246665 (72)	total: 322ms	remaining: 4.09s
73:	test: 0.9247024	best: 0.9247024 (73)	total: 326ms	remaining: 4.07s
74:	test: 0.9247280	best: 0.9247280 (74)	total: 330ms	remaining: 4.06s
75:	test: 0.9248232	best: 0.9248232 (75)	total: 334ms	remaining: 4.06s
76:	test: 0.9248083	best: 0.9248232 (75)	total: 337ms	remaining: 4.04s
77:	test: 0.9248461	best: 0.9248461 (77)	total: 340ms	remaining: 4.02s
78:	test: 0.9248692	best: 0.9248692 (78)	total: 344ms	remaining: 4.01s
79:	test: 0.9248972	best: 0.9248972 (79)	total: 347ms	remaining: 4s
80:	test: 0.9249207	best: 0.9249207 (80)	total: 351ms	remaining: 3.99s
81:	test: 0.9249524	best: 0.9249524 (81)	total: 355ms	remaining: 3.97s
82:	test: 0.9249947	best: 0.9249947 (82)	total: 358ms	remaining: 3.96s
83:	test: 0.9250422	best: 0.9250422 (83)	total: 363ms	remaining: 3.95s
84:	test: 0.9250772	best: 0.9250772 (84)	total: 366ms	remaining: 3.94s
85:	test: 0.9251257	best: 0.9251257 (85)	total: 370ms	remaining: 3.94s
86:	test: 0.9251732	best: 0.9251732 (86)	total: 373ms	remaining: 3.92s
87:	test: 0.9251771	best: 0.9251771 (87)	total: 377ms	remaining: 3.9s
88:	test: 0.9252492	best: 0.9252492 (88)	total: 381ms	remaining: 3.9s
89:	test: 0.9252666	best: 0.9252666 (89)	total: 384ms	remaining: 3.89s
90:	test: 0.9252708	best: 0.9252708 (90)	total: 388ms	remaining: 3.87s
91:	test: 0.9252862	best: 0.9252862 (91)	total: 392ms	remaining: 3.87s
92:	test: 0.9253075	best: 0.9253075 (92)	total: 396ms	remaining: 3.86s
93:	test: 0.9253218	best: 0.9253218 (93)	total: 399ms	remaining: 3.85s
94:	test: 0.9253284	best: 0.9253284 (94)	total: 403ms	remaining: 3.84s
95:	test: 0.9253461	best: 0.9253461 (95)	total: 407ms	remaining: 3.83s
96:	test: 0.9253714	best: 0.9253714 (96)	total: 411ms	remaining: 3.82s
97:	test: 0.9253783	best: 0.9253783 (97)	total: 414ms	remaining: 3.81s
98:	test: 0.9254115	best: 0.9254115 (98)	total: 417ms	remaining: 3.8s
99:	test: 0.9254587	best: 0.9254587 (99)	total: 421ms	remaining: 3.79s
100:	test: 0.9254788	best: 0.9254788 (100)	total: 424ms	remaining: 3.77s
101:	test: 0.9255074	best: 0.9255074 (101)	total: 428ms	remaining: 3.77s
102:	test: 0.9255614	best: 0.9255614 (102)	total: 432ms	remaining: 3.76s
103:	test: 0.9255801	best: 0.9255801 (103)	total: 436ms	remaining: 3.75s
104:	test: 0.9256244	best: 0.9256244 (104)	total: 440ms	remaining: 3.75s
105:	test: 0.9256199	best: 0.9256244 (104)	total: 444ms	remaining: 3.74s
106:	test: 0.9256687	best: 0.9256687 (106)	total: 447ms	remaining: 3.73s
107:	test: 0.9257140	best: 0.9257140 (107)	total: 450ms	remaining: 3.72s
108:	test: 0.9257085	best: 0.9257140 (107)	total: 454ms	remaining: 3.71s
109:	test: 0.9257359	best: 0.9257359 (109)	total: 457ms	remaining: 3.7s
110:	test: 0.9257668	best: 0.9257668 (110)	total: 461ms	remaining: 3.69s
111:	test: 0.9257897	best: 0.9257897 (111)	total: 465ms	remaining: 3.68s
112:	test: 0.9257972	best: 0.9257972 (112)	total: 468ms	remaining: 3.68s
113:	test: 0.9258240	best: 0.9258240 (113)	total: 472ms	remaining: 3.67s
114:	test: 0.9258780	best: 0.9258780 (114)	total: 476ms	remaining: 3.66s
115:	test: 0.9258899	best: 0.9258899 (115)	total: 480ms	remaining: 3.66s
116:	test: 0.9259099	best: 0.9259099 (116)	total: 483ms	remaining: 3.65s
117:	test: 0.9259405	best: 0.9259405 (117)	total: 487ms	remaining: 3.64s
118:	test: 0.9259556	best: 0.9259556 (118)	total: 492ms	remaining: 3.64s
119:	test: 0.9259760	best: 0.9259760 (119)	total: 497ms	remaining: 3.64s
120:	test: 0.9259907	best: 0.9259907 (120)	total: 501ms	remaining: 3.64s
121:	test: 0.9260370	best: 0.9260370 (121)	total: 505ms	remaining: 3.63s
122:	test: 0.9260337	best: 0.9260370 (121)	total: 508ms	remaining: 3.62s
123:	test: 0.9260697	best: 0.9260697 (123)	total: 511ms	remaining: 3.61s
124:	test: 0.9260707	best: 0.9260707 (124)	total: 515ms	remaining: 3.6s
125:	test: 0.9260819	best: 0.9260819 (125)	total: 518ms	remaining: 3.6s
126:	test: 0.9260935	best: 0.9260935 (126)	total: 523ms	remaining: 3.59s
127:	test: 0.9261130	best: 0.9261130 (127)	total: 526ms	remaining: 3.58s
128:	test: 0.9261240	best: 0.9261240 (128)	total: 530ms	remaining: 3.58s
129:	test: 0.9261215	best: 0.9261240 (128)	total: 534ms	remaining: 3.58s
130:	test: 0.9261372	best: 0.9261372 (130)	total: 539ms	remaining: 3.58s
131:	test: 0.9261570	best: 0.9261570 (131)	total: 543ms	remaining: 3.57s
