0:	test: 0.8987582	best: 0.8987582 (0)	total: 58.9ms	remaining: 58.9s
1:	test: 0.9028419	best: 0.9028419 (1)	total: 62.2ms	remaining: 31s
2:	test: 0.9093769	best: 0.9093769 (2)	total: 66.4ms	remaining: 22.1s
3:	test: 0.9161648	best: 0.9161648 (3)	total: 69.5ms	remaining: 17.3s
4:	test: 0.9163166	best: 0.9163166 (4)	total: 73.2ms	remaining: 14.6s
5:	test: 0.9175196	best: 0.9175196 (5)	total: 77.3ms	remaining: 12.8s
6:	test: 0.9173695	best: 0.9175196 (5)	total: 81.4ms	remaining: 11.5s
7:	test: 0.9216203	best: 0.9216203 (7)	total: 85.7ms	remaining: 10.6s
8:	test: 0.9252209	best: 0.9252209 (8)	total: 89.8ms	remaining: 9.89s
9:	test: 0.9249944	best: 0.9252209 (8)	total: 92.9ms	remaining: 9.2s
10:	test: 0.9257970	best: 0.9257970 (10)	total: 96.5ms	remaining: 8.67s
11:	test: 0.9261980	best: 0.9261980 (11)	total: 100ms	remaining: 8.25s
12:	test: 0.9264149	best: 0.9264149 (12)	total: 104ms	remaining: 7.88s
13:	test: 0.9272493	best: 0.9272493 (13)	total: 108ms	remaining: 7.59s
14:	test: 0.9281713	best: 0.9281713 (14)	total: 113ms	remaining: 7.4s
15:	test: 0.9288409	best: 0.9288409 (15)	total: 117ms	remaining: 7.19s
16:	test: 0.9288950	best: 0.9288950 (16)	total: 121ms	remaining: 7s
17:	test: 0.9291365	best: 0.9291365 (17)	total: 126ms	remaining: 6.88s
18:	test: 0.9308850	best: 0.9308850 (18)	total: 133ms	remaining: 6.86s
19:	test: 0.9315783	best: 0.9315783 (19)	total: 138ms	remaining: 6.75s
20:	test: 0.9323193	best: 0.9323193 (20)	total: 143ms	remaining: 6.64s
21:	test: 0.9327279	best: 0.9327279 (21)	total: 147ms	remaining: 6.53s
22:	test: 0.9330553	best: 0.9330553 (22)	total: 152ms	remaining: 6.44s
23:	test: 0.9333851	best: 0.9333851 (23)	total: 156ms	remaining: 6.33s
24:	test: 0.9336324	best: 0.9336324 (24)	total: 160ms	remaining: 6.22s
25:	test: 0.9340068	best: 0.9340068 (25)	total: 165ms	remaining: 6.16s
26:	test: 0.9346249	best: 0.9346249 (26)	total: 170ms	remaining: 6.12s
27:	test: 0.9349439	best: 0.9349439 (27)	total: 174ms	remaining: 6.05s
28:	test: 0.9353778	best: 0.9353778 (28)	total: 179ms	remaining: 5.99s
29:	test: 0.9357826	best: 0.9357826 (29)	total: 183ms	remaining: 5.91s
30:	test: 0.9361186	best: 0.9361186 (30)	total: 187ms	remaining: 5.83s
31:	test: 0.9364531	best: 0.9364531 (31)	total: 191ms	remaining: 5.78s
32:	test: 0.9367857	best: 0.9367857 (32)	total: 195ms	remaining: 5.71s
33:	test: 0.9370728	best: 0.9370728 (33)	total: 199ms	remaining: 5.65s
34:	test: 0.9374615	best: 0.9374615 (34)	total: 204ms	remaining: 5.62s
35:	test: 0.9377044	best: 0.9377044 (35)	total: 209ms	remaining: 5.6s
36:	test: 0.9378416	best: 0.9378416 (36)	total: 214ms	remaining: 5.56s
37:	test: 0.9380828	best: 0.9380828 (37)	total: 218ms	remaining: 5.51s
38:	test: 0.9382499	best: 0.9382499 (38)	total: 222ms	remaining: 5.46s
39:	test: 0.9385225	best: 0.9385225 (39)	total: 226ms	remaining: 5.42s
40:	test: 0.9386469	best: 0.9386469 (40)	total: 230ms	remaining: 5.38s
41:	test: 0.9387581	best: 0.9387581 (41)	total: 234ms	remaining: 5.33s
42:	test: 0.9389007	best: 0.9389007 (42)	total: 238ms	remaining: 5.29s
43:	test: 0.9389285	best: 0.9389285 (43)	total: 242ms	remaining: 5.26s
44:	test: 0.9390315	best: 0.9390315 (44)	total: 246ms	remaining: 5.22s
45:	test: 0.9391310	best: 0.9391310 (45)	total: 250ms	remaining: 5.18s
46:	test: 0.9392094	best: 0.9392094 (46)	total: 254ms	remaining: 5.15s
