0:	test: 0.8854143	best: 0.8854143 (0)	total: 55.7ms	remaining: 55.6s
1:	test: 0.8961008	best: 0.8961008 (1)	total: 57.9ms	remaining: 28.9s
2:	test: 0.8990314	best: 0.8990314 (2)	total: 59.6ms	remaining: 19.8s
3:	test: 0.9024787	best: 0.9024787 (3)	total: 61.5ms	remaining: 15.3s
4:	test: 0.9025675	best: 0.9025675 (4)	total: 63.3ms	remaining: 12.6s
5:	test: 0.9085291	best: 0.9085291 (5)	total: 64.8ms	remaining: 10.7s
6:	test: 0.9080641	best: 0.9085291 (5)	total: 66.4ms	remaining: 9.42s
7:	test: 0.9089445	best: 0.9089445 (7)	total: 68.4ms	remaining: 8.48s
8:	test: 0.9097741	best: 0.9097741 (8)	total: 70.7ms	remaining: 7.78s
9:	test: 0.9095708	best: 0.9097741 (8)	total: 72.8ms	remaining: 7.21s
10:	test: 0.9104476	best: 0.9104476 (10)	total: 74.6ms	remaining: 6.71s
11:	test: 0.9107395	best: 0.9107395 (11)	total: 76.5ms	remaining: 6.3s
12:	test: 0.9106231	best: 0.9107395 (11)	total: 78.3ms	remaining: 5.95s
13:	test: 0.9108921	best: 0.9108921 (13)	total: 80.5ms	remaining: 5.67s
14:	test: 0.9102769	best: 0.9108921 (13)	total: 82.3ms	remaining: 5.4s
15:	test: 0.9120534	best: 0.9120534 (15)	total: 84.6ms	remaining: 5.2s
16:	test: 0.9122790	best: 0.9122790 (16)	total: 86.8ms	remaining: 5.02s
17:	test: 0.9132373	best: 0.9132373 (17)	total: 88.5ms	remaining: 4.83s
18:	test: 0.9147053	best: 0.9147053 (18)	total: 90.3ms	remaining: 4.66s
19:	test: 0.9148720	best: 0.9148720 (19)	total: 92.5ms	remaining: 4.53s
20:	test: 0.9151848	best: 0.9151848 (20)	total: 94.7ms	remaining: 4.41s
21:	test: 0.9152139	best: 0.9152139 (21)	total: 96.8ms	remaining: 4.3s
22:	test: 0.9152374	best: 0.9152374 (22)	total: 98.6ms	remaining: 4.19s
23:	test: 0.9153843	best: 0.9153843 (23)	total: 101ms	remaining: 4.09s
24:	test: 0.9153848	best: 0.9153848 (24)	total: 103ms	remaining: 4s
25:	test: 0.9159317	best: 0.9159317 (25)	total: 105ms	remaining: 3.92s
26:	test: 0.9165016	best: 0.9165016 (26)	total: 107ms	remaining: 3.85s
27:	test: 0.9165120	best: 0.9165120 (27)	total: 109ms	remaining: 3.78s
28:	test: 0.9164109	best: 0.9165120 (27)	total: 111ms	remaining: 3.72s
29:	test: 0.9166408	best: 0.9166408 (29)	total: 113ms	remaining: 3.66s
30:	test: 0.9169093	best: 0.9169093 (30)	total: 115ms	remaining: 3.6s
31:	test: 0.9172392	best: 0.9172392 (31)	total: 118ms	remaining: 3.58s
32:	test: 0.9171692	best: 0.9172392 (31)	total: 120ms	remaining: 3.53s
33:	test: 0.9174374	best: 0.9174374 (33)	total: 122ms	remaining: 3.47s
34:	test: 0.9174729	best: 0.9174729 (34)	total: 124ms	remaining: 3.43s
35:	test: 0.9180163	best: 0.9180163 (35)	total: 126ms	remaining: 3.38s
36:	test: 0.9181421	best: 0.9181421 (36)	total: 128ms	remaining: 3.34s
37:	test: 0.9185750	best: 0.9185750 (37)	total: 131ms	remaining: 3.3s
38:	test: 0.9187312	best: 0.9187312 (38)	total: 132ms	remaining: 3.26s
39:	test: 0.9191013	best: 0.9191013 (39)	total: 135ms	remaining: 3.23s
40:	test: 0.9194787	best: 0.9194787 (40)	total: 137ms	remaining: 3.19s
41:	test: 0.9195885	best: 0.9195885 (41)	total: 139ms	remaining: 3.17s
42:	test: 0.9197390	best: 0.9197390 (42)	total: 141ms	remaining: 3.13s
43:	test: 0.9200689	best: 0.9200689 (43)	total: 143ms	remaining: 3.11s
44:	test: 0.9202235	best: 0.9202235 (44)	total: 146ms	remaining: 3.09s
45:	test: 0.9204998	best: 0.9204998 (45)	total: 148ms	remaining: 3.06s
46:	test: 0.9207636	best: 0.9207636 (46)	total: 150ms	remaining: 3.04s
47:	test: 0.9207240	best: 0.9207636 (46)	total: 152ms	remaining: 3.01s
48:	test: 0.9211479	best: 0.9211479 (48)	total: 154ms	remaining: 2.98s
49:	test: 0.9212332	best: 0.9212332 (49)	total: 156ms	remaining: 2.97s
50:	test: 0.9211416	best: 0.9212332 (49)	total: 158ms	remaining: 2.94s
51:	test: 0.9213249	best: 0.9213249 (51)	total: 160ms	remaining: 2.92s
52:	test: 0.9213285	best: 0.9213285 (52)	total: 162ms	remaining: 2.9s
53:	test: 0.9216471	best: 0.9216471 (53)	total: 164ms	remaining: 2.88s
54:	test: 0.9216324	best: 0.9216471 (53)	total: 166ms	remaining: 2.86s
55:	test: 0.9220005	best: 0.9220005 (55)	total: 169ms	remaining: 2.85s
56:	test: 0.9221958	best: 0.9221958 (56)	total: 171ms	remaining: 2.82s
57:	test: 0.9223589	best: 0.9223589 (57)	total: 173ms	remaining: 2.8s
58:	test: 0.9225875	best: 0.9225875 (58)	total: 174ms	remaining: 2.78s
59:	test: 0.9228293	best: 0.9228293 (59)	total: 178ms	remaining: 2.79s
60:	test: 0.9230117	best: 0.9230117 (60)	total: 180ms	remaining: 2.77s
61:	test: 0.9231037	best: 0.9231037 (61)	total: 182ms	remaining: 2.75s
62:	test: 0.9231332	best: 0.9231332 (62)	total: 184ms	remaining: 2.73s
63:	test: 0.9232474	best: 0.9232474 (63)	total: 186ms	remaining: 2.72s
64:	test: 0.9233785	best: 0.9233785 (64)	total: 188ms	remaining: 2.71s
65:	test: 0.9235340	best: 0.9235340 (65)	total: 191ms	remaining: 2.7s
66:	test: 0.9237914	best: 0.9237914 (66)	total: 193ms	remaining: 2.68s
67:	test: 0.9240800	best: 0.9240800 (67)	total: 195ms	remaining: 2.67s
68:	test: 0.9241163	best: 0.9241163 (68)	total: 197ms	remaining: 2.66s
69:	test: 0.9241263	best: 0.9241263 (69)	total: 199ms	remaining: 2.65s
70:	test: 0.9242919	best: 0.9242919 (70)	total: 202ms	remaining: 2.64s
71:	test: 0.9242661	best: 0.9242919 (70)	total: 204ms	remaining: 2.63s
72:	test: 0.9243822	best: 0.9243822 (72)	total: 206ms	remaining: 2.62s
73:	test: 0.9245534	best: 0.9245534 (73)	total: 209ms	remaining: 2.61s
74:	test: 0.9247361	best: 0.9247361 (74)	total: 210ms	remaining: 2.59s
75:	test: 0.9248565	best: 0.9248565 (75)	total: 213ms	remaining: 2.58s
76:	test: 0.9250305	best: 0.9250305 (76)	total: 215ms	remaining: 2.58s
77:	test: 0.9251379	best: 0.9251379 (77)	total: 217ms	remaining: 2.57s
78:	test: 0.9252810	best: 0.9252810 (78)	total: 219ms	remaining: 2.55s
79:	test: 0.9252699	best: 0.9252810 (78)	total: 221ms	remaining: 2.54s
80:	test: 0.9252852	best: 0.9252852 (80)	total: 223ms	remaining: 2.53s
81:	test: 0.9252642	best: 0.9252852 (80)	total: 226ms	remaining: 2.52s
82:	test: 0.9253788	best: 0.9253788 (82)	total: 228ms	remaining: 2.52s
83:	test: 0.9254242	best: 0.9254242 (83)	total: 230ms	remaining: 2.51s
84:	test: 0.9255156	best: 0.9255156 (84)	total: 232ms	remaining: 2.5s
85:	test: 0.9256604	best: 0.9256604 (85)	total: 234ms	remaining: 2.49s
86:	test: 0.9256355	best: 0.9256604 (85)	total: 237ms	remaining: 2.48s
87:	test: 0.9256302	best: 0.9256604 (85)	total: 239ms	remaining: 2.48s
