0:	test: 0.8674108	best: 0.8674108 (0)	total: 53.4ms	remaining: 53.4s
1:	test: 0.8903022	best: 0.8903022 (1)	total: 56.1ms	remaining: 28s
2:	test: 0.9006381	best: 0.9006381 (2)	total: 67.6ms	remaining: 22.5s
3:	test: 0.9047820	best: 0.9047820 (3)	total: 70.1ms	remaining: 17.4s
4:	test: 0.9039184	best: 0.9047820 (3)	total: 72.9ms	remaining: 14.5s
5:	test: 0.9031536	best: 0.9047820 (3)	total: 77.4ms	remaining: 12.8s
6:	test: 0.9033880	best: 0.9047820 (3)	total: 91.7ms	remaining: 13s
7:	test: 0.9026173	best: 0.9047820 (3)	total: 94.5ms	remaining: 11.7s
8:	test: 0.9035272	best: 0.9047820 (3)	total: 97.5ms	remaining: 10.7s
9:	test: 0.9042803	best: 0.9047820 (3)	total: 112ms	remaining: 11.1s
10:	test: 0.9045230	best: 0.9047820 (3)	total: 115ms	remaining: 10.4s
11:	test: 0.9049462	best: 0.9049462 (11)	total: 129ms	remaining: 10.6s
12:	test: 0.9052132	best: 0.9052132 (12)	total: 131ms	remaining: 9.93s
13:	test: 0.9066116	best: 0.9066116 (13)	total: 134ms	remaining: 9.41s
14:	test: 0.9070354	best: 0.9070354 (14)	total: 139ms	remaining: 9.11s
15:	test: 0.9073912	best: 0.9073912 (15)	total: 142ms	remaining: 8.74s
16:	test: 0.9115936	best: 0.9115936 (16)	total: 145ms	remaining: 8.39s
17:	test: 0.9116029	best: 0.9116029 (17)	total: 149ms	remaining: 8.11s
18:	test: 0.9139009	best: 0.9139009 (18)	total: 153ms	remaining: 7.91s
19:	test: 0.9141522	best: 0.9141522 (19)	total: 156ms	remaining: 7.66s
20:	test: 0.9140580	best: 0.9141522 (19)	total: 159ms	remaining: 7.41s
21:	test: 0.9138439	best: 0.9141522 (19)	total: 161ms	remaining: 7.17s
22:	test: 0.9141014	best: 0.9141522 (19)	total: 165ms	remaining: 7.01s
23:	test: 0.9140709	best: 0.9141522 (19)	total: 168ms	remaining: 6.83s
24:	test: 0.9148129	best: 0.9148129 (24)	total: 171ms	remaining: 6.67s
25:	test: 0.9168978	best: 0.9168978 (25)	total: 174ms	remaining: 6.53s
26:	test: 0.9167407	best: 0.9168978 (25)	total: 179ms	remaining: 6.45s
27:	test: 0.9162587	best: 0.9168978 (25)	total: 182ms	remaining: 6.32s
28:	test: 0.9167682	best: 0.9168978 (25)	total: 185ms	remaining: 6.18s
29:	test: 0.9167715	best: 0.9168978 (25)	total: 187ms	remaining: 6.05s
30:	test: 0.9167555	best: 0.9168978 (25)	total: 190ms	remaining: 5.94s
31:	test: 0.9166798	best: 0.9168978 (25)	total: 194ms	remaining: 5.86s
32:	test: 0.9173592	best: 0.9173592 (32)	total: 199ms	remaining: 5.83s
33:	test: 0.9174569	best: 0.9174569 (33)	total: 202ms	remaining: 5.74s
34:	test: 0.9180923	best: 0.9180923 (34)	total: 205ms	remaining: 5.64s
35:	test: 0.9181108	best: 0.9181108 (35)	total: 209ms	remaining: 5.59s
36:	test: 0.9187570	best: 0.9187570 (36)	total: 214ms	remaining: 5.56s
37:	test: 0.9194940	best: 0.9194940 (37)	total: 218ms	remaining: 5.51s
38:	test: 0.9194118	best: 0.9194940 (37)	total: 222ms	remaining: 5.48s
39:	test: 0.9198778	best: 0.9198778 (39)	total: 226ms	remaining: 5.42s
40:	test: 0.9206715	best: 0.9206715 (40)	total: 229ms	remaining: 5.36s
41:	test: 0.9206370	best: 0.9206715 (40)	total: 232ms	remaining: 5.29s
42:	test: 0.9210701	best: 0.9210701 (42)	total: 235ms	remaining: 5.23s
43:	test: 0.9209697	best: 0.9210701 (42)	total: 240ms	remaining: 5.21s
44:	test: 0.9208936	best: 0.9210701 (42)	total: 243ms	remaining: 5.16s
45:	test: 0.9213107	best: 0.9213107 (45)	total: 246ms	remaining: 5.1s
46:	test: 0.9212577	best: 0.9213107 (45)	total: 249ms	remaining: 5.05s
47:	test: 0.9211696	best: 0.9213107 (45)	total: 252ms	remaining: 5s
48:	test: 0.9211388	best: 0.9213107 (45)	total: 255ms	remaining: 4.96s
49:	test: 0.9210325	best: 0.9213107 (45)	total: 258ms	remaining: 4.91s
50:	test: 0.9214385	best: 0.9214385 (50)	total: 261ms	remaining: 4.85s
51:	test: 0.9215269	best: 0.9215269 (51)	total: 266ms	remaining: 4.85s
52:	test: 0.9220289	best: 0.9220289 (52)	total: 269ms	remaining: 4.81s
53:	test: 0.9220483	best: 0.9220483 (53)	total: 272ms	remaining: 4.76s
54:	test: 0.9222886	best: 0.9222886 (54)	total: 275ms	remaining: 4.72s
55:	test: 0.9226995	best: 0.9226995 (55)	total: 278ms	remaining: 4.68s
56:	test: 0.9225843	best: 0.9226995 (55)	total: 280ms	remaining: 4.64s
57:	test: 0.9228522	best: 0.9228522 (57)	total: 284ms	remaining: 4.61s
58:	test: 0.9227207	best: 0.9228522 (57)	total: 286ms	remaining: 4.57s
59:	test: 0.9226342	best: 0.9228522 (57)	total: 289ms	remaining: 4.53s
60:	test: 0.9227272	best: 0.9228522 (57)	total: 292ms	remaining: 4.49s
61:	test: 0.9227112	best: 0.9228522 (57)	total: 295ms	remaining: 4.46s
62:	test: 0.9226268	best: 0.9228522 (57)	total: 298ms	remaining: 4.43s
63:	test: 0.9226453	best: 0.9228522 (57)	total: 301ms	remaining: 4.4s
64:	test: 0.9225889	best: 0.9228522 (57)	total: 303ms	remaining: 4.37s
65:	test: 0.9227913	best: 0.9228522 (57)	total: 306ms	remaining: 4.33s
66:	test: 0.9231156	best: 0.9231156 (66)	total: 309ms	remaining: 4.3s
67:	test: 0.9232437	best: 0.9232437 (67)	total: 312ms	remaining: 4.28s
68:	test: 0.9234895	best: 0.9234895 (68)	total: 315ms	remaining: 4.25s
69:	test: 0.9234529	best: 0.9234895 (68)	total: 318ms	remaining: 4.22s
70:	test: 0.9234541	best: 0.9234895 (68)	total: 320ms	remaining: 4.19s
71:	test: 0.9234849	best: 0.9234895 (68)	total: 324ms	remaining: 4.17s
72:	test: 0.9234806	best: 0.9234895 (68)	total: 327ms	remaining: 4.15s
73:	test: 0.9237042	best: 0.9237042 (73)	total: 330ms	remaining: 4.13s
74:	test: 0.9237076	best: 0.9237076 (74)	total: 334ms	remaining: 4.11s
75:	test: 0.9237165	best: 0.9237165 (75)	total: 336ms	remaining: 4.09s
76:	test: 0.9237165	best: 0.9237165 (75)	total: 339ms	remaining: 4.07s
77:	test: 0.9238120	best: 0.9238120 (77)	total: 343ms	remaining: 4.05s
78:	test: 0.9240892	best: 0.9240892 (78)	total: 345ms	remaining: 4.03s
79:	test: 0.9240738	best: 0.9240892 (78)	total: 348ms	remaining: 4s
80:	test: 0.9243134	best: 0.9243134 (80)	total: 351ms	remaining: 3.98s
81:	test: 0.9242663	best: 0.9243134 (80)	total: 355ms	remaining: 3.97s
82:	test: 0.9243017	best: 0.9243134 (80)	total: 357ms	remaining: 3.95s
83:	test: 0.9244902	best: 0.9244902 (83)	total: 360ms	remaining: 3.92s
84:	test: 0.9245768	best: 0.9245768 (84)	total: 363ms	remaining: 3.91s
85:	test: 0.9246325	best: 0.9246325 (85)	total: 366ms	remaining: 3.89s
86:	test: 0.9248266	best: 0.9248266 (86)	total: 369ms	remaining: 3.87s
87:	test: 0.9247785	best: 0.9248266 (86)	total: 372ms	remaining: 3.85s
88:	test: 0.9248204	best: 0.9248266 (86)	total: 374ms	remaining: 3.83s
89:	test: 0.9247973	best: 0.9248266 (86)	total: 379ms	remaining: 3.83s
90:	test: 0.9248183	best: 0.9248266 (86)	total: 382ms	remaining: 3.81s
91:	test: 0.9247912	best: 0.9248266 (86)	total: 385ms	remaining: 3.8s
92:	test: 0.9247560	best: 0.9248266 (86)	total: 388ms	remaining: 3.79s
93:	test: 0.9248472	best: 0.9248472 (93)	total: 392ms	remaining: 3.78s
94:	test: 0.9248130	best: 0.9248472 (93)	total: 395ms	remaining: 3.76s
95:	test: 0.9248090	best: 0.9248472 (93)	total: 398ms	remaining: 3.74s
96:	test: 0.9249670	best: 0.9249670 (96)	total: 401ms	remaining: 3.73s
97:	test: 0.9252264	best: 0.9252264 (97)	total: 404ms	remaining: 3.72s
98:	test: 0.9253058	best: 0.9253058 (98)	total: 407ms	remaining: 3.7s
99:	test: 0.9252455	best: 0.9253058 (98)	total: 409ms	remaining: 3.68s
100:	test: 0.9254075	best: 0.9254075 (100)	total: 412ms	remaining: 3.67s
101:	test: 0.9255960	best: 0.9255960 (101)	total: 415ms	remaining: 3.65s
102:	test: 0.9256169	best: 0.9256169 (102)	total: 419ms	remaining: 3.65s
103:	test: 0.9257568	best: 0.9257568 (103)	total: 422ms	remaining: 3.63s
104:	test: 0.9258991	best: 0.9258991 (104)	total: 424ms	remaining: 3.62s
105:	test: 0.9260013	best: 0.9260013 (105)	total: 427ms	remaining: 3.6s
106:	test: 0.9262083	best: 0.9262083 (106)	total: 430ms	remaining: 3.59s
107:	test: 0.9263709	best: 0.9263709 (107)	total: 433ms	remaining: 3.57s
108:	test: 0.9264412	best: 0.9264412 (108)	total: 436ms	remaining: 3.56s
109:	test: 0.9265588	best: 0.9265588 (109)	total: 439ms	remaining: 3.55s
110:	test: 0.9265490	best: 0.9265588 (109)	total: 441ms	remaining: 3.53s
111:	test: 0.9266734	best: 0.9266734 (111)	total: 444ms	remaining: 3.52s
112:	test: 0.9267572	best: 0.9267572 (112)	total: 447ms	remaining: 3.5s
113:	test: 0.9267729	best: 0.9267729 (113)	total: 449ms	remaining: 3.49s
114:	test: 0.9268548	best: 0.9268548 (114)	total: 452ms	remaining: 3.48s
115:	test: 0.9269056	best: 0.9269056 (115)	total: 455ms	remaining: 3.47s
116:	test: 0.9270181	best: 0.9270181 (116)	total: 458ms	remaining: 3.46s
117:	test: 0.9270421	best: 0.9270421 (117)	total: 461ms	remaining: 3.45s
118:	test: 0.9270242	best: 0.9270421 (117)	total: 464ms	remaining: 3.43s
119:	test: 0.9269792	best: 0.9270421 (117)	total: 467ms	remaining: 3.42s
120:	test: 0.9270969	best: 0.9270969 (120)	total: 471ms	remaining: 3.42s
121:	test: 0.9270938	best: 0.9270969 (120)	total: 474ms	remaining: 3.41s
122:	test: 0.9271912	best: 0.9271912 (122)	total: 477ms	remaining: 3.4s
123:	test: 0.9271838	best: 0.9271912 (122)	total: 480ms	remaining: 3.39s
124:	test: 0.9273057	best: 0.9273057 (124)	total: 484ms	remaining: 3.38s
125:	test: 0.9273476	best: 0.9273476 (125)	total: 486ms	remaining: 3.37s
126:	test: 0.9274536	best: 0.9274536 (126)	total: 489ms	remaining: 3.36s
127:	test: 0.9274758	best: 0.9274758 (127)	total: 492ms	remaining: 3.35s
128:	test: 0.9276045	best: 0.9276045 (128)	total: 496ms	remaining: 3.35s
129:	test: 0.9276378	best: 0.9276378 (129)	total: 499ms	remaining: 3.34s
130:	test: 0.9276174	best: 0.9276378 (129)	total: 502ms	remaining: 3.33s
131:	test: 0.9276680	best: 0.9276680 (131)	total: 505ms	remaining: 3.32s
132:	test: 0.9277684	best: 0.9277684 (132)	total: 508ms	remaining: 3.31s
133:	test: 0.9277930	best: 0.9277930 (133)	total: 511ms	remaining: 3.3s
134:	test: 0.9278380	best: 0.9278380 (134)	total: 514ms	remaining: 3.29s
135:	test: 0.9278851	best: 0.9278851 (135)	total: 517ms	remaining: 3.29s
136:	test: 0.9278685	best: 0.9278851 (135)	total: 520ms	remaining: 3.28s
137:	test: 0.9279079	best: 0.9279079 (137)	total: 523ms	remaining: 3.27s
138:	test: 0.9279793	best: 0.9279793 (138)	total: 526ms	remaining: 3.26s
139:	test: 0.9281093	best: 0.9281093 (139)	total: 529ms	remaining: 3.25s
