0:	test: 0.8998605	best: 0.8998605 (0)	total: 71.2ms	remaining: 1m 11s
1:	test: 0.9180698	best: 0.9180698 (1)	total: 79.4ms	remaining: 39.6s
2:	test: 0.9216022	best: 0.9216022 (2)	total: 83.6ms	remaining: 27.8s
3:	test: 0.9237812	best: 0.9237812 (3)	total: 89.2ms	remaining: 22.2s
4:	test: 0.9244159	best: 0.9244159 (4)	total: 94.2ms	remaining: 18.7s
5:	test: 0.9254458	best: 0.9254458 (5)	total: 99ms	remaining: 16.4s
6:	test: 0.9244798	best: 0.9254458 (5)	total: 105ms	remaining: 14.9s
7:	test: 0.9245589	best: 0.9254458 (5)	total: 117ms	remaining: 14.5s
8:	test: 0.9258472	best: 0.9258472 (8)	total: 122ms	remaining: 13.4s
9:	test: 0.9260550	best: 0.9260550 (9)	total: 129ms	remaining: 12.7s
10:	test: 0.9270765	best: 0.9270765 (10)	total: 138ms	remaining: 12.4s
11:	test: 0.9270816	best: 0.9270816 (11)	total: 147ms	remaining: 12.1s
12:	test: 0.9279564	best: 0.9279564 (12)	total: 153ms	remaining: 11.6s
13:	test: 0.9281541	best: 0.9281541 (13)	total: 159ms	remaining: 11.2s
14:	test: 0.9289768	best: 0.9289768 (14)	total: 167ms	remaining: 10.9s
15:	test: 0.9290896	best: 0.9290896 (15)	total: 173ms	remaining: 10.6s
16:	test: 0.9290089	best: 0.9290896 (15)	total: 178ms	remaining: 10.3s
17:	test: 0.9296339	best: 0.9296339 (17)	total: 184ms	remaining: 10s
18:	test: 0.9299975	best: 0.9299975 (18)	total: 191ms	remaining: 9.84s
19:	test: 0.9303698	best: 0.9303698 (19)	total: 197ms	remaining: 9.63s
20:	test: 0.9305967	best: 0.9305967 (20)	total: 203ms	remaining: 9.46s
21:	test: 0.9309866	best: 0.9309866 (21)	total: 208ms	remaining: 9.24s
22:	test: 0.9315780	best: 0.9315780 (22)	total: 213ms	remaining: 9.06s
23:	test: 0.9317449	best: 0.9317449 (23)	total: 219ms	remaining: 8.9s
24:	test: 0.9318084	best: 0.9318084 (24)	total: 225ms	remaining: 8.76s
25:	test: 0.9320936	best: 0.9320936 (25)	total: 231ms	remaining: 8.65s
26:	test: 0.9322987	best: 0.9322987 (26)	total: 236ms	remaining: 8.5s
27:	test: 0.9328047	best: 0.9328047 (27)	total: 242ms	remaining: 8.39s
28:	test: 0.9333080	best: 0.9333080 (28)	total: 248ms	remaining: 8.29s
29:	test: 0.9334309	best: 0.9334309 (29)	total: 253ms	remaining: 8.19s
30:	test: 0.9338371	best: 0.9338371 (30)	total: 259ms	remaining: 8.1s
31:	test: 0.9341720	best: 0.9341720 (31)	total: 265ms	remaining: 8.01s
32:	test: 0.9343855	best: 0.9343855 (32)	total: 270ms	remaining: 7.91s
33:	test: 0.9346002	best: 0.9346002 (33)	total: 275ms	remaining: 7.82s
34:	test: 0.9347604	best: 0.9347604 (34)	total: 282ms	remaining: 7.78s
35:	test: 0.9348301	best: 0.9348301 (35)	total: 287ms	remaining: 7.69s
36:	test: 0.9348981	best: 0.9348981 (36)	total: 294ms	remaining: 7.65s
37:	test: 0.9350367	best: 0.9350367 (37)	total: 300ms	remaining: 7.59s
38:	test: 0.9350572	best: 0.9350572 (38)	total: 304ms	remaining: 7.5s
39:	test: 0.9351435	best: 0.9351435 (39)	total: 310ms	remaining: 7.43s
40:	test: 0.9351915	best: 0.9351915 (40)	total: 315ms	remaining: 7.36s
41:	test: 0.9353361	best: 0.9353361 (41)	total: 319ms	remaining: 7.28s
42:	test: 0.9354651	best: 0.9354651 (42)	total: 325ms	remaining: 7.23s
